PLD,LCD,ASA,Porosity,Density,Pore volume,C%,H%,N%,O%,Halogen%,Metal%,Qst H2,N1bar_H2
3.85093,5.42762,187.69,0.45174,1.70055,0.265643468,29.19708029,23.35766423,5.839416058,27.73722628,0.729927007,13.13868613,5.528817395,0.01559951
4.9065,10.017,1816.8,0.67828,1.03876,0.65297085,35.29411765,17.64705882,17.64705882,20.58823529,0,8.823529412,3.155985177,0.040314692
5.30365,5.97541,753.379,0.53846,1.21661,0.442590477,46.01769912,35.39823009,0,16.81415929,0,1.769911504,5.405509125,0.034730703
5.31331,5.9443,687.652,0.52528,1.28796,0.407838753,46.01769912,35.39823009,0,16.81415929,0,1.769911504,5.529942802,0.034276971
5.29096,5.93338,677.01,0.52144,1.31573,0.396312313,46.01769912,35.39823009,0,16.81415929,0,1.769911504,5.594191229,0.033373739
17.12424,25.68553,3165.13,0.84016,0.402567,2.087006635,47.72727273,29.54545455,6.818181818,13.63636364,0,2.272727273,1.451472615,0.107227985
5.37167,7.3314,1146.88,0.55594,1.01683,0.546738393,51.11111111,35.55555556,2.222222222,8.888888889,0,2.222222222,4.876867197,0.039848083
5.08524,7.14066,876.407,0.5421,1.32285,0.409797029,53.84615385,25.64102564,2.564102564,10.25641026,5.128205128,2.564102564,4.736381802,0.028905051
4.52097,6.3306,965.88,0.55848,1.12223,0.497651996,35.29411765,35.29411765,23.52941176,0,0,5.882352941,4.617418245,0.030460344
4.7481,6.43864,1003.43,0.5662,1.12574,0.502958054,35.29411765,35.29411765,23.52941176,0,0,5.882352941,4.602370986,0.030714999
6.81408,8.80212,1422.51,0.62122,1.05969,0.586228048,52.5,30,0,15,0,2.5,4.440902781,0.049149814
6.54754,8.32882,1419.5,0.61562,1.04077,0.591504367,52.5,30,0,15,0,2.5,4.538883594,0.050994561
6.74118,8.79334,1353.64,0.61642,1.0948,0.563043478,52.5,30,0,15,0,2.5,4.507944244,0.048701208
8.61929,9.08566,2493.39,0.71372,0.761887,0.936779339,40,32,24,0,0,4,3.404247096,0.064322903
4.95529,7.35231,1409.83,0.58552,0.959143,0.610461631,45.71428571,35.71428571,2.857142857,13.57142857,0,2.142857143,4.627249552,0.046343189
4.7743,5.96671,1528.32,0.58902,0.9597,0.613754298,45.71428571,35.71428571,2.857142857,13.57142857,0,2.142857143,5.168713801,0.054697209
4.58891,5.43312,1352.46,0.62754,1.38641,0.452636666,47.36842105,15.78947368,0,31.57894737,0,5.263157895,4.229030345,0.038252043
6.25183,6.77693,648.222,0.51648,1.77195,0.291475493,34.375,12.5,12.5,34.375,0,6.25,3.999302201,0.020032515
6.85619,10.92956,2101.19,0.68816,0.99837,0.689283532,45,15,0,31.66666667,0,8.333333333,3.459202513,0.052277018
8.71559,12.6138,3274.82,0.75884,0.583675,1.30010708,44.24778761,38.9380531,7.079646018,7.079646018,0,2.654867257,2.562387346,0.079103172
4.90729,5.63222,794.401,0.55474,1.43768,0.385857771,45.45454545,13.63636364,0,36.36363636,0,4.545454545,4.560947018,0.028650721
5.90611,6.16099,1902.44,0.66248,1.08253,0.611973802,47.61904762,9.523809524,0,38.0952381,0,4.761904762,3.51289116,0.045170587
8.64841,12.48057,3204.15,0.7613,0.64221,1.185437785,50.89285714,32.14285714,2.678571429,11.60714286,0,2.678571429,2.907593364,0.084002385
8.32661,13.59793,2502.53,0.73366,0.746106,0.983318724,49.48453608,30.92783505,3.092783505,13.40206186,0,3.092783505,3.430400341,0.072685207
4.54136,8.31511,870.726,0.62074,1.19036,0.521472496,44.7761194,26.86567164,4.47761194,19.40298507,0,4.47761194,4.907031248,0.049728892
4.11181,6.0722,1071.12,0.59632,1.16455,0.512060453,25.71428571,25.71428571,34.28571429,5.714285714,4.285714286,4.285714286,4.504663136,0.033621644
3.90831,4.44036,156.183,0.40324,2.24993,0.179223354,16,18,0,48,0,10,6.112327259,0.009876998
4.32303,5.2765,619.682,0.51092,1.36723,0.373689869,50.90909091,29.09090909,2.424242424,14.54545455,0,3.03030303,5.469979415,0.027842479
4.89301,7.12611,357.969,0.42696,1.98392,0.215210291,26.96629213,33.70786517,6.741573034,26.96629213,0,5.617977528,5.410922722,0.016286389
4.85632,5.15455,288.927,0.42748,1.95651,0.218491089,46.34146341,14.63414634,0,19.51219512,14.63414634,4.87804878,5.084634016,0.012796835
9.1997,9.48255,928.923,0.5582,1.14308,0.488329776,48,30,6,12,2,2,3.497407961,0.030717385
5.31262,5.94406,1651.78,0.585,0.925851,0.631851129,50.90909091,36.36363636,3.636363636,7.272727273,0,1.818181818,4.922852358,0.058267588
3.80044,4.84557,634.174,0.49344,1.15061,0.428850783,44.94382022,40.4494382,8.988764045,4.494382022,0,1.123595506,6.208879535,0.034943097
4.38484,5.04792,636.56,0.50342,1.30477,0.385830453,35.05154639,35.05154639,8.24742268,14.43298969,0,3.092783505,5.899507432,0.034232434
14.56862,19.86541,5239.13,0.8979,0.274675,3.268954219,44.11764706,30.88235294,8.823529412,13.97058824,0,2.205882353,1.273645207,0.166962007
7.13825,18.06508,3583.27,0.78558,0.600782,1.307595767,44,24,8,20,0,4,2.575264987,0.087090811
5.01976,7.8603,1901.19,0.63848,0.979833,0.651621246,44.73684211,26.31578947,0,23.68421053,0,5.263157895,3.571592596,0.045282974
13.37911,18.75501,3444.39,0.83558,0.425946,1.961704066,49.12280702,28.07017544,7.01754386,14.03508772,0,1.754385965,1.471282564,0.098980325
6.0951,6.93247,581.981,0.45062,1.45916,0.308821514,40,24,16,16,0,4,5.145825351,0.02766731
9.17864,11.03089,1154.62,0.60242,1.00746,0.597959224,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,4.263442593,0.043433054
11.07263,11.39418,1175.97,0.6096,0.982365,0.620543281,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,4.063360466,0.044027354
9.50667,11.07211,1172.55,0.60696,0.988926,0.613756742,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,4.104135647,0.04324389
10.87494,11.21563,1159.15,0.60852,0.985981,0.617172136,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,4.088222889,0.043710096
4.48972,4.82905,521.72,0.46842,1.16972,0.40045481,49.18032787,39.3442623,3.278688525,6.557377049,0,1.639344262,6.0731118,0.02750343
8.78636,9.98598,3028.97,0.7058,0.771567,0.914761777,51.76470588,37.64705882,4.705882353,0,0.588235294,2.941176471,3.458547076,0.065158497
6.10595,6.92762,1008.65,0.59186,1.43826,0.411511132,42.10526316,5.263157895,0,26.31578947,21.05263158,5.263157895,4.216565774,0.032824023
4.44244,5.09322,299.59,0.40752,1.49981,0.271714417,44.51612903,32.90322581,2.580645161,15.48387097,0,4.516129032,5.777124925,0.014317208
4.98752,7.28969,2849.13,0.69504,0.833729,0.833652182,53.57142857,17.85714286,3.571428571,21.42857143,0,3.571428571,3.727095319,0.065014534
5.88473,7.80429,2759.46,0.70156,0.800823,0.876048765,53.57142857,17.85714286,3.571428571,21.42857143,0,3.571428571,3.445217522,0.066511824
7.08849,11.39005,4048.27,0.7795,0.58467,1.333230711,53.84615385,26.92307692,0,15.38461538,0,3.846153846,2.744141829,0.09289857
7.02092,8.26528,3489.57,0.744,0.68036,1.093538715,53.7037037,24.07407407,0,18.51851852,0,3.703703704,3.243345805,0.084141326
4.07573,5.65344,1053.2,0.62164,1.00727,0.617153296,51.61290323,19.35483871,0,25.80645161,0,3.225806452,5.215486643,0.057821992
11.06312,12.00094,993.47,0.5942,0.965457,0.615459829,49.18032787,29.50819672,3.278688525,6.557377049,9.836065574,1.639344262,4.476901814,0.039214548
4.06272,5.40727,791.432,0.50734,1.31041,0.38716127,37.20930233,32.55813953,18.60465116,6.976744186,0,2.325581395,5.64164955,0.033595399
3.80274,4.93858,458.737,0.48374,1.49581,0.323396688,37.93103448,31.03448276,18.3908046,6.896551724,0,3.448275862,5.734633455,0.022400675
5.37606,5.6853,1420.93,0.60772,1.07587,0.564863785,47.61904762,9.523809524,0,38.0952381,0,4.761904762,4.150908217,0.04373145
5.13016,6.30636,1365.99,0.6208,1.10057,0.564071345,47.61904762,9.523809524,0,38.0952381,0,4.761904762,4.190555397,0.043619676
6.30843,7.60741,2136.04,0.66196,0.861714,0.76818991,53.33333333,31.11111111,4.444444444,8.888888889,0,2.222222222,3.691743721,0.058886612
9.80847,15.56875,1591.32,0.71824,0.777237,0.924093938,34.50980392,28.23529412,31.37254902,0,1.176470588,4.705882353,3.309517365,0.070517301
5.59471,9.38154,1604.12,0.68288,1.04219,0.65523561,37.87878788,22.72727273,15.15151515,15.15151515,0,9.090909091,3.293435259,0.040694392
10.59979,11.41407,1224.38,0.64844,1.19971,0.540497287,44.44444444,11.11111111,0,33.33333333,0,11.11111111,3.135818864,0.040339926
10.7235,11.51533,1224.91,0.65144,1.1988,0.543410077,44.44444444,11.11111111,0,33.33333333,0,11.11111111,3.138440827,0.040669886
5.62446,9.38408,1646.23,0.68264,1.03958,0.656649801,37.87878788,22.72727273,15.15151515,15.15151515,0,9.090909091,3.287297202,0.040850459
10.54479,11.3608,1223.85,0.64786,1.19943,0.5401399,44.44444444,11.11111111,0,33.33333333,0,11.11111111,3.12871225,0.039951999
5.3868,5.98273,1847.56,0.6472,1.18176,0.547657731,46.15384615,19.23076923,5.769230769,23.07692308,0,5.769230769,4.204582757,0.047024363
4.26368,5.82193,729.385,0.50118,1.16598,0.429835846,51.28205128,30.76923077,5.128205128,10.25641026,0,2.564102564,6.844010502,0.056303656
4.05664,5.44423,634.137,0.49082,1.19946,0.409200807,51.28205128,30.76923077,5.128205128,10.25641026,0,2.564102564,7.10747885,0.054063284
4.25745,5.78749,712.146,0.50502,1.1858,0.425889695,51.28205128,30.76923077,5.128205128,10.25641026,0,2.564102564,6.876084744,0.055646434
5.15676,8.28593,2399.39,0.68804,0.856166,0.803629203,46.47887324,33.8028169,0,16.90140845,0,2.816901408,3.5963311,0.059425298
5.0837,6.42024,468.517,0.45748,1.7783,0.257256931,43.47826087,8.695652174,0,39.13043478,0,8.695652174,4.766620986,0.018729436
4.61254,5.76705,732.709,0.51364,1.521,0.337698882,45.45454545,25,4.545454545,20.45454545,0,4.545454545,4.996460518,0.026289177
7.73483,9.7655,2462.86,0.6857,0.727417,0.942650502,52.63157895,33.91812865,4.678362573,7.01754386,0,1.754385965,3.433067359,0.068192756
4.32918,9.00116,2201.56,0.67476,0.897328,0.751965836,43.90243902,29.26829268,0,19.51219512,0,4.87804878,4.207633677,0.063834654
5.9183,9.52144,2338.43,0.67852,0.828676,0.81880011,46.80851064,34.04255319,12.76595745,4.255319149,0,2.127659574,3.838145304,0.061094915
4.73321,7.16113,802.611,0.52734,1.15085,0.458217839,50.66666667,30.66666667,8,8,0,2.666666667,5.106187995,0.030850909
5.70377,6.40025,1486.93,0.63598,1.21508,0.523405866,45.45454545,9.090909091,0,36.36363636,0,9.090909091,3.921080051,0.042785245
5.8507,10.41989,2819.8,0.72036,0.781859,0.921342595,50,22.72727273,2.272727273,18.18181818,2.272727273,4.545454545,3.515369196,0.071099998
5.75428,10.54748,2566.31,0.70918,0.825883,0.858693059,48.88888889,22.22222222,2.222222222,17.77777778,4.444444444,4.444444444,3.612865067,0.067752376
8.16815,10.52737,3199.82,0.73192,0.722386,1.01319793,55.94405594,30.76923077,0,11.18881119,0,2.097902098,3.425745015,0.080675056
8.1108,10.25531,3116.86,0.72418,0.751133,0.964116874,55.94405594,30.76923077,0,11.18881119,0,2.097902098,3.560250755,0.080065247
7.74023,10.53968,3229.25,0.74936,0.687634,1.089765777,55.94405594,30.76923077,0,11.18881119,0,2.097902098,3.039853266,0.080028033
4.08689,4.75983,427.97,0.50594,1.55048,0.326311852,50.74626866,17.91044776,0,26.86567164,0,4.47761194,6.106102977,0.029651637
5.06381,7.08528,939.267,0.5264,1.11276,0.473057982,47.16981132,32.0754717,9.433962264,9.433962264,0,1.886792453,5.071258615,0.039280279
13.69556,13.96867,1519.32,0.68178,0.861632,0.791265877,44.44444444,22.22222222,0,27.77777778,0,5.555555556,3.73081195,0.055976655
7.69493,9.54888,1932.37,0.6774,0.866747,0.781542942,40.81632653,32.65306122,6.12244898,16.32653061,0,4.081632653,3.515513547,0.056791164
7.73922,9.60606,1897.81,0.677,0.865497,0.782209528,40.81632653,32.65306122,6.12244898,16.32653061,0,4.081632653,3.467331366,0.056628305
4.20115,4.7399,246.312,0.39348,1.75805,0.22381616,41.17647059,29.41176471,5.882352941,17.64705882,0,5.882352941,6.782494793,0.018497854
7.17951,9.42302,4347,0.78436,0.556224,1.410151306,54,26,2,16,0,2,2.683865371,0.099879988
4.68679,4.84155,444.782,0.46642,1.40449,0.332092076,47.22222222,33.33333333,16.66666667,0,0,2.777777778,5.60410879,0.019748189
4.57423,4.8139,437.041,0.4677,1.40471,0.332951285,47.22222222,33.33333333,16.66666667,0,0,2.777777778,5.697581905,0.020230505
4.26622,4.77305,588.744,0.4922,1.33788,0.367895476,47.22222222,33.33333333,16.66666667,0,0,2.777777778,5.528201101,0.022259298
19.54,37.53,6207.17,0.93,0.16,5.8125,54.54545455,33.56643357,1.398601399,8.391608392,0,2.097902098,0.864114211,0.266913741
4.98141,8.08398,1687.67,0.61126,0.915242,0.667867078,41.66666667,41.66666667,8.333333333,5.555555556,0,2.777777778,4.095406268,0.046981312
4.88927,8.10638,1730.84,0.60644,0.902679,0.671822431,41.66666667,41.66666667,8.333333333,5.555555556,0,2.777777778,4.14530893,0.048125265
4.97897,7.89565,1727.98,0.60914,0.907269,0.671399552,41.66666667,41.66666667,8.333333333,5.555555556,0,2.777777778,4.16471899,0.045278612
6.22752,7.54994,2625.77,0.71052,0.801255,0.886758897,51.1627907,23.25581395,2.325581395,18.60465116,0,4.651162791,3.438142044,0.070638798
6.80894,7.00959,793.947,0.59612,1.69759,0.35115664,22.22222222,22.22222222,33.33333333,0,11.11111111,11.11111111,3.940789078,0.025203437
4.28231,5.87217,2218.57,0.65652,0.954537,0.687788949,52.27272727,20.45454545,0,22.72727273,0,4.545454545,4.723181169,0.068653137
4.06042,6.33732,1600.82,0.62358,1.18458,0.526414425,52.27272727,20.45454545,0,22.72727273,0,4.545454545,4.432538248,0.048691953
6.45442,6.88379,867.384,0.5708,1.62124,0.352076189,47.36842105,15.78947368,0,31.57894737,0,5.263157895,4.441538564,0.03250409
10.76844,25.42698,2429.07,0.83658,0.654082,1.279013946,49.82698962,24.91349481,4.152249135,13.84083045,2.076124567,5.190311419,1.707941007,0.06849853
5.68454,5.83174,345.079,0.41258,1.51867,0.271671923,50,30,0,16.66666667,0,3.333333333,4.938942074,0.013480041
5.25081,7.26399,1762.91,0.59932,0.96381,0.621823803,43.75,18.75,6.25,25,0,6.25,4.213901497,0.053602589
5.5873,6.57451,1582.38,0.60734,0.939158,0.646685648,43.75,18.75,6.25,25,0,6.25,4.353393843,0.054480689
6.93274,11.69294,2124.14,0.69224,0.710904,0.973746104,52.17391304,34.7826087,8.695652174,0,0,2.173913043,4.127638543,0.072801736
7.39815,11.84006,2048.29,0.70204,0.73653,0.953172308,52.17391304,34.7826087,8.695652174,0,0,2.173913043,3.963577626,0.068643335
7.36492,11.84801,2067.8,0.70488,0.733043,0.961580699,52.17391304,34.7826087,8.695652174,0,0,2.173913043,3.960316225,0.069424047
6.70311,11.79938,2122.86,0.70388,0.734288,0.958588456,52.17391304,34.7826087,8.695652174,0,0,2.173913043,3.916510794,0.067369212
7.13512,11.94166,2232.87,0.71434,0.709142,1.007329985,52.17391304,34.7826087,8.695652174,0,0,2.173913043,3.776810912,0.071514794
6.91892,12.04076,2134.58,0.70596,0.729779,0.967361352,52.17391304,34.7826087,8.695652174,0,0,2.173913043,3.90903156,0.069044621
4.52481,10.64181,2211.32,0.67086,0.89363,0.750713382,47.36842105,15.78947368,0,31.57894737,0,5.263157895,3.811570298,0.057189528
7.28684,8.54501,1113.55,0.59522,0.99094,0.600661998,48.21428571,37.5,12.5,0,0,1.785714286,4.137378798,0.040804061
4.40002,8.03493,573.552,0.48206,1.14872,0.419649697,48.4375,35.9375,10.9375,3.125,0,1.5625,5.65570846,0.027200795
4.27216,9.42427,1474.96,0.61826,0.982453,0.629302369,46.875,21.875,6.25,20.3125,0,4.6875,3.706179453,0.046263819
4.5072,7.01648,804.887,0.5435,1.06034,0.512571439,44.18604651,34.10852713,12.40310078,7.751937984,0,1.550387597,4.544683937,0.028104263
10.50387,10.88001,981.784,0.59548,1.19375,0.498831414,53.16455696,27.84810127,0,15.18987342,0,3.797468354,4.360416607,0.03757181
5.9875,6.82031,825.578,0.5077,1.17466,0.432210171,48.93617021,31.91489362,4.255319149,12.76595745,0,2.127659574,4.705451826,0.030874013
6.12106,6.83308,793.258,0.50646,1.18929,0.425850718,48.93617021,31.91489362,4.255319149,12.76595745,0,2.127659574,4.820708498,0.032474045
8.80996,17.2872,4741.45,0.84252,0.383391,2.197547673,56.49717514,29.37853107,2.259887006,9.039548023,1.129943503,1.694915254,1.843500669,0.127320823
5.62993,8.06476,2869.72,0.70336,0.749362,0.938611779,42.10526316,42.10526316,7.01754386,7.01754386,0,1.754385965,3.597826342,0.063745732
8.65235,9.6188,2701.78,0.67854,0.750661,0.903923342,54,30,0,13,0,3,3.789186449,0.071241763
3.94175,6.41608,692.797,0.58084,1.68088,0.345557089,46.15384615,25.64102564,20.51282051,0,0,7.692307692,4.66873565,0.026773097
4.3641,6.81111,1052.63,0.61502,1.50078,0.409800237,46.15384615,25.64102564,20.51282051,0,0,7.692307692,4.154925405,0.030339803
4.2994,7.85983,896.656,0.6021,1.05112,0.572817566,44.11764706,27.94117647,4.411764706,19.11764706,0,4.411764706,4.712756328,0.049441207
7.33698,11.74827,1972.76,0.71176,0.9638,0.738493463,47.05882353,17.64705882,0,23.52941176,0,5.882352941,2.861602327,0.049709826
11.51164,12.50781,1917.32,0.73012,0.899872,0.811359838,47.05882353,17.64705882,0,23.52941176,0,5.882352941,2.718811598,0.050721294
11.17828,12.20276,1798.43,0.71436,0.934439,0.764480078,47.05882353,17.64705882,0,23.52941176,0,5.882352941,2.795030613,0.048406544
6.87343,12.16451,2800.76,0.71512,0.774775,0.923003453,47.61904762,28.57142857,0,19.04761905,0,4.761904762,3.204821545,0.066112513
5.4451,6.31092,645.76,0.49582,1.11362,0.445232665,43.90243902,39.02439024,4.87804878,9.756097561,0,2.43902439,4.084422711,0.019233072
4.93668,5.48228,785.597,0.53086,1.18498,0.447990683,55.17241379,27.5862069,0,13.79310345,0,3.448275862,5.631531018,0.037728678
4.89759,5.65614,913.914,0.55704,1.11309,0.500444708,54.23728814,28.24858757,0,14.12429379,0,3.389830508,5.330052059,0.039842514
4.51467,5.44142,500.175,0.5001,1.81828,0.275040148,43.90243902,14.63414634,0,29.26829268,0,4.87804878,5.454231349,0.024070347
4.88169,5.99991,1468.41,0.61502,1.10463,0.556765614,45.94594595,21.62162162,0,27.02702703,0,5.405405405,4.445936875,0.0463499
4.20229,5.16583,602.813,0.51252,1.16624,0.439463575,47.76119403,38.80597015,5.970149254,5.970149254,0,1.492537313,5.945334666,0.030637224
5.24025,7.13491,1971.32,0.64884,0.961266,0.674984864,47.76119403,23.88059701,0,23.88059701,0,4.47761194,3.881956679,0.047853613
6.30914,7.54763,1344.47,0.61346,1.01674,0.603359758,34.28571429,28.57142857,34.28571429,0,0,2.857142857,4.010580846,0.04117466
5.41267,6.44764,2206.57,0.63174,0.918977,0.687438315,50,26.92307692,3.846153846,15.38461538,0,3.846153846,4.241281991,0.060629438
5.21845,6.19215,1780.51,0.62202,0.959339,0.648383939,50,26.92307692,3.846153846,15.38461538,0,3.846153846,4.878778858,0.063936232
5.72948,7.70901,1552.97,0.59466,1.0049,0.591760374,50,26.92307692,3.846153846,15.38461538,0,3.846153846,4.230303868,0.050170714
6.19226,7.11646,1324.79,0.57908,1.03097,0.561684627,34.7826087,26.08695652,10.86956522,23.91304348,0,4.347826087,4.496546058,0.049389498
5.75134,6.79615,1173.51,0.5675,1.10764,0.512350583,39.28571429,37.5,10.71428571,8.928571429,0,3.571428571,4.278226651,0.033940352
5.81846,6.76349,1181.72,0.56678,1.11335,0.509076211,39.28571429,37.5,10.71428571,8.928571429,0,3.571428571,4.36969055,0.033971068
8.81485,9.37681,1034.7,0.62004,1.01975,0.60803138,30.37974684,53.16455696,11.39240506,0,0,5.063291139,3.223546838,0.024851912
11.54677,12.36039,1097.12,0.6806,1.38142,0.492681444,44.44444444,11.11111111,0,33.33333333,0,11.11111111,2.951098063,0.035153115
4.59142,5.47244,1247.91,0.55474,1.03022,0.538467512,42.64705882,35.29411765,5.882352941,11.76470588,2.941176471,1.470588235,4.995671028,0.044004085
9.13066,13.54985,3063.99,0.77418,0.629882,1.229087353,43.68932039,25.24271845,14.5631068,11.65048544,0,4.854368932,2.443345687,0.075680456
5.06628,5.31376,500.296,0.43594,1.49933,0.290756538,31.25,12.5,12.5,31.25,0,12.5,5.317850906,0.023638616
8.54605,20.14565,5410.53,0.8642,0.342062,2.526442575,54.54545455,30.3030303,0,12.12121212,0,3.03030303,1.629023721,0.139358446
7.46421,8.75902,2449.21,0.68932,0.770453,0.89469442,43.24324324,21.62162162,28.82882883,1.801801802,0,4.504504505,3.541938545,0.066167964
4.41775,4.76295,485.717,0.47632,1.31454,0.362347285,45.71428571,28.57142857,11.42857143,11.42857143,0,2.857142857,8.052717823,0.06383599
4.56338,5.47883,348.291,0.45418,2.08888,0.217427521,29.26829268,0,0,58.53658537,0,12.19512195,3.794698486,0.00984142
4.1969,5.64744,1024.7,0.56064,1.08566,0.516404768,49.41176471,28.23529412,0,16.47058824,0,3.529411765,5.146750103,0.043494442
10.45745,10.54661,1438.1,0.66182,0.882268,0.75013488,36,44,8,8,0,4,3.245856544,0.041134928
10.23297,10.35764,1390.52,0.65554,0.893987,0.733276882,36,44,8,8,0,4,3.350850518,0.041907148
10.09526,10.20776,1062.17,0.6163,1.01266,0.608595185,34.61538462,42.30769231,7.692307692,7.692307692,3.846153846,3.846153846,2.945488351,0.028111751
9.95473,10.07029,1045.07,0.61098,1.02149,0.598126267,34.61538462,42.30769231,7.692307692,7.692307692,3.846153846,3.846153846,2.932998949,0.027422409
10.23127,10.36311,1409.99,0.6572,0.890303,0.738175655,37.5,41.66666667,8.333333333,8.333333333,0,4.166666667,3.252025323,0.041179699
