Polymer density (g/cm3),FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst H2,log_P(MMM)_H2
1.09,0.26,4.10495,8.32537,1624.93,0.64494,0.779327179,4.190168216,3.347165532
0.75,0.29,24.79258,26.16031,5046.76,0.88712,3.511580314,1.112698134,4.127123724
1.33,0.403,15.08441,16.92554,5496.35,0.89306,3.280113125,1.047233069,0.486818322
1.09,0.26,20.98793,21.72315,4580.18,0.89992,2.918937153,1.00941549,3.35586566
0.965,0.314,19.98928,23.95877,4210.41,0.88684,3.034172243,1.08436991,4.504143163
1.33,0.104,10.10535,14.87522,2467.99,0.73434,1.181421973,2.777938239,2.242800963
1.418,0.152,13.34985,14.169,2503.1,0.77684,0.918465551,2.466046518,2.177335151
1.418,0.152,5.65865,8.0326,1415.83,0.60286,0.622154248,4.092177835,2.176715139
1.241,0.225,4.63591,6.9167,2142.22,0.6505,0.694465944,4.324945772,1.630367728
0.75,0.29,5.1227,5.4813,1399.64,0.61972,0.494100013,4.285475434,4.106456017
1.306,0.166,6.68934,13.28076,2158.07,0.72058,0.813100237,3.340342353,1.268308443
0.965,0.314,10.90932,11.71715,1230.01,0.66484,0.545192134,3.260312619,4.499141188
1.306,0.166,19.67196,23.05026,2792.76,0.82726,1.719889562,1.322023159,1.268331988
1.09,0.26,4.63709,9.00352,1350.84,0.6343,0.677569594,4.77504778,3.348972436
1.09,0.26,12.19707,17.55938,5618.22,0.87532,2.849664351,1.242717506,3.355450312
1.386,0.1057,4.95925,5.42751,922.896,0.54634,0.463121668,4.889907039,-1.02056551
1.33,0.104,14.88135,19.60383,3789.95,0.87314,2.145122655,1.070598535,2.242929822
1.33,0.104,7.10265,7.3989,271.356,0.4558,0.244811584,3.908640735,2.242360967
1.09,0.26,5.43482,9.5696,2494.11,0.7068,1.056818182,3.418147941,3.352956191
1.418,0.152,4.70156,5.98836,1367.97,0.5669,0.499145931,4.82068858,2.177205923
1.418,0.152,12.75201,19.40639,5966.28,0.893,3.394004812,1.046704658,2.17745714
1.418,0.152,22.85203,24.02313,2200.36,0.8039,1.296073569,1.646941612,2.177395596
1.386,0.1057,37.80535,41.55282,4576.11,0.95834,8.214812275,0.356215878,-1.020565459
0.965,0.314,5.37715,6.43933,1005.64,0.6692,0.446386286,2.602556635,4.414894065
0.965,0.314,5.76979,7.54466,3591.92,0.72434,0.947138148,3.344983749,4.47744378
1.386,0.1057,14.70788,19.57384,4073.18,0.88784,2.334479748,1.026040849,-1.02056551
0.75,0.29,5.07386,7.34058,438.282,0.4571,0.258028462,5.013205782,4.105834509
1.44,0.2104,4.97261,5.7034,1433.79,0.58618,0.559919763,4.200278425,2.563825126
1.44,0.2104,5.24059,10.16182,1358.2,0.63136,0.550209588,3.545235542,2.562680536
1.311,0.149,9.28158,14.22708,4383.22,0.83638,1.802376073,1.389496111,1.77447018
1.09,0.26,6.81306,7.22831,1378.36,0.61594,0.597936143,4.09713728,3.354974482
1.09,0.26,3.897,4.92906,1043.25,0.57606,0.450596039,5.351072301,3.349330347
1.418,0.152,5.57973,8.9147,1154.77,0.63252,0.469897777,3.486216749,2.176954224
1.311,0.149,9.08154,9.76423,2457.06,0.73812,0.91939534,2.767219074,1.774396305
1.33,0.403,11.99886,20.55663,5841.38,0.87984,3.163162587,1.195705884,0.486818256
1.33,0.104,5.37715,6.43933,1005.64,0.6692,0.446386286,2.602556635,2.242283163
1.44,0.2104,27.85461,31.94456,5815.68,0.92828,5.375288082,0.815847137,2.565129438
0.75,0.29,5.25211,5.8871,3067.58,0.68744,0.934650342,4.308748617,4.107584406
1.418,0.152,4.60824,5.54275,612.62,0.5036,0.475183997,6.600059355,2.176812369
1.241,0.225,4.4159,5.81668,594.288,0.48732,0.37504329,5.633150748,1.630123107
1.418,0.152,3.85621,5.54342,948.983,0.5495,0.432010441,5.369488282,2.176841202
1.44,0.2104,4.13008,5.81942,876.934,0.51738,0.475716729,5.838855475,2.563887619
1.33,0.403,7.33698,11.74827,1972.76,0.71176,0.738493463,2.861602327,0.486815393
0.965,0.314,3.97544,4.76594,1042.83,0.50466,0.430424659,6.278969346,4.462651916
1.09,0.26,11.40609,13.95433,4678.97,0.84998,2.105630837,1.266725356,3.355106369
0.965,0.314,22.57285,25.16112,6171.95,0.92922,5.289426498,0.752427291,4.508401684
1.33,0.104,4.36372,7.19009,1236.06,0.55574,0.534452747,5.283171678,2.242505866
0.75,0.29,28.74849,29.82052,3121.85,0.8409,2.120005042,1.443700466,4.127151725
1.33,0.104,24.4586,29.93609,6247.6,0.94856,7.89690138,0.591551937,2.243002604
0.75,0.29,5.24933,11.33302,4884.86,0.76336,1.367815412,3.029457022,4.123412505
1.306,0.166,5.26481,6.66878,2374.68,0.64048,0.778121055,4.040898452,1.268306669
1.33,0.104,6.72598,9.46149,1886.94,0.72764,0.550325216,1.72037294,2.242845535
1.22,0.25,5.81764,9.82615,2428.56,0.67298,0.840861327,3.392335534,3.762479807
1.22,0.25,16.48515,18.74037,4540.28,0.87234,2.373436577,1.059502963,3.770431179
0.75,0.29,4.99633,6.92653,1215.22,0.54532,0.540380918,5.158357328,4.105253182
1.311,0.149,7.44309,15.4149,3078.75,0.7664,1.320721227,2.202197454,1.774389666
1.241,0.225,14.05074,17.64079,5484.56,0.87234,2.623681527,1.309286431,1.630401831
1.09,0.26,28.6014,30.29074,4735.31,0.88492,3.16376182,1.290056215,3.356017326
1.33,0.104,21.8068,23.44441,3636.44,0.84012,2.027649325,1.452460642,2.242916568
0.965,0.314,5.48397,9.58037,1443.13,0.6563,0.7373246,3.906441502,4.440302281
1.311,0.149,10.84509,13.78108,2896.09,0.80736,1.166211416,1.720764161,1.774448374
1.44,0.2104,14.41981,17.65359,2507.2,0.7468,1.084002973,2.817678276,2.564900494
1.306,0.166,5.66826,5.97637,1982.46,0.64602,0.705179635,4.658951825,1.268312272
1.22,0.25,3.9387,8.06664,1293.09,0.62486,0.538913996,4.933713728,3.754625585
1.311,0.149,22.16543,24.03538,6355.46,0.91472,4.46464045,0.865718749,1.774494741
1.09,0.26,21.20763,21.97378,4538.44,0.86662,2.92675184,1.242035897,3.355672403
1.306,0.166,11.29565,14.17803,3593.62,0.81856,1.502322602,1.461807999,1.268320475
0.75,0.29,12.16002,21.18589,5533.17,0.8769,2.969602969,1.230905324,4.127278903
1.33,0.104,5.2519,11.16649,4942.47,0.76878,1.38469519,2.995937162,2.242870674
1.306,0.166,6.70029,13.27907,2173.74,0.72136,0.81700516,3.33228783,1.268311774
1.241,0.225,10.55154,12.93182,4775.39,0.85842,2.104749552,1.335077899,1.630403802
1.33,0.104,7.24737,10.46531,2859.54,0.7172,1.035191009,3.318653213,2.242838987
1.44,0.2104,11.89898,14.66389,4706.14,0.85322,2.165796848,1.218465608,2.564911148
0.75,0.29,11.33012,13.82491,5538.78,0.85612,2.596553377,1.497924213,4.12714344
1.386,0.1057,4.09417,4.678,307.046,0.4641,0.234220049,5.63073237,-1.020565642
0.75,0.29,4.42953,7.7619,1495.79,0.59842,0.579538631,4.624995749,4.079889391
1.44,0.2104,5.43482,9.5696,2494.11,0.7068,1.056818182,3.418147941,2.564600944
1.33,0.403,15.66581,20.99707,5279.25,0.88722,3.032681258,1.141119538,0.486818056
1.09,0.26,19.54856,23.62625,6865.99,0.90926,4.986071507,0.960031997,3.355628536
1.241,0.225,11.54391,16.90246,5142.97,0.85862,2.475329445,1.393476065,1.630403288
1.306,0.166,4.32368,5.82132,1064.91,0.56054,0.450243781,5.757061692,1.26832569
1.33,0.403,11.07374,11.88903,1359.45,0.65134,0.605385209,2.903086927,0.486818212
1.09,0.26,5.87566,9.14672,1476.64,0.5921,0.639901264,4.660930122,3.354773091
1.09,0.26,4.56022,11.19601,1303.43,0.6639,0.653271276,4.136007926,3.341416803
1.09,0.26,26.1844,29.53452,4857.39,0.87942,2.780994545,1.189543142,3.355901755
0.965,0.314,4.81449,6.07023,739.254,0.50288,0.41581293,5.470627939,4.43128461
0.75,0.29,14.6571,20.79018,3249.93,0.8723,1.799528818,1.120510462,4.125796158
1.241,0.225,7.73253,8.93677,1534.47,0.61018,0.64666483,4.202358608,1.630338015
0.75,0.29,12.59731,18.24915,5396.11,0.86832,2.692506861,1.287513114,4.126915775
1.33,0.403,13.62354,15.54384,4871.27,0.86856,2.485633829,1.136748823,0.486816931
1.33,0.403,5.01285,7.16272,386.347,0.43186,0.223459467,5.380319279,0.486812377
1.386,0.1057,3.87826,5.63541,951.587,0.56598,0.518809812,5.009096041,-1.020565862
0.965,0.314,5.86962,6.83817,889.508,0.5302,0.372334075,4.508321082,4.486334666
0.965,0.314,18.13209,21.1609,5793.75,0.9037,3.70938943,0.943396813,4.503454108
0.965,0.314,5.34376,11.13019,5136.86,0.7746,1.433735542,2.876466933,4.491057067
0.965,0.314,6.35433,7.83796,1068.35,0.57012,0.544808211,5.66533018,4.473506519
1.33,0.403,4.48545,7.24877,1094.73,0.53936,0.523345624,5.921595815,0.486813672
1.09,0.26,5.51061,6.12857,581.507,0.42362,0.292331155,5.726208597,3.346202612
1.44,0.2104,8.76145,9.24219,1380.13,0.63232,0.654817567,3.945243616,2.56456613
1.22,0.25,9.19041,15.87391,4222.78,0.8154,1.755167671,1.789383662,3.769009582
1.241,0.225,6.77637,10.89993,3083.82,0.75168,1.04690662,2.86491942,1.630380857
1.33,0.104,15.8917,21.1684,6397.57,0.89822,3.73825319,1.078113727,2.242962583
0.965,0.314,11.44044,14.99033,3755,0.80006,1.597713843,1.918991951,4.490126289
1.22,0.25,17.40933,20.16624,6274.19,0.91786,4.629250431,0.816099383,3.772457372
1.241,0.225,24.71646,27.66213,7068.28,0.91994,5.218215027,0.879980148,1.630416233
1.22,0.25,11.74951,14.28602,4793.42,0.85042,2.234712916,1.398743651,3.769521709
0.75,0.29,4.11023,8.57756,881.154,0.59796,0.491504944,4.487545401,4.075593689
1.22,0.25,9.32554,12.98489,4582,0.82418,1.825107013,1.866021725,3.770064303
1.306,0.166,6.59726,9.36325,1069.71,0.63646,0.44213656,3.203964548,1.26832347
1.418,0.152,24.62855,28.4663,6386.46,0.93778,7.230489291,0.626926821,2.177498512
1.22,0.25,13.48257,15.44978,4100.06,0.80194,1.797499451,1.983512582,3.767286593
1.22,0.25,7.37206,12.27489,1966.41,0.71848,0.779544022,2.971331008,3.762399317
1.33,0.403,5.53792,6.06957,1665.63,0.62224,0.696801214,3.80569495,0.486803189
1.311,0.149,11.80693,13.62721,4388.25,0.8407,1.961475108,1.362181349,1.774455175
1.311,0.149,11.64986,17.10509,5771.12,0.87368,2.949499178,1.335701308,1.774481327
1.44,0.2104,3.95758,6.27152,549.659,0.47512,0.344035568,5.004923253,2.563901697
1.44,0.2104,6.70705,8.56248,2140.75,0.64536,0.765208483,3.490754102,2.564645863
1.44,0.2104,7.05614,9.84356,2144.78,0.69802,0.765738884,2.420981725,2.564466487
1.386,0.1057,12.55372,16.20632,1701.29,0.71984,0.723593278,2.582002732,-1.020565588
1.44,0.2104,5.04854,5.79552,475.902,0.4525,0.298508447,4.885251633,2.56470264
1.306,0.166,10.42481,12.46916,4227.44,0.82184,1.774825398,1.548534836,1.268328641
1.306,0.166,11.10246,15.35644,5076.57,0.84386,2.128454899,1.567363657,1.268331462
0.75,0.29,4.58543,5.90319,2248.59,0.65716,0.772952997,4.790563897,4.107105826
1.241,0.225,5.23079,9.91334,4850.78,0.75556,1.311840876,3.145164188,1.630372946
0.75,0.29,12.90186,14.14048,4424.32,0.88572,2.314591238,0.910113114,4.127111541
1.44,0.2104,5.19047,10.81396,2196.41,0.73196,0.735583484,2.922903878,2.564416559
0.75,0.29,8.31239,12.00651,4439.46,0.8091,1.679690095,1.887503741,4.12299843
1.241,0.225,4.59542,6.74859,934.009,0.51936,0.493721065,5.273704693,1.630148451
0.965,0.314,11.45676,15.88972,4449.58,0.8503,2.031629676,1.414834052,4.494872157
1.241,0.225,22.38431,26.9294,5447.2,0.91938,4.285794199,0.905001802,1.630416061
1.241,0.225,17.89089,23.51466,6069.59,0.92014,4.85400632,0.896071911,1.630413093
1.33,0.403,17.63342,22.68288,6410.54,0.92094,5.024907925,0.811358882,0.486818891
1.44,0.2104,22.15577,26.19702,6721.09,0.9277,5.603508157,0.742707179,2.565145873
1.418,0.152,4.41246,5.52672,557.463,0.47838,0.357795695,6.033720397,2.177280145
1.306,0.166,10.84509,13.78108,2896.09,0.80736,1.166211416,1.720764161,1.268322527
1.241,0.225,8.38381,11.04706,4514.51,0.81322,1.62734806,1.910824209,1.630388957
1.33,0.403,5.8507,10.41989,2819.8,0.72036,0.921342595,3.515369196,0.486815772
1.22,0.25,6.61211,9.67481,2783.32,0.7229,0.928926639,2.497387915,3.762948389
1.09,0.26,25.12564,27.62595,4475.16,0.92166,4.321037432,0.686799036,3.356415616
1.241,0.225,4.40009,5.23045,1086.26,0.57466,0.479102922,5.287425612,1.630278097
1.09,0.26,9.75982,15.60764,4525.87,0.83518,1.981108802,1.531824336,3.354770367
1.33,0.104,27.12844,29.59597,4271.73,0.88712,3.18364681,1.126060682,2.242957054
1.418,0.152,3.82431,4.33176,290.352,0.44506,0.330504006,6.256120367,2.176897575
0.965,0.314,7.17386,7.35052,1113.64,0.60504,0.453845808,4.766137664,4.499207681
1.306,0.166,5.34922,11.36787,5067.93,0.77464,1.450821453,2.838179855,1.26832479
1.386,0.1057,11.01016,16.49811,5121.56,0.86154,2.52775561,1.36457482,-1.02056551
1.306,0.166,10.64646,11.39615,1263.84,0.6358,0.542894469,3.003630499,1.268331122
1.311,0.149,6.71346,18.07263,3391.08,0.77286,1.223576721,2.784352766,1.774452218
1.386,0.1057,19.95548,21.62613,4829.79,0.84076,2.684864665,1.622699168,-1.020565533
1.09,0.26,4.15774,7.61112,1740.96,0.61472,0.599440268,4.453120393,3.351851936
1.33,0.104,13.69556,13.96867,1519.32,0.68178,0.791265877,3.73081195,2.242988126
1.306,0.166,12.59928,20.33137,5681.69,0.88782,3.333971723,1.097315559,1.268333943
1.311,0.149,7.259,11.15594,2281.39,0.72028,0.873776279,2.932542413,1.77432918
1.22,0.25,6.55268,13.92314,3281.76,0.75252,1.116124267,3.083372525,3.768015427
1.306,0.166,24.60174,28.5035,6931.97,0.93012,6.177531299,0.730109001,1.268334765
1.386,0.1057,10.9095,17.62883,5985.84,0.88006,3.028694928,1.235691673,-1.020565502
1.241,0.225,3.82583,4.81496,1175.18,0.57806,0.509991442,5.052351559,1.630319077
1.44,0.2104,11.91301,20.62785,3407.56,0.81774,1.711225694,1.746347332,2.565027856
1.311,0.149,20.86674,24.30639,6859.47,0.90232,4.677705316,1.018401679,1.774498384
