Polymer density (g/cm3),FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst H2,log_P(MMM)_H2
1.306,0.166,9.05531,15.53203,4642.55,0.82362,1.966191682,1.760722162,1.268324377
1.311,0.149,24.13222,30.45445,7144.26,0.94182,6.930701812,0.640798446,1.774501586
0.75,0.29,26.42983,29.35601,6914.35,0.9489,7.891191537,0.553574349,4.132406249
1.306,0.166,12.85273,16.87192,4582.16,0.84062,2.164337429,1.477061045,1.268329999
1.311,0.149,23.82659,27.03647,6257.65,0.93276,5.8972365,0.737832467,1.774499307
1.44,0.2104,5.32518,5.69577,584.031,0.45438,0.330867254,5.306271454,2.563861212
1.22,0.25,4.21343,7.49731,574.38,0.48284,0.333349443,5.08324522,3.75306584
1.386,0.1057,7.94571,10.66058,2567.2,0.74448,0.981699936,2.263730036,-1.020565613
1.386,0.1057,22.0064,27.05135,5206.62,0.93052,4.924923653,0.741418218,-1.020565479
1.09,0.26,15.95482,20.7617,4047.8,0.86374,2.179708477,1.329225371,3.355139192
1.33,0.104,4.67755,5.68214,1015.19,0.60378,0.371332981,3.359918131,2.242435539
1.44,0.2104,7.00403,7.53698,1604.15,0.6266,0.634215662,3.903257919,2.565055289
0.75,0.29,6.41176,6.87071,1618.25,0.62586,0.624947577,4.03017712,4.124701848
1.33,0.104,4.36093,5.51379,379.088,0.44002,0.247410739,5.083394512,2.242788015
0.75,0.29,16.82899,21.22465,5294.42,0.90184,3.536405559,1.034593901,4.129572507
1.418,0.152,5.99614,9.10869,2819.55,0.72198,0.916556749,3.386354724,2.177141948
1.418,0.152,5.12,12.83,2057,0.68324,0.952250871,3.891614784,2.177256987
1.22,0.25,4.14091,6.01546,2037.61,0.65322,0.662201438,4.51336084,3.763882796
0.965,0.314,7.96677,15.08284,3722.2,0.81234,1.373618291,2.022719053,4.477742644
1.09,0.26,8.61131,14.85151,3337.86,0.79268,1.312790549,1.621646666,3.354584656
0.965,0.314,14.06888,18.32042,5058.3,0.8709,2.611253366,1.336440644,4.498178429
0.75,0.29,5.75905,9.85555,1528.3,0.67512,0.584003737,3.083397721,4.098584391
1.44,0.2104,17.4217,20.82765,5441.11,0.90158,3.818021665,1.058191101,2.565120437
1.386,0.1057,27.40868,35.58698,7002.83,0.95324,8.786431929,0.523902068,-1.020565466
1.386,0.1057,3.96893,6.00569,202.584,0.52692,0.465292066,5.942696164,-1.02056617
1.418,0.152,23.39559,26.2303,5948.97,0.92204,5.061898514,0.811030984,2.177472412
1.44,0.2104,6.5073,6.8634,726.537,0.5622,0.521385911,5.269925694,2.564864001
1.311,0.149,8.53186,8.97102,2862.83,0.7192,0.951165482,2.72529306,1.77444198
1.09,0.26,11.67768,14.04348,5446.03,0.8317,2.362871356,1.743824493,3.355078198
1.306,0.166,15.36935,18.76315,4753.55,0.86322,2.720585454,1.386311874,1.268333998
0.965,0.314,32.82242,35.77184,4512.59,0.92464,4.645871855,0.646261316,4.510162717
1.09,0.26,10.84009,13.68678,4633.26,0.82684,1.958872305,1.632990517,3.354674621
1.418,0.152,9.0783,12.86194,3317.02,0.7844,1.289949119,1.906571204,2.177346855
1.386,0.1057,4.17251,6.53947,360.568,0.46198,0.323535797,6.313193713,-1.020566551
0.75,0.29,8.49706,15.23854,4498.28,0.82404,1.806566463,1.691444944,4.120750702
1.33,0.403,4.05664,5.44423,634.137,0.49082,0.409200807,7.10747885,0.486816657
0.75,0.29,15.80027,18.43344,5267.5,0.86286,2.536249563,1.275975742,4.125191634
1.241,0.225,5.66915,8.39488,1840.05,0.65236,0.728921546,3.380095628,1.630328676
1.386,0.1057,41.32298,44.64291,5056.25,0.95838,9.353699004,0.391550841,-1.020565462
1.33,0.403,4.05594,6.19427,608.921,0.488,0.41022882,5.783936232,0.486788693
1.33,0.104,7.81245,10.65749,3315.5,0.761,1.13488927,2.336877954,2.24279187
1.311,0.149,15.80943,20.80539,4226.77,0.9001,2.749992362,0.911280083,1.774490671
1.22,0.25,8.31604,10.41333,5242.19,0.82044,1.873873709,2.160289427,3.771069097
1.33,0.403,5.08469,6.62212,670.362,0.50502,0.448332801,6.505044986,0.486791249
1.386,0.1057,19.04383,24.42543,6048.11,0.91896,5.201150076,0.867869969,-1.020565479
1.241,0.225,6.07597,13.25241,1038.46,0.66214,0.492096169,3.020480837,1.630347679
1.311,0.149,10.38272,12.9793,4180.15,0.80426,1.591358787,1.958696777,1.774458072
1.386,0.1057,19.67803,24.7967,6778.18,0.93342,5.659354651,0.672513993,-1.020565476
1.33,0.403,11.79914,16.24684,5326.33,0.86112,2.476795858,1.310134632,0.486817846
1.311,0.149,12.32703,17.00774,6768.68,0.89082,3.670094428,1.149927281,1.774489662
1.33,0.403,7.07674,9.26842,3110.96,0.72142,1.040660211,2.788252135,0.486814067
1.241,0.225,9.03098,14.05314,5286.68,0.8369,2.240588138,1.70180371,1.630396045
1.306,0.166,27.42735,31.54506,4190.75,0.89412,3.305422161,1.085782547,1.268337412
1.33,0.104,8.3704,8.53124,820.299,0.54676,0.462603222,3.798182816,2.24288541
1.306,0.166,7.38629,10.94309,3743.96,0.77758,1.258275038,1.881527084,1.268318332
1.09,0.26,21.88216,26.00372,4868.64,0.9216,3.914422967,0.750587109,3.356257126
1.306,0.166,10.28889,14.39212,5960.12,0.8473,2.501210311,1.553292022,1.268331262
1.33,0.104,3.98908,6.09913,740.584,0.5408,0.392538288,5.219874235,2.242083463
1.418,0.152,16.3805,19.96396,5302.15,0.89144,3.518902297,1.071918569,2.177461197
1.386,0.1057,9.21198,12.65873,4749.97,0.81464,1.916935313,1.84160761,-1.020565559
1.386,0.1057,5.78406,7.70786,884.827,0.5531,0.400399603,3.277047897,-1.020566394
1.44,0.2104,11.4488,14.99606,4426.2,0.8252,1.97977045,1.932581332,2.564902594
1.311,0.149,8.92293,14.17531,6196.96,0.85394,2.546231968,1.483633669,1.774472638
0.965,0.314,6.42698,10.38833,3447.92,0.73666,1.125152737,2.202523994,4.44873324
1.09,0.26,3.90043,5.63611,940.737,0.56404,0.530796232,4.945433289,3.343987174
1.311,0.149,11.16592,17.17663,5860.02,0.88446,3.072023007,1.108125083,1.774489141
1.09,0.26,17.59783,20.69509,5800.01,0.89872,3.608114564,1.079022574,3.355919027
1.22,0.25,9.25845,13.55213,3653.55,0.80908,1.431776998,1.814960094,3.765634528
1.22,0.25,7.52386,8.16009,1339.59,0.66272,0.54013611,4.094710886,3.757070658
1.306,0.166,4.88733,5.63983,852.337,0.49684,0.433478454,5.610305554,1.26824589
1.22,0.25,8.59079,19.43102,4036.3,0.8236,1.835336694,1.918398609,3.768755733
1.33,0.104,6.47185,8.33004,2086.19,0.65498,0.765836342,4.187899263,2.242672108
1.22,0.25,4.82481,8.16413,1651.96,0.62598,0.62423215,3.539567403,3.748302676
1.33,0.104,6.78698,10.89625,2386.84,0.71854,0.88401746,3.663867367,2.242763637
1.418,0.152,16.79909,21.41388,5176.77,0.90528,3.534055021,0.99606583,2.177471785
1.44,0.2104,5.53552,8.42183,2318.74,0.68256,0.790538921,3.607345351,2.564722172
1.33,0.104,21.89178,24.94467,4889.4,0.89064,3.4409433,1.020832804,2.242966649
1.311,0.149,9.6087,12.95456,4743.72,0.82074,1.968933297,1.970388129,1.774480049
1.386,0.1057,22.88475,27.30582,7063.95,0.93608,6.455546054,0.668545217,-1.020565481
1.33,0.403,15.24215,20.90093,3735.84,0.8596,2.331605515,1.324182398,0.486818655
1.311,0.149,7.09957,11.41445,2679.6,0.74964,0.929192516,2.261910873,1.774442053
1.33,0.104,19.66276,22.68177,6082.77,0.91874,4.583981958,0.787691567,2.242979651
1.33,0.403,10.79794,13.51834,2952.94,0.82848,1.318597367,1.365547794,0.486817623
1.09,0.26,7.47406,11.20532,3174.33,0.7583,1.120861806,2.036598184,3.35438857
1.33,0.403,9.16824,14.49366,5266.83,0.8411,2.299331332,1.643896096,0.48681731
1.33,0.104,8.21524,14.56083,3596.15,0.77812,1.337794252,2.2871823,2.242815197
1.311,0.149,4.46538,5.96732,827.695,0.53506,0.329598305,4.787907195,1.774457233
1.311,0.149,7.46673,9.06566,2614.65,0.70354,0.934288772,3.099468208,1.774438628
1.44,0.2104,6.91923,14.25935,3279.8,0.71174,1.219292415,2.850612408,2.564664788
1.33,0.104,10.06618,14.45959,3939.45,0.80034,1.520420066,1.815918389,2.242832868
1.33,0.104,7.4101,12.53717,3911.28,0.80214,1.369000787,1.896716609,2.242874856
1.311,0.149,4.16271,5.05147,361.626,0.47498,0.419994341,6.307210181,1.774296672
0.965,0.314,17.51017,22.6296,5881.45,0.908,4.400184149,1.023120386,4.506714202
1.09,0.26,22.84407,28.28563,5505.42,0.9403,6.165497344,0.632496795,3.356498732
1.33,0.403,11.49454,13.35709,3570.32,0.8031,1.505858617,1.926154577,0.48681683
1.306,0.166,17.01823,21.30993,4839.97,0.88178,3.258177035,1.181631606,1.268337031
1.386,0.1057,9.91482,16.26449,3652.18,0.80184,1.603484375,1.853722986,-1.020565529
0.75,0.29,7.39459,7.6174,2575.84,0.68964,0.791417928,3.982546566,4.113832654
1.33,0.403,16.52482,19.90194,3759.56,0.8796,2.189295946,1.017044971,0.486818319
1.311,0.149,10.36689,14.61184,5152.18,0.84032,2.117779296,1.606790411,1.774468858
1.33,0.403,4.11023,8.57756,881.154,0.59796,0.491504944,4.487545401,0.486803951
1.33,0.104,11.40609,13.95433,4678.97,0.84998,2.105630837,1.266725356,2.242893116
1.306,0.166,17.51017,22.6296,5881.45,0.908,4.400184149,1.023120386,1.268337827
1.33,0.104,9.35582,11.64669,4142.67,0.7958,1.624234112,1.979117646,2.242860763
0.75,0.29,27.52302,28.89023,5654.39,0.90718,4.225475446,0.952411167,4.129919476
1.44,0.2104,14.8194,18.91409,5075.15,0.87972,2.846483636,1.012751465,2.565000611
1.418,0.152,21.59472,24.33064,4256.12,0.89964,3.329274927,0.946160683,2.177481093
0.75,0.29,11.63652,15.4719,3387.12,0.8446,1.49427748,1.175657714,4.125765675
1.306,0.166,9.8004,12.23267,3799.74,0.79126,1.439609923,1.968183743,1.26831813
0.965,0.314,4.74657,6.37536,775.425,0.5131,0.372189177,4.949077095,4.429887539
1.311,0.149,10.344,16.79584,5108.78,0.8594,2.426285417,1.367684215,1.774475633
1.33,0.104,6.01154,10.63837,1715.22,0.6658,0.633028134,2.836863516,2.242575798
1.09,0.26,26.25487,29.79611,7324.57,0.94536,7.473319736,0.567551705,3.356415469
1.386,0.1057,4.18847,5.89344,1389.07,0.57098,0.580056138,5.614591542,-1.020565844
1.33,0.104,4.38596,4.69951,2426.46,0.66926,0.767312572,4.378187646,2.24264947
1.418,0.152,8.92064,12.81346,3669.05,0.80054,1.413559962,1.852748374,2.17739472
1.33,0.104,4.07497,5.51848,768.197,0.5054,0.375722973,5.173008449,2.242392602
1.33,0.403,4.41446,7.10434,2627.19,0.6595,0.788356942,4.272726977,0.486812579
1.241,0.225,31.78102,33.49842,3882.78,0.87646,2.824484061,1.075281996,1.630410059
1.311,0.149,5.87111,6.88083,932.255,0.53724,0.387940932,4.766246046,1.774360275
0.965,0.314,6.43648,6.91507,776.782,0.5279,0.455809215,5.17107422,4.441068845
0.75,0.29,3.93376,5.7859,1061.51,0.55152,0.502757546,5.283775678,4.084719287
1.22,0.25,10.62301,11.39174,1088.8,0.62762,0.475340059,3.145155939,3.771198371
1.33,0.104,3.93376,5.7859,1061.51,0.55152,0.502757546,5.283775678,2.242288545
1.33,0.104,6.64118,10.30601,2422.77,0.69722,0.86512953,3.015070825,2.242531996
0.965,0.314,5.38216,9.71412,2474.06,0.70686,1.058764849,3.429344639,4.454208777
0.75,0.29,9.04853,12.50004,3196.15,0.76914,1.235764781,2.71674645,4.12530011
1.386,0.1057,4.18016,7.59478,1066.02,0.55046,0.488685292,4.194081358,-1.020566008
0.965,0.314,3.897,4.92906,1043.25,0.57606,0.450596039,5.351072301,4.430958072
1.386,0.1057,13.86289,17.67488,6308.21,0.88966,3.634840803,1.135487465,-1.020565491
1.386,0.1057,34.35542,34.85961,3369.2,0.84726,2.961349989,1.609523628,-1.020565481
1.33,0.104,10.35916,13.01831,3902.77,0.82054,1.657482446,1.458668081,2.242873359
0.75,0.29,6.00066,8.56369,2472.15,0.64792,0.759476459,4.071383753,4.112962754
0.965,0.314,18.40497,23.52802,6619.45,0.93016,5.775059758,0.706644768,4.506166842
1.33,0.403,27.25458,30.16259,7188.32,0.9434,7.231557,0.596038884,0.486819075
1.33,0.104,21.16438,24.24407,6264.14,0.91266,4.392413166,0.906407328,2.242978892
1.09,0.26,6.56489,12.02421,936.78,0.64318,0.423147521,3.292823256,3.350683617
1.33,0.403,5.73918,6.47898,1033.77,0.53274,0.455391717,4.80675908,0.486811184
0.965,0.314,3.97327,8.08316,1385.79,0.62858,0.549664647,3.65530563,4.444600062
1.241,0.225,23.96485,24.14101,5029.19,0.89074,3.014756651,1.127081225,1.630407745
1.311,0.149,16.07974,18.93723,5403.91,0.88552,3.510416047,1.158913625,1.774487414
1.418,0.152,7.67742,12.0955,1551.09,0.61846,0.696597322,4.207924538,2.176705349
1.22,0.25,4.12193,5.72746,1461.04,0.60832,0.500617213,4.659450967,3.762112272
1.306,0.166,15.50418,19.02295,3476.05,0.8569,1.664788623,1.304581343,1.26833223
1.386,0.1057,4.67285,5.69723,1043.32,0.60696,0.379122526,3.293872938,-1.020565661
0.75,0.29,5.28768,6.55692,1112.41,0.53644,0.556149378,4.83760113,4.094482171
1.33,0.104,24.15697,26.1697,6265.47,0.9379,6.265657463,0.676797689,2.242990996
1.311,0.149,4.11357,10.20828,1230.05,0.6354,0.509228464,3.347793455,1.774205958
1.418,0.152,5.10881,11.32995,1270.35,0.65754,0.481851958,2.724106938,2.177033625
1.386,0.1057,9.93218,11.71394,3165.93,0.76556,1.253032084,2.317971342,-1.020565563
1.306,0.166,4.53531,6.19197,1294.04,0.58712,0.537045845,5.19328765,1.268300889
1.22,0.25,4.28121,9.61163,2464.3,0.68112,0.858757404,3.556922487,3.76117505
1.09,0.26,8.02511,11.31495,2549.42,0.69652,0.993317228,3.107485961,3.353897338
1.22,0.25,4.31032,5.44718,1365.35,0.61104,0.641163799,5.460663526,3.756065938
1.44,0.2104,5.84937,6.69444,710.088,0.50328,0.442915101,6.150137153,2.563826211
1.33,0.104,11.84206,17.76298,4239.52,0.81062,1.856941597,1.953103887,2.24287187
0.965,0.314,14.15328,17.59506,5118.86,0.88548,2.785938793,1.011171869,4.495557776
0.75,0.29,6.41603,18.775,3508.39,0.76482,1.252351782,2.621267134,4.12020586
1.44,0.2104,7.9598,15.04191,3715.38,0.81252,1.368240427,2.043659966,2.564796732
1.418,0.152,4.16071,5.40468,745.81,0.516,0.333232158,4.25163801,2.176252003
1.33,0.403,8.75797,15.87955,4310.96,0.81248,1.762643618,2.06733607,0.486817114
0.75,0.29,4.42032,5.45833,998.673,0.53636,0.441619392,5.041738836,4.127074295
1.33,0.104,22.404,26.27861,6489.05,0.93198,5.706640541,0.717089672,2.242984935
1.311,0.149,5.27542,5.40721,1074.11,0.54272,0.458289353,5.559739786,1.774411042
1.33,0.104,30.01178,33.32975,7105.98,0.94416,7.792220654,0.602905862,2.243000678
1.33,0.104,4.49362,9.13292,1671.45,0.64378,0.674510708,3.379323086,2.242557018
1.418,0.152,9.67697,16.51791,4345.48,0.84102,1.923456926,1.574421882,2.177393309
1.418,0.152,4.25931,7.74379,1930.06,0.67216,0.700458524,3.576019121,2.177090773
1.386,0.1057,10.58741,13.31465,4885.73,0.8249,1.904922454,1.684654205,-1.020565523
1.09,0.26,26.28237,28.69642,6572.85,0.91976,4.910047939,0.854091532,3.355859256
1.311,0.149,5.30071,6.00247,524.787,0.48104,0.28003423,4.811769076,1.774383451
0.75,0.29,6.89092,13.27896,2039.84,0.72896,0.825481019,3.240855229,4.114735115
0.75,0.29,4.59516,6.36899,1154.29,0.59546,0.496804552,4.972816752,4.097216272
1.44,0.2104,10.75448,11.457,1248.66,0.63676,0.543088155,3.069919584,2.565000305
1.33,0.403,4.50564,5.27757,645.373,0.54238,0.437265699,5.278941633,0.48680915
1.33,0.403,10.5276,12.10492,4387.97,0.8462,1.827408975,1.311260017,0.486817591
1.33,0.104,3.90104,4.69422,296.044,0.43882,0.328217326,6.667704416,2.242335226
1.386,0.1057,6.35025,8.87571,2498.11,0.6809,0.875237801,3.67289434,-1.020565665
1.33,0.104,20.18712,24.09754,6328.57,0.92814,5.529942385,0.799562766,2.242986984
1.44,0.2104,4.86094,6.48832,816.468,0.51428,0.384370469,4.764575356,2.564021564
0.965,0.314,6.65759,10.49908,2717.49,0.7146,0.922905253,2.631359014,4.453031668
0.965,0.314,6.10487,6.74707,1222.91,0.57302,0.5593768,4.998964866,4.430297255
1.386,0.1057,34.49931,40.65858,6711.71,0.96506,12.15521943,0.396820402,-1.020565458
1.311,0.149,4.04173,4.60479,130.945,0.43722,0.22046188,6.283678465,1.774271342
1.418,0.152,11.09496,12.8466,1967.31,0.6925,0.982567758,3.033196319,2.177351788
1.311,0.149,15.39461,20.25817,4181.59,0.87396,2.401906222,1.2793212,1.774477609
1.22,0.25,3.92327,4.97412,338.355,0.55174,0.496177989,6.276079357,3.671718591
1.33,0.104,6.12785,12.37213,3656.28,0.76108,1.239727712,3.049511672,2.242781166
1.44,0.2104,10.03609,13.87561,1610.91,0.70492,0.729846446,2.99153608,2.564649876
0.965,0.314,18.91713,21.19624,6444.31,0.92314,5.001733816,0.763304003,4.50684952
1.09,0.26,8.56409,18.51885,4401.09,0.81236,1.659862611,2.269711541,3.355154305
1.44,0.2104,21.87267,23.61427,5727.07,0.89608,3.661369867,1.049298179,2.565120422
1.311,0.149,12.60426,18.03847,5738.69,0.88632,3.19483244,1.118915053,1.77448146
0.965,0.314,5.01099,5.19048,388.112,0.4702,0.318931018,4.952007648,4.412066007
1.33,0.403,4.2949,5.66876,1042.39,0.55906,0.527848328,5.672980453,0.486813919
1.09,0.26,12.1463,14.62683,4398.97,0.84652,2.030618071,1.441994959,3.355489439
1.418,0.152,22.12986,24.70803,3032.97,0.83264,1.819584396,1.322670699,2.177440343
1.306,0.166,11.25742,14.86582,6316.26,0.87572,3.211965831,1.30652679,1.268331362
1.418,0.152,14.47429,17.68599,4190.23,0.84228,1.880702193,1.305916841,2.177415893
0.965,0.314,5.52341,9.19521,2015.37,0.64538,0.733975212,4.287142768,4.449088275
1.33,0.104,4.29629,6.02864,1318.64,0.60574,0.535002031,4.431852283,2.242301174
1.386,0.1057,10.04806,12.88591,4524.87,0.8222,1.852502749,1.670628174,-1.020565537
1.418,0.152,9.18624,11.11935,3028.87,0.74914,1.120269652,2.944941234,2.177324478
1.386,0.1057,5.48397,9.58037,1443.13,0.6563,0.7373246,3.906441502,-1.020565732
0.965,0.314,4.60402,8.13943,1755.85,0.63042,0.684562753,3.789157852,4.399072213
1.306,0.166,8.33442,12.23653,3500.36,0.78174,1.313934863,1.846322374,1.268320073
0.965,0.314,21.54787,24.40483,6241.82,0.91272,4.376714299,0.852390515,4.505360375
1.33,0.104,4.08985,5.22962,253.575,0.42026,0.203014347,4.981698325,2.241908334
1.33,0.104,5.37053,11.40329,1624.52,0.6733,0.623068239,3.023384802,2.242551018
1.241,0.225,8.07627,10.10393,2111.24,0.68152,0.855687487,3.739922231,1.630339626
1.22,0.25,11.2897,16.2393,5011.49,0.84844,2.246339016,1.61911585,3.770024809
0.965,0.314,25.94728,32.01046,5028.47,0.93968,6.005496261,0.589618046,4.511729707
1.418,0.152,18.09131,21.59107,6185.61,0.91346,4.377743698,0.868499265,2.177488377
1.241,0.225,19.77536,22.05378,2725.09,0.80234,1.477505216,1.654568415,1.630390664
1.44,0.2104,10.47742,13.046,4622.21,0.8451,2.098438648,1.459161889,2.565022875
1.44,0.2104,7.4051,12.54269,3834.35,0.78096,1.365985738,2.124105276,2.564838922
1.311,0.149,10.27787,10.39364,1240.53,0.61214,0.617827098,3.482050384,1.774400512
1.241,0.225,11.58792,15.59036,4584.78,0.83806,2.082053881,1.617901935,1.630392761
1.311,0.149,6.51713,9.423,1680.84,0.70624,0.576371887,2.439767369,1.774317554
1.33,0.403,5.15011,5.65834,2097.92,0.66534,0.648896951,3.978133226,0.486812604
1.311,0.149,5.99619,7.75927,1005.44,0.6128,0.434231132,3.84467604,1.774299535
0.965,0.314,7.93542,10.78123,1639.7,0.63194,0.767663712,3.576832795,4.447064437
0.75,0.29,3.80399,4.88677,629.912,0.54964,0.459296398,5.982856102,4.096587067
1.33,0.104,3.95101,5.22384,532.984,0.47686,0.360152562,6.173198373,2.242791849
1.311,0.149,5.50957,5.63288,1260.43,0.56064,0.521108694,5.055839876,1.774375748
1.306,0.166,7.25608,11.30434,3596.33,0.7733,1.20622125,1.896898923,1.268322984
1.09,0.26,4.57547,5.99371,1838.85,0.6336,0.665481907,5.010718563,3.35350764
1.386,0.1057,25.0306,28.2361,5571.97,0.90108,4.052766746,1.040217571,-1.020565496
1.418,0.152,14.35763,15.79235,4306.1,0.86288,2.218308863,1.201911579,2.177450928
1.33,0.104,3.94888,5.20115,859.911,0.55324,0.439246697,5.806399866,2.242591195
1.44,0.2104,3.80136,15.21973,1606.47,0.65618,0.785195467,4.39771609,2.563648869
1.311,0.149,29.98846,34.52589,5005.47,0.95526,7.496468594,0.508131539,1.774508546
0.75,0.29,22.06864,26.65095,6938.53,0.93716,6.361044744,0.64483737,4.131987153
1.418,0.152,9.08154,9.76423,2457.06,0.73812,0.91939534,2.767219074,2.177231457
1.386,0.1057,6.76772,8.14998,2029,0.62938,0.683983794,4.468484303,-1.020565637
0.965,0.314,5.09184,7.80723,2137.05,0.66384,0.786612049,3.710878193,4.403065843
1.386,0.1057,26.11926,36.86564,6406.48,0.94344,7.33235925,0.64395592,-1.02056547
1.33,0.403,14.28379,20.43069,4601.52,0.87186,2.632570611,1.229420112,0.486818296
0.75,0.29,4.42912,5.58853,1453.05,0.62874,0.576809813,4.662752141,4.102804226
1.44,0.2104,17.59438,20.49565,5600.36,0.89512,3.386526835,1.053140597,2.565109845
1.311,0.149,15.63931,18.12851,3887,0.82858,1.884541203,1.671140336,1.774467443
1.09,0.26,8.49338,10.35501,3579.08,0.7731,1.263670972,2.262734974,3.353950338
1.33,0.403,27.16182,30.35527,6682.38,0.94254,6.81040774,0.568145025,0.486819437
1.241,0.225,4.08985,5.22962,253.575,0.42026,0.203014347,4.981698325,1.630151567
0.75,0.29,11.62428,14.32035,5290.08,0.84874,2.219908927,1.542055848,4.126992997
1.33,0.403,33.09757,39.00903,4049.03,0.95292,6.605802225,0.414716538,0.486819574
1.418,0.152,6.51096,10.72143,848.769,0.5977,0.437615774,3.697453195,2.176845706
1.311,0.149,5.2041,6.69521,1689.6,0.6524,0.577564914,3.979789937,1.774429303
1.386,0.1057,37.06746,38.37497,3404.32,0.88362,2.835114063,0.980980624,-1.020565485
1.09,0.26,4.33923,5.78991,1083.76,0.55066,0.529873079,5.572659138,3.352458112
1.241,0.225,4.28533,4.71676,490.81,0.49148,0.376887389,7.480760656,1.630410521
0.75,0.29,4.90729,5.63222,794.401,0.55474,0.385857771,4.560947018,4.114787749
1.33,0.104,3.80214,5.49154,196.459,0.44942,0.263317631,5.48736945,2.242136711
1.33,0.403,7.89388,14.86745,3538.74,0.80412,1.320055946,2.062293092,0.486815739
1.33,0.104,10.78411,14.60227,4417.34,0.8298,1.908823651,1.675855348,2.242882214
1.09,0.26,9.80221,10.90817,1390.23,0.63658,0.586958526,2.974842206,3.355665373
1.386,0.1057,4.94745,8.69265,1075.16,0.60728,0.506852288,4.318409736,-1.020565607
1.09,0.26,9.26877,9.52896,963.15,0.55786,0.495373577,3.446824013,3.355584183
1.33,0.403,5.81939,7.61968,1791.39,0.63844,0.686572878,4.059950371,0.486813884
0.75,0.29,4.4337,4.76594,650.849,0.51214,0.341941859,6.365070897,4.128975773
1.418,0.152,11.47955,14.25874,4186.75,0.82442,1.842357553,1.36136036,2.177371396
1.241,0.225,4.57423,4.8139,437.041,0.4677,0.332951285,5.697581905,1.629834587
1.311,0.149,4.95734,7.75901,1199.81,0.62918,0.468865506,3.716962984,1.774296256
1.418,0.152,6.02731,8.93102,2557.49,0.69584,0.820833196,2.543022748,2.177221399
0.965,0.314,7.5363,10.16803,3252.49,0.72872,1.081161278,2.66357432,4.470653032
0.75,0.29,12.08403,12.38134,2036.14,0.744,0.921349678,2.07249427,4.111726378
1.418,0.152,7.50835,8.27117,1381.5,0.6644,0.53663304,4.01117592,2.177309248
0.965,0.314,5.68768,9.0278,2490.35,0.69172,0.828125524,3.116176451,4.465665834
1.44,0.2104,17.04313,19.38216,3213.97,0.83066,1.689968343,1.772582816,2.565044378
0.75,0.29,9.73441,12.74391,3083.5,0.76624,1.258921413,1.905725367,4.113481753
1.22,0.25,8.56409,18.51885,4401.09,0.81236,1.659862611,2.269711541,3.769777377
1.22,0.25,10.50387,10.88001,981.784,0.59548,0.498831414,4.360416607,3.770861412
1.33,0.104,16.44753,21.106,4896.56,0.89854,3.145135321,0.903031861,2.242960462
0.75,0.29,4.18424,5.70734,953.275,0.56412,0.406628655,5.30909386,4.100358871
1.306,0.166,12.09542,15.94847,5533.54,0.87766,2.771371192,1.228847073,1.268333748
1.418,0.152,13.33408,21.77085,4517.69,0.8629,2.619333101,1.396492372,2.177434393
1.311,0.149,20.36442,25.77619,5647.5,0.90818,4.090974612,1.077810707,1.774491545
0.75,0.29,6.68072,9.27005,2921.23,0.70932,0.99466433,2.693493175,4.105425841
1.386,0.1057,7.68236,9.98545,3296.26,0.74548,1.154526391,2.567508406,-1.020565588
1.33,0.104,24.6863,28.78951,7055.64,0.94448,7.085902918,0.602796077,2.242990328
1.09,0.26,10.10286,14.32465,3801.18,0.81258,1.625839601,1.599367102,3.354686176
0.965,0.314,11.11374,13.93509,4709.01,0.83958,2.079027717,1.665041729,4.494094184
1.33,0.104,7.17951,9.42302,4347,0.78436,1.410151306,2.683865371,2.242911705
0.75,0.29,14.48863,15.28058,5143.11,0.8575,2.434571771,1.708461111,4.127737311
1.311,0.149,4.77027,6.82109,1103.25,0.57436,0.459782261,4.389478829,1.774460417
0.965,0.314,9.80052,16.20056,4341.44,0.81906,1.817080638,1.796733325,4.487320379
1.09,0.26,8.85338,9.62722,1257.88,0.59276,0.562081587,3.694199933,3.352419661
0.965,0.314,38.52663,40.32609,5384.56,0.94622,7.57066848,0.560623864,4.513775158
1.311,0.149,21.66237,24.27108,4854.7,0.9214,4.097733661,0.847450065,1.774496807
1.418,0.152,5.3,12.37,2021.24,0.940935,1.302956156,3.911559437,2.177107976
1.33,0.403,17.44625,21.1683,5044.23,0.90218,3.524677588,0.974814293,0.486818767
1.311,0.149,12.31926,15.80397,4939.49,0.86058,2.55465807,1.626024437,1.774479455
1.33,0.403,12.27362,15.5313,4938.54,0.87272,2.581126004,1.194425996,0.486817666
1.09,0.26,4.60613,16.80237,3248.18,0.72262,1.226448879,3.409084823,3.352345481
1.306,0.166,11.71452,13.61606,4416.07,0.83096,1.781394571,1.669448702,1.26832964
1.241,0.225,4.65647,6.68041,2412.83,0.62798,0.740213372,4.764848395,1.630174376
1.33,0.104,7.45633,8.75515,2583.43,0.70352,0.79585691,3.895888197,2.242809423
1.311,0.149,8.51011,14.1241,4147.9,0.7722,1.573381691,2.41286071,1.774438979
1.306,0.166,10.60319,16.45169,4896.4,0.85244,2.25972945,1.425158951,1.268331861
1.33,0.104,14.9493,20.19313,5762.72,0.8885,3.27081301,1.089313186,2.242958056
1.33,0.104,16.46266,22.70543,5867.46,0.91226,4.337176409,0.917712049,2.242977351
0.75,0.29,4.46118,7.4007,173.394,0.46312,0.188708922,5.515682047,4.108733247
1.418,0.152,16.92765,21.83544,5176.41,0.90816,3.68329264,0.919024074,2.177467911
