PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst CO2,N1bar_CO2,log_D0_CO2,log_D1bar_CO2
5.31331,5.9443,1.118756481,687.652,0.52528,0.407838753,23.75503521,3.111298514,-3.354528166,-4.465985076
5.29096,5.93338,1.121418419,677.01,0.52144,0.396312313,23.98176548,3.10733466,-3.357946955,-4.41188487
17.12424,25.68553,1.499951531,3165.13,0.84016,2.087006635,10.7368373,0.814482913,-3.385770757,-3.396969808
5.37167,7.3314,1.364826953,1146.88,0.55594,0.546738393,23.47724891,3.277682523,-4.380414703,-4.48891145
5.08524,7.14066,1.404193312,876.407,0.5421,0.409797029,22.75035434,2.565994868,-4.261541756,-4.483365684
4.52097,6.3306,1.40027472,965.88,0.55848,0.497651996,22.71075062,1.907649499,-5.026756067,-4.979180937
4.7481,6.43864,1.356045576,1003.43,0.5662,0.502958054,22.98601793,1.903897446,-4.941378181,-4.829405883
6.81408,8.80212,1.29175472,1422.51,0.62122,0.586228048,36.12068606,5.991202394,-5.366014119,-4.881108865
6.54754,8.32882,1.272053321,1419.5,0.61562,0.591504367,43.61574576,6.869181507,-6.287134231,-4.989819943
6.74118,8.79334,1.304421481,1353.64,0.61642,0.563043478,27.41935533,5.385992167,-4.819535059,-4.814153411
5.81418,5.92566,1.019173813,308.504,0.4119,0.244852102,19.72032581,0.785148005,-3.178775355,-3.885915103
8.61929,9.08566,1.054107705,2493.39,0.71372,0.936779339,22.71419378,4.242509081,-4.119495823,-4.32518816
4.95529,7.35231,1.483729509,1409.83,0.58552,0.610461631,20.93280283,3.581900646,-4.178093381,-4.452599472
4.7743,5.96671,1.249755985,1528.32,0.58902,0.613754298,28.92961221,5.159372414,-4.862002141,-4.529525757
4.58891,5.43312,1.183967435,1352.46,0.62754,0.452636666,42.60934596,8.323880831,-5.390195988,-6.182857143
6.25183,6.77693,1.083991407,648.222,0.51648,0.291475493,44.79933567,4.625791777,-6.107039722,-5.711889211
6.85619,10.92956,1.594115682,2101.19,0.68816,0.689283532,16.77690101,2.281708581,-3.814134503,-3.907083231
8.71559,12.6138,1.44726863,3274.82,0.75884,1.30010708,18.75760397,2.06299888,-4.06162584,-4.009172244
4.90729,5.63222,1.147725119,794.401,0.55474,0.385857771,20.44077693,2.494490675,-3.719674823,-4.205260963
5.90611,6.16099,1.043155309,1902.44,0.66248,0.611973802,15.34980479,2.170836244,-3.571393707,-3.796389034
