PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst N2,N1bar_N2,log_D0_N2,log_D1bar_N2
5.31331,5.9443,1.118756481,687.652,0.52528,0.407838753,14.48971542,0.490858853,-3.078836915,-3.268079917
5.29096,5.93338,1.121418419,677.01,0.52144,0.396312313,14.6539967,0.508906775,-3.021198381,-3.224061742
17.12424,25.68553,1.499951531,3165.13,0.84016,2.087006635,4.959469999,0.239893534,-2.963203977,-2.965074409
5.37167,7.3314,1.364826953,1146.88,0.55594,0.546738393,13.00395057,0.349594982,-3.887489553,-3.930542077
5.08524,7.14066,1.404193312,876.407,0.5421,0.409797029,12.80645478,0.258094632,-3.917236967,-3.938453546
4.52097,6.3306,1.40027472,965.88,0.55848,0.497651996,13.34085582,0.284323451,-4.787032545,-4.691091764
4.7481,6.43864,1.356045576,1003.43,0.5662,0.502958054,13.41470539,0.28010633,-4.55971988,-4.644809153
6.81408,8.80212,1.29175472,1422.51,0.62122,0.586228048,14.28701681,0.495634752,-4.242956987,-4.247909446
6.54754,8.32882,1.272053321,1419.5,0.61562,0.591504367,14.51344881,0.526964296,-4.021438946,-4.030262547
6.74118,8.79334,1.304421481,1353.64,0.61642,0.563043478,14.39559463,0.478471358,-3.762874048,-3.77287955
5.81418,5.92566,1.019173813,308.504,0.4119,0.244852102,12.39572533,0.125157251,-2.658304908,-2.630574444
8.61929,9.08566,1.054107705,2493.39,0.71372,0.936779339,9.133179711,0.301870013,-3.560457148,-3.677976169
4.95529,7.35231,1.483729509,1409.83,0.58552,0.610461631,12.15217465,0.366890167,-3.988792039,-4.049893259
4.7743,5.96671,1.249755985,1528.32,0.58902,0.613754298,15.85023711,0.642740887,-4.178680745,-4.094941912
4.58891,5.43312,1.183967435,1352.46,0.62754,0.452636666,13.07629561,0.418090725,-3.712672392,-3.66310331
6.25183,6.77693,1.083991407,648.222,0.51648,0.291475493,11.71487522,0.175251614,-3.279989367,-3.257955077
6.85619,10.92956,1.594115682,2101.19,0.68816,0.689283532,9.489448137,0.294764546,-3.468943978,-3.450626082
8.71559,12.6138,1.44726863,3274.82,0.75884,1.30010708,8.845443949,0.318434286,-3.51216388,-3.517260821
4.90729,5.63222,1.147725119,794.401,0.55474,0.385857771,12.1429656,0.281836961,-3.36096495,-3.439501031
5.90611,6.16099,1.043155309,1902.44,0.66248,0.611973802,9.240995506,0.27619934,-3.380606983,-3.391026103
8.64841,12.48057,1.443105727,3204.15,0.7613,1.185437785,8.444154736,0.367402929,-3.580966818,-3.617450051
8.32661,13.59793,1.63306916,2502.53,0.73366,0.983318724,11.38308059,0.436952836,-3.834519373,-3.817901154
4.54136,8.31511,1.830973541,870.726,0.62074,0.521472496,14.14323234,0.533607151,-4.262426684,-4.336496353
4.11181,6.0722,1.476770571,1071.12,0.59632,0.512060453,12.20117541,0.279550557,-4.626199434,-4.608244845
3.90831,4.44036,1.136133009,156.183,0.40324,0.179223354,16.2314825,0.139899573,-3.314307752,-3.366802559
4.32303,5.2765,1.220555953,619.682,0.51092,0.373689869,14.56837619,0.318520509,-4.026800012,-4.137636694
4.89301,7.12611,1.456385742,357.969,0.42696,0.215210291,13.77243281,0.203155367,-3.59704078,-3.62963688
4.85632,5.15455,1.061410698,288.927,0.42748,0.218491089,13.13237323,0.114421164,-3.536829912,-3.640755756
9.1997,9.48255,1.030745568,928.923,0.5582,0.488329776,9.191494528,0.174053158,-2.879710799,-2.928664687
5.31262,5.94406,1.118856609,1651.78,0.585,0.631851129,13.36533583,0.715268332,-3.364195568,-3.437210799
3.80044,4.84557,1.275002368,634.174,0.49344,0.428850783,16.57017984,0.593772359,-4.408979187,-4.530691713
4.38484,5.04792,1.151221025,636.56,0.50342,0.385830453,15.19153167,0.482760759,-3.693122568,-3.870908068
14.56862,19.86541,1.363575273,5239.13,0.8979,3.268954219,4.700900678,0.347211966,-3.046108804,-3.043103442
7.13825,18.06508,2.53074353,3583.27,0.78558,1.307595767,7.911336048,0.337915708,-3.429568915,-3.365696935
5.01976,7.8603,1.565871675,1901.19,0.63848,0.651621246,10.55269587,0.306258059,-3.631950506,-3.662706766
13.37911,18.75501,1.401812976,3444.39,0.83558,1.961704066,4.812713127,0.215319158,-3.148669926,-3.133565672
3.73291,6.8318,1.830153955,952.744,0.53344,0.50715902,13.29235642,0.389347348,-4.090784842,-4.102678088
3.71719,6.8305,1.837543951,939.238,0.53354,0.506132903,13.38652791,0.396259153,-4.132645283,-4.112264548
6.0951,6.93247,1.137384128,581.981,0.45062,0.308821514,13.31722576,0.351185156,-3.169416774,-3.28393384
9.17864,11.03089,1.201800049,1154.62,0.60242,0.597959224,14.26426038,0.388398146,-3.459226605,-3.971436686
11.07263,11.39418,1.029040074,1175.97,0.6096,0.620543281,14.08287348,0.383338701,-3.353347967,-3.456382867
9.50667,11.07211,1.164667544,1172.55,0.60696,0.613756742,14.22537308,0.385257441,-3.384656769,-3.534940614
10.87494,11.21563,1.031327989,1159.15,0.60852,0.617172136,14.3466186,0.385070065,-3.391416151,-3.417492508
4.48972,4.82905,1.075579323,521.72,0.46842,0.40045481,16.07474013,0.459534244,-3.216981109,-3.418518132
3.78436,4.74814,1.254674502,286.858,0.4586,0.352002947,18.52786486,0.451629917,-4.263984133,-4.670730124
8.78636,9.98598,1.136532079,3028.97,0.7058,0.914761777,10.03410927,0.367724368,-3.439054738,-3.475127792
6.10595,6.92762,1.13456874,1008.65,0.59186,0.411511132,11.91152802,0.300680562,-3.386242251,-3.497253395
4.44244,5.09322,1.146491568,299.59,0.40752,0.271714417,14.77665987,0.154146457,-4.260077715,-4.450460951
4.98752,7.28969,1.461586119,2849.13,0.69504,0.833652182,10.15614032,0.427989068,-3.641813061,-3.617632825
5.88473,7.80429,1.326193385,2759.46,0.70156,0.876048765,9.464885801,0.389421695,-3.576990032,-3.607546307
7.08849,11.39005,1.606837281,4048.27,0.7795,1.333230711,7.841412467,0.368638557,-3.395862726,-3.441734263
7.02092,8.26528,1.177236032,3489.57,0.744,1.093538715,9.159294544,0.449713058,-3.248727686,-3.319716287
4.07573,5.65344,1.387098753,1053.2,0.62164,0.617153296,13.6163551,0.542528036,-4.265498765,-4.320972695
11.06312,12.00094,1.084769938,993.47,0.5942,0.615459829,19.19030474,0.531414711,-4.578716922,-4.268698043
4.06272,5.40727,1.330948232,791.432,0.50734,0.38716127,15.13601797,0.503686184,-3.654503317,-3.806131485
3.80274,4.93858,1.298689892,458.737,0.48374,0.323396688,15.33427612,0.282298535,-4.166862569,-4.331826073
5.37606,5.6853,1.057521679,1420.93,0.60772,0.564863785,10.98634656,0.34752234,-3.580063195,-3.624111676
5.13016,6.30636,1.229271602,1365.99,0.6208,0.564071345,11.13990855,0.363916495,-3.134294374,-3.204809148
6.30843,7.60741,1.205911772,2136.04,0.66196,0.76818991,9.826936844,0.370368723,-3.442074477,-3.486688025
9.80847,15.56875,1.587276099,1591.32,0.71824,0.924093938,10.69244018,0.42160965,-3.542686455,-3.981241512
5.59471,9.38154,1.676859033,1604.12,0.68288,0.65523561,9.288986745,0.20697538,-3.824372035,-3.82916028
10.59979,11.41407,1.07682039,1224.38,0.64844,0.540497287,9.242159804,0.22356666,-3.126013598,-3.276276731
10.7235,11.51533,1.07384063,1224.91,0.65144,0.543410077,9.320363431,0.228735672,-3.071013908,-3.117523912
5.62446,9.38408,1.668441059,1646.23,0.68264,0.656649801,9.251930618,0.206361703,-3.78936965,-3.76400643
10.54479,11.3608,1.077385135,1223.85,0.64786,0.5401399,9.21561185,0.216395811,-3.147521872,-3.119251268
5.3868,5.98273,1.110627831,1847.56,0.6472,0.547657731,10.88096208,0.33756308,-3.487861074,-3.486470772
4.26368,5.82193,1.365470673,729.385,0.50118,0.429835846,17.74145984,1.169039974,-3.531539353,-3.782470023
4.05664,5.44423,1.342054015,634.137,0.49082,0.409200807,18.43912134,1.167295106,-3.540870247,-3.811229912
4.25745,5.78749,1.359379441,712.146,0.50502,0.425889695,17.80511615,1.150760394,-3.485651173,-3.832339953
4.30595,6.18036,1.435306959,1065.24,0.58002,0.495756301,14.95455726,0.693797383,-3.882616552,-4.214989419
5.15676,8.28593,1.606809314,2399.39,0.68804,0.803629203,10.23178396,0.346532213,-3.717720122,-3.666562826
5.0837,6.42024,1.262906938,468.517,0.45748,0.257256931,12.52966017,0.20024672,-3.189295669,-3.500197412
4.61254,5.76705,1.2502981,732.709,0.51364,0.337698882,13.06310985,0.26909334,-3.725025602,-3.789738226
3.6686,4.13262,1.126484217,208.084,0.50456,0.287244883,13.61270584,0.081908068,-4.194913067,-4.402598632
3.66327,4.14952,1.132736599,200.263,0.5075,0.290222227,13.57710763,0.083598309,-3.900603758,-3.889266328
7.73483,9.7655,1.262535828,2462.86,0.6857,0.942650502,10.34720447,0.394299391,-3.726173713,-3.732084651
4.32918,9.00116,2.079183587,2201.56,0.67476,0.751965836,12.12197822,0.528100752,-3.976366148,-3.923477716
5.9183,9.52144,1.608813342,2338.43,0.67852,0.81880011,10.97960501,0.391859932,-3.965990506,-3.961823648
4.73321,7.16113,1.512954211,802.611,0.52734,0.458217839,13.36203841,0.284176661,-4.415508468,-4.458068402
5.70377,6.40025,1.122108711,1486.93,0.63598,0.523405866,10.33475359,0.308233423,-3.387214416,-3.452748179
5.8507,10.41989,1.780964671,2819.8,0.72036,0.921342595,10.25314372,0.412817162,-3.650890598,-3.63681428
5.75428,10.54748,1.832979973,2566.31,0.70918,0.858693059,10.53516094,0.422276321,-3.68228023,-3.672780148
8.16815,10.52737,1.28883162,3199.82,0.73192,1.01319793,10.28861339,0.510664916,-3.46878666,-3.51453141
8.1108,10.25531,1.264401785,3116.86,0.72418,0.964116874,10.79809637,0.543092234,-3.47938083,-3.549246801
7.74023,10.53968,1.361675299,3229.25,0.74936,1.089765777,8.961198823,0.408309592,-3.401302153,-3.389400724
3.88543,4.88713,1.257809303,381.56,0.4621,0.280352853,12.91005645,0.109927224,-4.284733489,-4.503976275
3.95303,4.75824,1.203694381,381.422,0.4557,0.274075589,12.88884047,0.110340775,-4.144710017,-4.188336721
4.01813,5.12784,1.276175733,475.366,0.48134,0.302214465,12.26213376,0.119881503,-4.07779721,-4.106776941
4.03284,5.13844,1.274149235,481.538,0.48386,0.304450415,12.2113225,0.118247738,-4.142392494,-4.13792701
