Polymer density (g/cm3),FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst CH4,log_P(MMM)_CH4
1.241,0.225,18.3148,22.17563,6374.29,0.91484,4.676354974,4.281780785,-0.414539679
0.965,0.314,4.10328,5.08195,271.555,0.47618,0.328730998,24.92215416,4.088158451
1.418,0.152,6.27962,6.73786,1185.77,0.55114,0.525841753,17.9965155,0.118093825
1.418,0.152,26.10317,28.26705,7060.67,0.93052,5.721031178,3.639845527,0.118098218
1.418,0.152,10.95027,11.54524,1261.27,0.63702,0.543421142,11.12724079,0.118098878
1.306,0.166,10.48571,16.50519,4299.6,0.8302,2.07707858,8.057824446,0.088134274
0.75,0.29,5.7692,8.05193,972.046,0.61154,0.562542544,11.66474173,4.044584933
1.09,0.26,23.69818,26.16896,3421.31,0.85032,2.101802668,6.966021304,2.339673274
1.241,0.225,3.82869,5.76124,1080,0.57272,0.450113566,16.96767065,-0.414539486
1.306,0.166,4.12404,5.46793,580.8,0.50342,0.424243446,21.86779622,0.088122767
1.418,0.152,4.02699,5.10607,1244.1,0.58484,0.522916257,16.32435791,0.118098297
0.965,0.314,34.42815,40.14888,4879.08,0.95216,7.761709898,9.509741321,4.096765299
0.965,0.314,4.98095,5.79441,842.909,0.5222,0.422362057,16.94830072,4.07898157
1.306,0.166,27.09995,33.23281,7460.89,0.95528,9.500263543,2.767402586,0.088135423
1.33,0.104,5.85034,11.48837,2454.74,0.69646,0.887935244,11.78183528,1.322194295
1.44,0.2104,6.48081,9.47252,1271.45,0.58954,0.516234676,14.11958687,0.991217358
1.418,0.152,11.65615,15.57023,4031.34,0.85134,1.899426384,5.377014113,0.118097391
1.241,0.225,10.30775,13.35529,3568.12,0.80458,1.319695377,7.442594329,-0.414539793
1.306,0.166,16.55509,20.4391,5092.9,0.90126,3.322470527,4.410168369,0.088134704
1.306,0.166,13.61044,15.13602,2024.71,0.67406,0.842810987,17.3203374,0.08813361
1.241,0.225,12.95779,15.27602,5487.8,0.86218,2.665615483,7.227997969,-0.414539842
1.306,0.166,10.49403,13.03683,4041.6,0.80474,1.65767525,8.985351189,0.088134611
0.965,0.314,3.81567,4.45066,547.736,0.5457,0.479909242,22.21958966,4.030955547
1.241,0.225,21.54003,26.94123,6479.63,0.92718,5.892019674,4.711490452,-0.414539599
1.241,0.225,8.50607,15.29989,3254.08,0.78706,1.259570082,6.910646324,-0.41454002
1.418,0.152,20.9652,24.23824,3919.69,0.85758,2.405311105,8.81577053,0.118097636
1.241,0.225,13.72997,16.56134,2610.72,0.74912,1.331442242,12.33338209,-0.41453991
1.418,0.152,4.94837,7.12232,2718.62,0.6713,0.788099498,15.50141062,0.118098607
1.09,0.26,9.01542,11.2368,4116.53,0.82192,1.5614842,5.619726727,2.339656982
1.241,0.225,14.84873,22.14442,5016.93,0.89314,3.121077424,5.925220766,-0.414539627
1.241,0.225,11.81175,13.61218,4820.8,0.82822,2.00261625,8.055541852,-0.414539776
1.241,0.225,21.16985,22.36524,5203.22,0.86866,3.179563764,7.481769985,-0.414539747
1.44,0.2104,8.26406,11.66545,1399.22,0.63792,0.631516423,15.95205346,0.991213791
1.09,0.26,6.59227,6.92026,712.37,0.48076,0.361756562,16.06415336,2.339861952
0.75,0.29,14.62418,18.53365,5719.48,0.8938,3.256208765,4.74548002,4.04488159
1.241,0.225,17.48979,20.83639,6483.2,0.92492,4.961724362,3.59937999,-0.414539678
0.75,0.29,4.88256,6.98839,1580.21,0.61206,0.665017325,17.16359758,4.036178757
0.75,0.29,11.73748,16.16742,5213.13,0.85592,2.405046574,6.960626396,4.044990942
1.09,0.26,33.09639,35.83925,5046.67,0.92116,4.633694843,5.634824863,2.33978181
1.33,0.104,11.23403,13.37232,2996.84,0.81264,1.19842322,6.765066271,1.322184095
1.241,0.225,17.97449,21.77769,5533.66,0.88584,2.951206349,5.650569429,-0.414539701
0.965,0.314,8.74535,14.23224,4511.06,0.82438,1.815483072,7.060673802,4.085058068
1.22,0.25,4.12276,5.10392,1899.92,0.7036,0.62461716,9.084085672,3.66930264
1.241,0.225,7.02587,10.90104,2494.49,0.7548,0.844271693,8.902969308,-0.414539895
1.44,0.2104,4.37179,6.7342,1841.93,0.65674,0.61232786,14.50395715,0.991207601
1.418,0.152,5.4678,5.99001,1068.02,0.56938,0.536755972,17.13074714,0.11809832
1.241,0.225,6.6128,7.08508,1642.83,0.62734,0.62638789,13.47167902,-0.414540029
1.33,0.104,8.72309,12.29384,3789.8,0.78816,1.477288489,7.719238917,1.322169407
1.22,0.25,8.4757,9.49806,477.035,0.52398,0.23722598,11.11439183,3.67214493
1.418,0.152,5.05276,7.19025,380.65,0.43228,0.225606446,18.02573455,0.118098255
1.44,0.2104,4.46538,5.96732,827.695,0.53506,0.329598305,16.78088692,0.99122427
0.965,0.314,24.62855,28.4663,6386.46,0.93778,7.230489291,4.019049797,4.094146874
1.22,0.25,6.48187,7.78665,2532.4,0.71664,0.796561394,11.4745251,3.672062415
1.418,0.152,4.08235,8.5781,1113.76,0.59616,0.488247531,16.35019874,0.118091218
1.241,0.225,10.02984,15.49239,4800.83,0.83734,2.181487551,6.90989518,-0.414539748
1.33,0.104,15.42651,20.67704,5315.71,0.89374,3.353507761,5.121566601,1.322196735
1.22,0.25,16.68025,19.59253,4114.15,0.88234,2.393240751,5.441767576,3.669794425
0.965,0.314,4.22597,5.76843,735.503,0.531,0.438379235,22.07085839,4.092630248
1.418,0.152,26.80972,30.78525,6520.12,0.93936,6.538271467,3.271641509,0.118098104
1.09,0.26,4.42912,5.58853,1453.05,0.62874,0.576809813,16.29079681,2.339579775
1.33,0.104,5.9183,9.52144,2338.43,0.67852,0.81880011,15.06161135,1.322188074
1.09,0.26,18.79228,22.95764,5809.44,0.92516,4.889050948,3.985319605,2.339757106
1.33,0.104,9.07717,10.66695,2190.82,0.76578,0.785255112,8.7477365,1.322204784
1.418,0.152,21.4654,23.86692,3964.01,0.87132,2.466567776,8.130180211,0.118097725
0.75,0.29,6.76595,7.36263,1209.18,0.62392,0.483895236,12.90024394,4.053083388
1.241,0.225,5.67068,6.77742,2686.05,0.71204,0.826298969,10.80601859,-0.41453962
1.44,0.2104,8.27846,12.77661,4469.62,0.80502,1.710719249,8.560223774,0.991216556
1.418,0.152,5.55983,9.76192,1447.81,0.67032,0.602237096,19.79899828,0.118097371
1.306,0.166,9.51862,12.93275,3693.69,0.80898,1.433957448,7.118179749,0.088134516
1.33,0.104,9.85661,13.12328,3873.36,0.81816,1.615091241,6.804730928,1.322187498
0.75,0.29,18.04624,20.20806,2979.18,0.81762,1.878264945,12.38531332,4.040842787
1.241,0.225,14.60056,18.80054,2899.46,0.85678,1.523966389,6.106143555,-0.414539828
1.33,0.104,31.69391,35.645,4816.13,0.95078,7.214191953,5.394564507,1.32220681
