PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst H2,N1bar_H2,log_D0_H2,log_D1bar_H2
6.81408,8.80212,1.29175472,1422.51,0.62122,0.586228048,4.440902781,0.049149814,-3.004507489,-2.989322255
6.54754,8.32882,1.272053321,1419.5,0.61562,0.591504367,4.538883594,0.050994561,-3.022301617,-3.020271668
6.74118,8.79334,1.304421481,1353.64,0.61642,0.563043478,4.507944244,0.048701208,-2.977669038,-3.045573383
8.61929,9.08566,1.054107705,2493.39,0.71372,0.936779339,3.404247096,0.064322903,-2.663230856,-2.773875243
4.95529,7.35231,1.483729509,1409.83,0.58552,0.610461631,4.627249552,0.046343189,-3.150032305,-3.195711973
4.7743,5.96671,1.249755985,1528.32,0.58902,0.613754298,5.168713801,0.054697209,-3.132447308,-2.963027007
4.58891,5.43312,1.183967435,1352.46,0.62754,0.452636666,4.229030345,0.038252043,-2.805726962,-2.720278533
6.25183,6.77693,1.083991407,648.222,0.51648,0.291475493,3.999302201,0.020032515,-2.429921299,-2.482093356
6.85619,10.92956,1.594115682,2101.19,0.68816,0.689283532,3.459202513,0.052277018,-2.768910064,-2.820882082
8.71559,12.6138,1.44726863,3274.82,0.75884,1.30010708,2.562387346,0.079103172,-2.610905177,-2.664470051
4.90729,5.63222,1.147725119,794.401,0.55474,0.385857771,4.560947018,0.028650721,-2.65419815,-2.687946628
5.90611,6.16099,1.043155309,1902.44,0.66248,0.611973802,3.51289116,0.045170587,-2.702586046,-2.736327167
8.64841,12.48057,1.443105727,3204.15,0.7613,1.185437785,2.907593364,0.084002385,-2.765854044,-2.706627834
8.32661,13.59793,1.63306916,2502.53,0.73366,0.983318724,3.430400341,0.072685207,-2.843699185,-2.828861454
4.54136,8.31511,1.830973541,870.726,0.62074,0.521472496,4.907031248,0.049728892,-3.318391286,-3.334882218
4.11181,6.0722,1.476770571,1071.12,0.59632,0.512060453,4.504663136,0.033621644,-3.509741495,-3.519876739
3.90831,4.44036,1.136133009,156.183,0.40324,0.179223354,6.112327259,0.009876998,-2.381756518,-2.503887893
4.32303,5.2765,1.220555953,619.682,0.51092,0.373689869,5.469979415,0.027842479,-3.218323747,-3.287207019
4.89301,7.12611,1.456385742,357.969,0.42696,0.215210291,5.410922722,0.016286389,-2.855053977,-2.667968309
4.85632,5.15455,1.061410698,288.927,0.42748,0.218491089,5.084634016,0.012796835,-2.781006164,-3.115977148
9.1997,9.48255,1.030745568,928.923,0.5582,0.488329776,3.497407961,0.030717385,-2.216625624,-2.467532858
5.31262,5.94406,1.118856609,1651.78,0.585,0.631851129,4.922852358,0.058267588,-2.563260577,-2.580429819
3.80044,4.84557,1.275002368,634.174,0.49344,0.428850783,6.208879535,0.034943097,-3.173227438,-3.041867358
4.38484,5.04792,1.151221025,636.56,0.50342,0.385830453,5.899507432,0.034232434,-3.16862,-3.225895386
14.56862,19.86541,1.363575273,5239.13,0.8979,3.268954219,1.273645207,0.166962007,-2.20790335,-2.177630431
7.13825,18.06508,2.53074353,3583.27,0.78558,1.307595767,2.575264987,0.087090811,-2.625873174,-2.642301434
5.01976,7.8603,1.565871675,1901.19,0.63848,0.651621246,3.571592596,0.045282974,-2.842766904,-2.742910686
13.37911,18.75501,1.401812976,3444.39,0.83558,1.961704066,1.471282564,0.098980325,-2.332270591,-2.237084
6.0951,6.93247,1.137384128,581.981,0.45062,0.308821514,5.145825351,0.02766731,-2.379126019,-2.429054431
9.17864,11.03089,1.201800049,1154.62,0.60242,0.597959224,4.263442593,0.043433054,-2.501189054,-2.608611698
11.07263,11.39418,1.029040074,1175.97,0.6096,0.620543281,4.063360466,0.044027354,-2.419584332,-2.737922834
9.50667,11.07211,1.164667544,1172.55,0.60696,0.613756742,4.104135647,0.04324389,-2.441005096,-2.285177252
10.87494,11.21563,1.031327989,1159.15,0.60852,0.617172136,4.088222889,0.043710096,-2.391692828,-2.455904443
4.48972,4.82905,1.075579323,521.72,0.46842,0.40045481,6.0731118,0.02750343,-2.511580855,-2.560088376
8.78636,9.98598,1.136532079,3028.97,0.7058,0.914761777,3.458547076,0.065158497,-2.600375012,-2.612394654
6.10595,6.92762,1.13456874,1008.65,0.59186,0.411511132,4.216565774,0.032824023,-2.603745508,-2.653321377
4.44244,5.09322,1.146491568,299.59,0.40752,0.271714417,5.777124925,0.014317208,-3.353326276,-3.46394938
4.98752,7.28969,1.461586119,2849.13,0.69504,0.833652182,3.727095319,0.065014534,-2.811580826,-2.892224299
5.88473,7.80429,1.326193385,2759.46,0.70156,0.876048765,3.445217522,0.066511824,-2.772478305,-2.798593156
7.08849,11.39005,1.606837281,4048.27,0.7795,1.333230711,2.744141829,0.09289857,-2.632370795,-2.623679475
7.02092,8.26528,1.177236032,3489.57,0.744,1.093538715,3.243345805,0.084141326,-2.534993808,-2.504567355
4.07573,5.65344,1.387098753,1053.2,0.62164,0.617153296,5.215486643,0.057821992,-3.033561379,-3.010211451
11.06312,12.00094,1.084769938,993.47,0.5942,0.615459829,4.476901814,0.039214548,-2.81583118,-2.892841273
4.06272,5.40727,1.330948232,791.432,0.50734,0.38716127,5.64164955,0.033595399,-2.749472403,-2.869594014
3.80274,4.93858,1.298689892,458.737,0.48374,0.323396688,5.734633455,0.022400675,-3.286823292,-3.338483299
5.37606,5.6853,1.057521679,1420.93,0.60772,0.564863785,4.150908217,0.04373145,-2.843695989,-2.605694943
5.13016,6.30636,1.229271602,1365.99,0.6208,0.564071345,4.190555397,0.043619676,-2.859806584,-2.838200934
6.30843,7.60741,1.205911772,2136.04,0.66196,0.76818991,3.691743721,0.058886612,-2.756085053,-2.825238649
9.80847,15.56875,1.587276099,1591.32,0.71824,0.924093938,3.309517365,0.070517301,-2.735934501,-2.631860203
5.59471,9.38154,1.676859033,1604.12,0.68288,0.65523561,3.293435259,0.040694392,-3.027169394,-3.051590535
10.59979,11.41407,1.07682039,1224.38,0.64844,0.540497287,3.135818864,0.040339926,-2.260242496,-2.439689307
10.7235,11.51533,1.07384063,1224.91,0.65144,0.543410077,3.138440827,0.040669886,-2.160953903,-2.473992867
5.62446,9.38408,1.668441059,1646.23,0.68264,0.656649801,3.287297202,0.040850459,-2.991148652,-3.115278352
10.54479,11.3608,1.077385135,1223.85,0.64786,0.5401399,3.12871225,0.039951999,-2.313345174,-2.464421085
5.3868,5.98273,1.110627831,1847.56,0.6472,0.547657731,4.204582757,0.047024363,-2.719405292,-2.724746249
4.26368,5.82193,1.365470673,729.385,0.50118,0.429835846,6.844010502,0.056303656,-2.676303499,-2.714365956
4.05664,5.44423,1.342054015,634.137,0.49082,0.409200807,7.10747885,0.054063284,-2.664026547,-2.719114119
4.25745,5.78749,1.359379441,712.146,0.50502,0.425889695,6.876084744,0.055646434,-2.732683537,-2.840505916
5.15676,8.28593,1.606809314,2399.39,0.68804,0.803629203,3.5963311,0.059425298,-2.895867147,-2.867059448
5.0837,6.42024,1.262906938,468.517,0.45748,0.257256931,4.766620986,0.018729436,-2.543835006,-2.530914686
4.61254,5.76705,1.2502981,732.709,0.51364,0.337698882,4.996460518,0.026289177,-2.967344624,-3.012476158
7.73483,9.7655,1.262535828,2462.86,0.6857,0.942650502,3.433067359,0.068192756,-2.846750521,-2.802306042
4.32918,9.00116,2.079183587,2201.56,0.67476,0.751965836,4.207633677,0.063834654,-2.969650143,-2.904071395
5.9183,9.52144,1.608813342,2338.43,0.67852,0.81880011,3.838145304,0.061094915,-3.073940498,-3.018106312
4.73321,7.16113,1.512954211,802.611,0.52734,0.458217839,5.106187995,0.030850909,-3.393052195,-3.368727999
5.70377,6.40025,1.122108711,1486.93,0.63598,0.523405866,3.921080051,0.042785245,-2.725137704,-2.624700393
5.8507,10.41989,1.780964671,2819.8,0.72036,0.921342595,3.515369196,0.071099998,-2.820693684,-2.755221334
5.75428,10.54748,1.832979973,2566.31,0.70918,0.858693059,3.612865067,0.067752376,-2.818228834,-2.726641749
8.16815,10.52737,1.28883162,3199.82,0.73192,1.01319793,3.425745015,0.080675056,-2.689956484,-2.698076389
8.1108,10.25531,1.264401785,3116.86,0.72418,0.964116874,3.560250755,0.080065247,-2.698562365,-2.657817005
7.74023,10.53968,1.361675299,3229.25,0.74936,1.089765777,3.039853266,0.080028033,-2.633623117,-2.588290444
4.08689,4.75983,1.164658212,427.97,0.50594,0.326311852,6.106102977,0.029651637,-3.188629706,-3.150019549
5.06381,7.08528,1.399199417,939.267,0.5264,0.473057982,5.071258615,0.039280279,-2.539536941,-2.482621246
13.69556,13.96867,1.019941499,1519.32,0.68178,0.791265877,3.73081195,0.055976655,-2.060491455,-2.013194555
7.69493,9.54888,1.240931366,1932.37,0.6774,0.781542942,3.515513547,0.056791164,-2.964626509,-2.890200948
7.73922,9.60606,1.241218107,1897.81,0.677,0.782209528,3.467331366,0.056628305,-2.949925132,-2.830817066
4.20115,4.7399,1.128238697,246.312,0.39348,0.22381616,6.782494793,0.018497854,-2.667108546,-2.774597851
7.17951,9.42302,1.3124879,4347,0.78436,1.410151306,2.683865371,0.099879988,-2.573770328,-2.477938772
4.68679,4.84155,1.033020468,444.782,0.46642,0.332092076,5.60410879,0.019748189,-3.537993186,-3.586501548
4.57423,4.8139,1.052395704,437.041,0.4677,0.332951285,5.697581905,0.020230505,-3.535410998,-3.471693652
4.26622,4.77305,1.118800718,588.744,0.4922,0.367895476,5.528201101,0.022259298,-3.163990761,-3.180581329
19.54,37.53,1.920675537,6207.17,0.93,5.8125,0.864114211,0.266913741,-1.942069549,-1.956080638
4.98141,8.08398,1.622829681,1687.67,0.61126,0.667867078,4.095406268,0.046981312,-2.828341658,-2.819506214
4.88927,8.10638,1.657993934,1730.84,0.60644,0.671822431,4.14530893,0.048125265,-2.852989964,-2.950318441
4.97897,7.89565,1.585799874,1727.98,0.60914,0.671399552,4.16471899,0.045278612,-2.840547084,-2.738914173
6.22752,7.54994,1.212350984,2625.77,0.71052,0.886758897,3.438142044,0.070638798,-2.708376694,-2.7564102
6.80894,7.00959,1.02946861,793.947,0.59612,0.35115664,3.940789078,0.025203437,-2.712776462,-2.937330942
4.28231,5.87217,1.371262239,2218.57,0.65652,0.687788949,4.723181169,0.068653137,-2.721081676,-2.740808852
4.06042,6.33732,1.560754799,1600.82,0.62358,0.526414425,4.432538248,0.048691953,-2.711764521,-2.68203043
