PLD,LCD,ASA,Porosity,Density,Pore volume,Qst CH4,log_P_0(CH4),log_P(CH4)
6.85619,10.92956,2101.19,0.68816,0.99837,0.689283532,12.95715471,-8.457161451,5.934423351
8.71559,12.6138,3274.82,0.75884,0.583675,1.30010708,13.60741392,-8.703215762,5.515552592
4.90729,5.63222,794.401,0.55474,1.43768,0.385857771,16.12012026,-8.210118043,5.985007968
5.90611,6.16099,1902.44,0.66248,1.08253,0.611973802,12.20453317,-8.384536345,5.992585175
8.64841,12.48057,3204.15,0.7613,0.64221,1.185437785,11.46884557,-8.696509357,5.617386997
8.32661,13.59793,2502.53,0.73366,0.746106,0.983318724,15.74703336,-8.733600138,5.534926054
4.54136,8.31511,870.726,0.62074,1.19036,0.521472496,19.27875689,-8.810970682,5.45505463
4.11181,6.0722,1071.12,0.59632,1.16455,0.512060453,16.27611361,-9.73280013,4.774718691
3.90831,4.44036,156.183,0.40324,2.24993,0.179223354,20.6800747,-8.394889734,5.711438039
4.32303,5.2765,619.682,0.51092,1.36723,0.373689869,19.57435979,-8.889037991,5.1490842
4.89301,7.12611,357.969,0.42696,1.98392,0.215210291,18.40127647,-8.315477496,5.582369787
4.85632,5.15455,288.927,0.42748,1.95651,0.218491089,17.56798804,-8.757571438,5.627191134
9.1997,9.48255,928.923,0.5582,1.14308,0.488329776,12.28027585,-8.138315275,6.275707019
5.31262,5.94406,1651.78,0.585,0.925851,0.631851129,18.14932539,-8.235377859,6.248952929
3.80044,4.84557,634.174,0.49344,1.15061,0.428850783,22.19726777,-8.904397247,4.833165297
4.38484,5.04792,636.56,0.50342,1.30477,0.385830453,20.10442384,-8.079586084,5.62424544
14.56862,19.86541,5239.13,0.8979,0.274675,3.268954219,6.885394042,-8.356897282,5.525500379
7.13825,18.06508,3583.27,0.78558,0.600782,1.307595767,11.213642,-8.491147881,5.69636422
5.01976,7.8603,1901.19,0.63848,0.979833,0.651621246,13.3595706,-8.705358113,5.694000519
13.37911,18.75501,3444.39,0.83558,0.425946,1.961704066,7.503938608,-8.652218289,5.471499343
6.0951,6.93247,581.981,0.45062,1.45916,0.308821514,17.59587344,-7.814373111,6.046997571
9.17864,11.03089,1154.62,0.60242,1.00746,0.597959224,20.54362744,-8.284879303,5.877710241
11.07263,11.39418,1175.97,0.6096,0.982365,0.620543281,20.35009374,-8.073430232,5.86040292
9.50667,11.07211,1172.55,0.60696,0.988926,0.613756742,20.52417869,-8.375185305,5.829706203
10.87494,11.21563,1159.15,0.60852,0.985981,0.617172136,20.71383914,-8.090762948,5.884771
4.48972,4.82905,521.72,0.46842,1.16972,0.40045481,21.16593827,-7.574209403,5.756701731
8.78636,9.98598,3028.97,0.7058,0.771567,0.914761777,13.97169147,-8.366735588,5.901857029
6.10595,6.92762,1008.65,0.59186,1.43826,0.411511132,14.58160238,-8.34881872,6.000899481
4.44244,5.09322,299.59,0.40752,1.49981,0.271714417,19.53745058,-9.366855125,4.344338935
4.98752,7.28969,2849.13,0.69504,0.833729,0.833652182,13.45058855,-8.473809977,5.868971325
5.88473,7.80429,2759.46,0.70156,0.800823,0.876048765,12.71584951,-8.529117646,5.792894921
7.08849,11.39005,4048.27,0.7795,0.58467,1.333230711,10.65578837,-8.473283043,5.701528815
7.02092,8.26528,3489.57,0.744,0.68036,1.093538715,12.52878025,-8.14448859,6.040426948
4.07573,5.65344,1053.2,0.62164,1.00727,0.617153296,17.61597746,-9.062083952,4.948054442
11.06312,12.00094,993.47,0.5942,0.965457,0.615459829,28.00587815,-9.229467113,4.71149328
4.06272,5.40727,791.432,0.50734,1.31041,0.38716127,20.46845522,-8.495319778,5.751910675
3.80274,4.93858,458.737,0.48374,1.49581,0.323396688,20.33440286,-9.208545694,4.793747974
5.37606,5.6853,1420.93,0.60772,1.07587,0.564863785,14.50180777,-7.907328009,6.074917724
5.13016,6.30636,1365.99,0.6208,1.10057,0.564071345,14.77043583,-7.938964732,6.208688414
6.30843,7.60741,2136.04,0.66196,0.861714,0.76818991,13.20037172,-8.362148948,5.927750619
9.80847,15.56875,1591.32,0.71824,0.777237,0.924093938,15.69194526,-8.706966223,5.696742077
5.59471,9.38154,1604.12,0.68288,1.04219,0.65523561,11.91640232,-9.127554054,5.285600079
10.59979,11.41407,1224.38,0.64844,1.19971,0.540497287,11.39239068,-8.362276348,6.063870418
10.7235,11.51533,1224.91,0.65144,1.1988,0.543410077,11.35852234,-8.24428564,6.18064156
5.62446,9.38408,1646.23,0.68264,1.03958,0.656649801,11.86661856,-9.196689009,5.30587101
10.54479,11.3608,1223.85,0.64786,1.19943,0.5401399,11.38045344,-8.494585678,6.004216175
5.3868,5.98273,1847.56,0.6472,1.18176,0.547657731,14.26140761,-8.40605024,5.970023991
4.26368,5.82193,729.385,0.50118,1.16598,0.429835846,23.25848028,-7.374078585,5.798417324
4.05664,5.44423,634.137,0.49082,1.19946,0.409200807,24.0452093,-7.480404614,5.631800272
4.25745,5.78749,712.146,0.50502,1.1858,0.425889695,23.36314997,-7.476358347,5.751233113
5.15676,8.28593,2399.39,0.68804,0.856166,0.803629203,14.14636694,-8.700708788,5.654984791
5.0837,6.42024,468.517,0.45748,1.7783,0.257256931,16.52438356,-8.120593349,5.854165356
4.61254,5.76705,732.709,0.51364,1.521,0.337698882,17.38060302,-8.521053023,5.693630691
7.73483,9.7655,2462.86,0.6857,0.727417,0.942650502,14.91196548,-8.638642718,5.580363697
4.32918,9.00116,2201.56,0.67476,0.897328,0.751965836,16.21381086,-8.794463575,5.629245463
5.9183,9.52144,2338.43,0.67852,0.828676,0.81880011,15.06161135,-8.858537677,5.428538139
4.73321,7.16113,802.611,0.52734,1.15085,0.458217839,17.93493847,-9.457783705,4.92158539
5.70377,6.40025,1486.93,0.63598,1.21508,0.523405866,13.52648531,-8.258269589,6.103995414
5.8507,10.41989,2819.8,0.72036,0.781859,0.921342595,14.67134987,-8.60615891,5.752168208
5.75428,10.54748,2566.31,0.70918,0.825883,0.858693059,14.76674227,-8.615007347,5.754416155
8.16815,10.52737,3199.82,0.73192,0.722386,1.01319793,14.25194567,-8.187221141,5.967855448
8.1108,10.25531,3116.86,0.72418,0.751133,0.964116874,14.84685657,-8.200167662,5.941819914
