Polymer density,FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst CO2,log_P(MMM) - CO2
1.22,0.25,5.18128,5.93683,369.13,0.43244,0.322523866,24.08200504,4.358399147
0.965,0.314,23.63688,26.36914,3597.47,0.85432,2.157509944,13.25205232,4.864113213
1.241,0.225,23.62472,26.9993,5999.97,0.9279,6.184309622,10.00816992,1.197263089
1.33,0.104,31.67753,33.89269,3603.94,0.87818,2.763136366,11.23996782,2.760589967
1.386,0.1057,3.93575,6.77398,1514.31,0.57252,0.559046968,21.02038929,-3.024456616
1.33,0.104,18.3089,22.13011,5940.94,0.92322,4.701454914,8.188648018,2.760810567
1.311,0.149,13.07158,15.09219,4884.52,0.8554,2.42110328,16.33863256,0.604758139
1.418,0.152,26.11716,30.24144,6749.51,0.94486,7.540842305,6.158195828,1.896165522
0.75,0.29,6.76238,9.12709,2438.54,0.69884,0.830884101,23.71321142,4.6261863
1.33,0.104,4.13535,6.70617,1111.94,0.60218,0.493250549,20.01005403,2.761111568
1.33,0.104,9.89144,15.72591,4820.55,0.84428,2.159930209,16.84465988,2.760511422
1.386,0.1057,5.89807,6.57892,2073.7,0.68,0.613801507,17.18706498,-3.024456616
0.965,0.314,15.00762,22.08694,6121.51,0.89812,3.713142271,8.304734547,4.872282323
1.306,0.166,21.12042,26.90792,6205.96,0.93132,5.821732417,9.218703413,1.38288705
1.09,0.26,28.19328,29.2693,2937.14,0.82528,1.510716038,17.59789047,3.59771375
0.75,0.29,5.8505,6.03686,1132.86,0.58636,0.522980048,19.43804867,4.692947626
1.306,0.166,11.37635,24.03762,3951.41,0.8426,2.006128382,10.58056643,1.382882069
1.241,0.225,5.61701,9.01599,2078.46,0.6782,0.716898921,43.29218245,1.197270288
1.306,0.166,17.72589,23.61011,6136.35,0.92486,5.231582044,8.305608393,1.382886693
1.33,0.403,9.64579,13.06033,3603.84,0.8028,1.500224249,20.09594126,-0.87614848
1.418,0.152,4.80817,5.97545,1915.9,0.6495,0.683371298,19.0285627,1.896174628
0.965,0.314,7.08879,7.31229,1293.98,0.59632,0.536881814,23.0525723,4.93413288
1.09,0.26,29.56243,34.05615,6491.98,0.9339,6.34542082,9.604933865,3.600692879
1.386,0.1057,14.42779,22.23403,5468.03,0.88228,3.20944631,10.88278027,-3.024456617
1.22,0.25,10.28848,17.4787,4860.78,0.85554,2.271759276,30.19056824,4.362799269
1.44,0.2104,5.74363,9.28847,1457.41,0.58692,0.634199579,20.57472101,2.521638378
1.22,0.25,21.18405,24.54497,5462.81,0.91136,4.391969389,10.55087175,4.354843416
1.418,0.152,8.13898,11.10145,2743.38,0.729,1.036957802,20.45827971,1.895996026
1.306,0.166,4.52244,4.75404,310.38,0.43144,0.362728366,27.39382203,1.382806847
1.386,0.1057,4.42824,5.6275,2211.69,0.69218,0.651328666,13.41382842,-3.024456616
1.418,0.152,20.22949,23.64726,6519.48,0.92604,5.582926388,8.273222337,1.896135654
1.418,0.152,19.9576,22.60251,5999.32,0.91788,4.563751715,7.885812965,1.896136514
1.33,0.403,5.58535,6.27871,379.155,0.43226,0.305806114,31.16595287,-0.87615706
1.33,0.104,4.00314,5.95596,1251.36,0.57552,0.547629243,22.03795169,2.760988316
1.386,0.1057,3.78832,4.97891,1011.42,0.58828,0.475642985,22.74532672,-3.024456616
1.418,0.152,7.23133,8.11684,1321.49,0.66194,0.530864297,21.74704071,1.896178447
1.306,0.166,17.6329,22.40995,5919.62,0.90096,3.741046626,8.975989008,1.382887183
1.306,0.166,11.67666,13.50706,3445.66,0.78272,1.444178138,21.54753558,1.382894462
0.965,0.314,20.81038,26.76624,6583.59,0.92632,6.054379085,10.24497444,4.873190905
0.75,0.29,41.02134,47.15163,5181.81,0.96482,10.24967121,12.57624835,4.670361772
1.33,0.104,11.39135,15.37414,4539.32,0.84728,2.09962358,11.10556293,2.760741961
1.418,0.152,6.94584,13.21867,2350.27,0.72736,0.867052574,40.73264704,1.896171765
1.09,0.26,12.14095,15.23061,6072.46,0.87726,3.075655531,12.914244,3.598757569
1.241,0.225,6.17461,9.34169,1819.53,0.6259,0.757348421,31.21704924,1.197265923
1.44,0.2104,7.69929,10.48113,3149.16,0.75584,1.077606978,19.77840808,2.521429043
0.75,0.29,33.95303,37.86665,4161.21,0.9459,6.050894296,12.10810477,4.667522387
1.33,0.104,25.37006,29.91202,6535.66,0.95254,8.185161634,6.535169658,2.761022612
0.965,0.314,7.10734,12.14192,3229.48,0.7162,1.026200936,20.39397388,4.925315525
1.22,0.25,3.71458,5.12124,1485.68,0.61878,0.623351661,21.92766715,4.375892479
1.44,0.2104,18.03522,21.08674,5162.7,0.8726,2.748303176,11.42056929,2.521428115
0.75,0.29,4.8868,5.91842,910.212,0.5532,0.480512825,23.0783072,4.672880553
1.241,0.225,4.11286,5.03837,651.17,0.51576,0.469487329,27.44390439,1.197243658
1.311,0.149,6.54223,13.78177,1380.02,0.7033,0.54761775,29.68514431,0.604755247
1.22,0.25,4.29862,7.97046,883.259,0.60172,0.569330772,20.98853736,4.359667487
1.22,0.25,10.51295,11.388,1155.64,0.64282,0.498221247,16.2372874,4.382180563
1.241,0.225,3.86123,8.90504,152.106,0.55022,0.549395906,30.71140852,1.197132347
1.386,0.1057,7.46673,9.06566,2614.65,0.70354,0.934288772,18.46246865,-3.024456616
1.09,0.26,3.75203,7.63199,992.176,0.603,0.459684243,32.81409163,3.592945526
1.22,0.25,26.16368,31.81587,7009.05,0.9503,8.189699748,5.562425274,4.364030072
1.241,0.225,3.78569,5.26092,429.262,0.4401,0.323134871,38.99443251,1.19711302
1.306,0.166,8.96044,12.77529,3476.67,0.81262,1.359132692,16.49633683,1.38287904
1.22,0.25,6.14113,8.45028,2930.77,0.7116,0.91405964,17.61091402,4.371561175
1.418,0.152,40.67306,46.88216,5573.01,0.9626,11.08908245,12.56752612,1.896199857
1.33,0.403,12.22348,12.9835,1839.36,0.6619,0.845472335,24.69233699,-0.876148634
0.965,0.314,7.59324,7.91812,705.657,0.52464,0.356602004,18.32646539,4.915495511
0.965,0.314,6.77458,14.17477,1802.65,0.72934,0.708117712,30.4221151,4.859152494
1.241,0.225,8.71112,10.2269,2395.88,0.68814,0.967763711,17.95852903,1.197271846
1.241,0.225,24.47676,28.44483,4940.17,0.9236,4.75962257,17.33610767,1.197262545
0.75,0.29,6.56489,12.02421,936.78,0.64318,0.423147521,23.95066019,4.641033154
1.33,0.403,4.27216,9.42427,1474.96,0.61826,0.629302369,25.23771253,-0.876148507
1.386,0.1057,5.082,5.63348,513.131,0.47234,0.306211224,21.96100347,-3.024456616
1.33,0.104,6.10924,8.54677,1220.15,0.63876,0.480498281,15.92779687,2.761106161
0.75,0.29,15.00967,22.32491,5119.31,0.87184,3.015526586,12.82072438,4.643307947
1.311,0.149,4.61334,7.43495,1424.59,0.61094,0.555389902,20.43824746,0.604762741
0.965,0.314,14.93496,16.22558,3804.53,0.82108,1.755213288,18.25040545,4.852697784
1.33,0.403,5.24265,16.3778,2792.93,0.7093,0.988009606,21.9987907,-0.876148457
1.418,0.152,5.14701,6.92307,488.339,0.46414,0.335087681,21.15910186,1.896171114
0.75,0.29,15.84638,18.45379,3785.4,0.84016,2.057067865,14.18377071,4.652671408
1.09,0.26,37.01544,41.16387,5240.78,0.94594,6.928998894,11.91823871,3.601747999
1.306,0.166,10.97071,13.5624,3539.2,0.79488,1.464328545,21.85571281,1.382884573
1.311,0.149,5.22397,7.6925,1268.05,0.57298,0.592195562,27.99029072,0.604753649
1.22,0.25,11.6331,14.84166,4631.04,0.84282,2.110786091,11.81268778,4.357353237
1.44,0.2104,11.87666,17.24342,4847.34,0.8529,2.325670174,13.64075685,2.521395962
1.311,0.149,11.61573,15.08949,6335.68,0.87764,3.060324988,11.8259279,0.604760369
1.311,0.149,12.95779,15.27602,5487.8,0.86218,2.665615483,10.44840291,0.604759161
1.22,0.25,19.24221,23.12463,6118.87,0.92236,4.658454421,7.564651446,4.359984916
0.75,0.29,22.15577,26.19702,6721.09,0.9277,5.603508157,7.525527987,4.649731122
1.241,0.225,13.29258,15.50154,4548.68,0.85574,2.195984439,10.96942801,1.197259712
1.306,0.166,5.58315,6.53052,677.25,0.5027,0.438751909,30.95210468,1.382834412
1.386,0.1057,7.71246,10.92374,4326.01,0.78932,1.507610442,19.88011197,-3.024456617
0.75,0.29,9.48703,12.4226,3575,0.78832,1.322733389,13.21749081,4.649689918
1.311,0.149,6.69993,13.19966,2167.39,0.7232,0.82119109,24.39037297,0.604763284
0.75,0.29,5.7905,7.94569,2798.56,0.6884,0.957729941,16.7844711,4.671688218
1.33,0.403,4.0122,6.08478,1429.16,0.5961,0.5877481,23.175015,-0.876148506
0.75,0.29,26.69963,30.91897,7209.14,0.95034,8.447391579,6.095981577,4.645621905
1.306,0.166,4.03954,6.93984,1902.96,0.6427,0.74357055,23.93964577,1.382901672
1.33,0.403,7.9598,15.04191,3715.38,0.81252,1.368240427,10.49870595,-0.876148593
1.22,0.25,6.59467,11.54376,2988.57,0.73652,1.039316567,26.90600412,4.350433784
1.241,0.225,5.94545,11.26505,2650.05,0.74092,0.905066476,34.63673218,1.197269739
1.44,0.2104,4.43531,6.98874,1837.37,0.60518,0.702425957,24.76431158,2.52149244
1.418,0.152,8.07599,8.96947,1902.49,0.67526,0.695262708,18.52266814,1.896187753
0.75,0.29,9.01282,19.8429,2592.43,0.81754,1.167014018,11.04518146,4.634584227
1.241,0.225,3.85924,8.17701,800.77,0.57928,0.518019065,22.71901712,1.197224391
1.44,0.2104,11.17425,13.9621,5069.6,0.8471,2.249885793,14.42215585,2.521280754
1.418,0.152,4.84916,5.1864,1076.23,0.52748,0.4500721,27.66879195,1.896147572
1.386,0.1057,17.6604,19.8403,3345.16,0.80634,1.589367162,26.4788001,-3.024456617
0.75,0.29,4.91381,6.10211,2118.11,0.6547,0.69652567,18.35233214,4.671131435
1.311,0.149,4.66172,5.75292,347.817,0.4715,0.365864068,26.10240588,0.604755382
1.22,0.25,13.11852,16.39554,3560.25,0.83092,1.787170707,13.36815474,4.351640532
1.33,0.104,3.81827,4.75858,965.604,0.57852,0.587384812,26.26946334,2.760718138
1.241,0.225,5.51273,6.23351,2602.63,0.70158,0.761525787,15.9333556,1.197277028
