Polymer density (g/cm3),FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst N2,log_P(MMM)_N2
1.33,0.104,25.60881,29.05739,6833.06,0.94738,7.633266727,2.225258157,1.202064286
0.965,0.314,4.89988,7.4125,1491.51,0.62534,0.569723584,11.49941036,3.770492375
1.306,0.166,9.91572,13.9975,4362.42,0.81244,1.857421777,5.096451488,-0.279842067
1.22,0.25,40.53604,46.69477,6658.42,0.97084,14.52740011,1.62276075,3.242289468
1.241,0.225,8.72309,12.29384,3789.8,0.78816,1.477288489,7.719238917,-0.359023551
0.965,0.314,16.65239,22.07369,5723.73,0.91636,4.240758224,2.869926421,3.784087427
1.418,0.152,8.74819,9.72743,1965.47,0.66,0.761101706,9.13047108,0.346835238
1.241,0.225,10.74312,13.81771,5822.6,0.84504,2.398657951,6.60441402,-0.35902279
1.09,0.26,4.30891,5.59771,1136.47,0.55448,0.519682087,14.35391054,2.206602254
1.33,0.104,10.43323,12.92759,6069.27,0.83856,2.333968855,6.923797047,1.202050019
1.33,0.104,20.80588,24.99894,5225.01,0.90702,4.225222204,3.266643032,1.202056339
1.44,0.2104,22.2434,28.26668,5502.47,0.92162,5.241212232,2.802721277,1.106345021
1.418,0.152,7.3704,10.39953,4660.15,0.80646,1.537951039,7.982646459,0.346837645
0.75,0.29,8.17071,16.85434,4181.6,0.8183,1.822973521,5.965613564,3.665736359
1.22,0.25,9.66184,13.61378,4889.42,0.8232,1.882413203,7.691766868,3.239116607
0.965,0.314,9.05126,16.36312,4046.06,0.82152,1.723395016,5.433435601,3.776865547
0.75,0.29,10.75448,11.457,1248.66,0.63676,0.543088155,8.82021946,3.673001077
0.965,0.314,8.46343,15.10074,3175.41,0.78692,1.27885642,7.476643814,3.775813047
1.306,0.166,15.5503,19.11992,4277.25,0.86532,2.393083918,7.979688009,-0.279841599
1.22,0.25,4.32378,9.74723,2428.55,0.67384,0.834446812,11.52798209,3.237178524
1.33,0.104,6.70407,7.25727,787.458,0.47158,0.384179226,12.6552058,1.202075925
1.33,0.104,3.8442,4.49857,246.233,0.4563,0.287596117,18.20585378,1.202028971
1.241,0.225,7.75871,10.01013,3208.81,0.76924,1.145477965,6.517505984,-0.359022872
0.965,0.314,6.23955,11.88575,2800.47,0.72192,1.017334654,8.478657326,3.776102285
1.33,0.104,4.43891,5.88824,1359.64,0.59112,0.576651806,14.17746246,1.202045687
1.418,0.152,6.83417,7.97254,870.173,0.54492,0.485499693,16.88725215,0.346828283
1.09,0.26,14.94536,23.12924,6052.51,0.90862,4.174012909,4.915366898,2.20653733
0.965,0.314,20.46457,22.43127,5311.54,0.89226,3.702753847,7.196744744,3.782391274
0.75,0.29,31.5827,34.24855,3447.66,0.87862,2.637310521,8.328548826,3.668869639
1.44,0.2104,10.70892,13.80907,4122.81,0.82346,1.848722894,9.42735823,1.106337304
1.33,0.104,4.65199,5.7578,2612.11,0.70192,0.6846998,7.209382193,1.202032741
1.44,0.2104,4.05785,12.81022,2408.02,0.70774,0.917513972,11.54218539,1.10631473
0.75,0.29,19.37631,24.70018,6363.09,0.9323,5.93077476,2.928783238,3.670434045
1.418,0.152,8.81282,15.66291,3979.57,0.78914,1.553871782,8.776514472,0.346835986
1.44,0.2104,11.60691,14.98494,5892.07,0.8698,2.875647583,5.879556835,1.10633174
1.33,0.104,11.30831,14.47659,3241.75,0.82036,1.364324274,6.177098588,1.202045721
1.418,0.152,8.47249,13.45271,5109.32,0.8288,2.057290374,6.418710296,0.34683711
1.418,0.152,8.72055,10.7591,3197.74,0.75652,1.069894131,9.403373773,0.346835165
1.22,0.25,16.56145,20.69287,4874.19,0.89384,2.985198247,3.241141441,3.239918176
1.33,0.104,5.91478,10.77922,2430.74,0.7163,0.87588117,9.746523392,1.202035763
1.33,0.104,20.32761,24.73465,5451.19,0.89958,4.235151218,3.549138999,1.202056348
0.965,0.314,21.74773,25.90871,6377.95,0.92564,5.279958018,2.768204331,3.784016921
1.44,0.2104,35.86608,41.20987,6636.47,0.96692,12.57433713,1.706470586,1.10635443
0.965,0.314,17.52124,23.94771,6218.94,0.91786,5.200133706,3.607743891,3.785292594
1.241,0.225,6.69067,13.16192,2147.35,0.72224,0.813497315,12.62290635,-0.359023026
1.22,0.25,3.65933,5.43724,766.352,0.53672,0.439369009,12.16143856,3.235184011
1.09,0.26,4.12111,5.93329,186.078,0.4259,0.339027574,11.6767838,2.205045776
1.33,0.104,4.0721,4.38086,164.504,0.42954,0.317151148,18.77314027,1.20204165
0.75,0.29,8.38587,10.29567,2330.86,0.73422,0.871368113,7.981784272,3.661266077
1.09,0.26,14.1953,17.94484,5392.44,0.89854,3.213248652,3.839939923,2.206581596
0.75,0.29,19.76068,24.29682,5889.35,0.9107,4.327373118,3.581279466,3.669779573
0.75,0.29,6.61957,8.20931,2763.89,0.71726,0.91158771,9.2787948,3.671152438
1.33,0.104,3.87519,6.75931,1234.11,0.60784,0.489542142,11.96397217,1.202034466
1.09,0.26,10.1707,15.32345,3232.67,0.78826,1.448035785,9.089038644,2.206433401
1.241,0.225,40.48074,43.44092,4211.14,0.96232,8.245677172,1.99110152,-0.35902214
1.241,0.225,10.35475,13.52421,4777.72,0.8417,2.050786009,7.753774052,-0.359022725
1.44,0.2104,20.05765,24.12726,5642.25,0.8863,3.458596738,4.086285363,1.106340107
0.965,0.314,6.18035,6.5178,4786.42,0.71052,1.088897846,11.18179713,3.789231315
1.418,0.152,11.99886,20.55663,5841.38,0.87984,3.163162587,3.814813102,0.346838012
1.241,0.225,13.15094,19.36713,6031.38,0.8981,3.704009205,3.398625985,-0.35902275
0.965,0.314,8.20008,16.2714,4434.7,0.81142,1.778314478,7.608272748,3.778141164
1.09,0.26,32.86475,33.43567,3637.93,0.86984,2.113226616,4.172718702,2.206541223
1.418,0.152,4.41471,6.44862,1249.83,0.6082,0.579580324,11.7180622,0.34683
1.09,0.26,10.15165,14.91525,4104.71,0.81356,1.756132519,5.534007634,2.206398292
1.09,0.26,15.60451,22.64579,4301.44,0.90838,3.087858371,2.958409892,2.206585263
0.75,0.29,4.95438,7.90715,908.856,0.54708,0.422625301,10.33413255,3.662828419
1.241,0.225,16.71966,21.38139,2036.3,0.80754,1.020930891,5.239245083,-0.35902322
0.75,0.29,33.44905,38.63223,4476.35,0.94826,6.64308132,2.441404626,3.672719513
1.44,0.2104,4.86667,7.27536,1374.32,0.61122,0.632513569,13.0734949,1.106320314
1.241,0.225,15.3408,19.07566,4895.11,0.86742,2.916246419,4.658806386,-0.359022751
1.09,0.26,6.04966,12.44931,5190.36,0.80366,1.670605892,6.8931697,2.206556427
1.306,0.166,10.26181,12.0695,5090.72,0.85818,2.246515098,5.21076261,-0.279841642
1.306,0.166,4.74475,6.7857,1024.9,0.56918,0.456692155,12.01342142,-0.279844578
1.306,0.166,4.61596,6.71751,1285.5,0.58898,0.509679038,12.10141741,-0.279841695
1.44,0.2104,7.08346,11.85876,4670.08,0.7848,1.576150481,8.672078343,1.106337163
0.965,0.314,13.13181,22.50104,4679.08,0.8646,2.779161751,7.331909008,3.780134739
1.33,0.104,5.34376,11.13019,5136.86,0.7746,1.433735542,8.13488479,1.202058243
1.33,0.104,12.94714,20.16081,5196.46,0.868,2.671402148,6.09400278,1.202044759
1.306,0.166,34.05412,37.57092,4603.11,0.9409,6.470135193,2.121844886,-0.279841066
1.306,0.166,4.55194,6.28796,744.463,0.50728,0.344938258,13.48987353,-0.279841711
1.33,0.104,8.56261,14.93134,3201.79,0.8028,1.238850653,7.438122786,1.202039625
1.33,0.104,6.80377,7.04016,2238.38,0.66554,0.715196831,14.0114305,1.202051501
1.33,0.104,4.91537,5.26252,1105.32,0.53204,0.460505133,15.67581007,1.202060749
1.418,0.152,38.44296,43.65893,5375.67,0.96486,10.35411934,1.950253699,0.346840784
1.09,0.26,4.39114,10.03517,1274.04,0.5942,0.554741255,11.93689807,2.206123546
1.306,0.166,5.74,12.5,2134.81,0.68,0.957746479,12.1217436,-0.279842162
0.965,0.314,8.70015,10.26084,2941.68,0.74692,1.097504709,9.188046288,3.775409668
1.33,0.104,4.21234,5.96594,260.353,0.4552,0.331667225,16.4799076,1.201985204
1.241,0.225,16.28042,20.90483,5794.97,0.91332,4.135008489,4.658706096,-0.3590226
0.75,0.29,21.99837,24.69379,6464.44,0.91898,4.670610598,2.793512251,3.669668596
1.306,0.166,5.08524,7.14066,876.407,0.5421,0.409797029,12.80645478,-0.279842478
0.75,0.29,4.4748,6.14583,2626.37,0.65502,0.824259416,11.9877718,3.666856479
1.418,0.152,10.75846,13.17229,6362.13,0.87062,3.031322247,4.389622519,0.346838221
1.33,0.104,15.82787,20.66279,4186.17,0.90008,2.733611934,3.21298332,1.202049149
1.33,0.104,4.70953,5.87386,784.394,0.54114,0.413560669,15.96801146,1.202069108
1.33,0.104,23.65374,25.83706,6521.92,0.94276,6.76434291,3.846863709,1.202059241
0.75,0.29,6.68187,13.29109,2163.28,0.7204,0.813788772,12.24205654,3.663267514
1.33,0.104,6.17315,8.62656,1467.01,0.62022,0.574134244,10.96390123,1.202030345
1.306,0.166,15.02847,20.59137,5013.02,0.87858,2.872462508,4.245569187,-0.279841752
1.241,0.225,4.17886,8.8325,1746.77,0.70274,0.618184697,8.468050459,-0.359024927
1.418,0.152,19.92791,21.48082,2818.6,0.8119,1.596405679,6.539826287,0.346835113
1.418,0.152,9.89338,12.95462,4279.89,0.80898,1.644468838,9.2244058,0.346837478
1.09,0.26,4.00763,8.23055,1725.06,0.6435,0.813117024,10.96312565,2.206273409
1.44,0.2104,5.37167,7.3314,1146.88,0.55594,0.546738393,13.00395057,1.10632003
1.09,0.26,4.14711,5.04996,661.113,0.51562,0.470426159,17.03432133,2.206050199
1.306,0.166,10.53212,11.30509,1104.45,0.6287,0.475668069,9.083953005,-0.279841049
1.44,0.2104,10.44621,10.53908,645.574,0.5418,0.503681392,9.319974908,1.106313971
1.306,0.166,5.38349,5.80792,1114.07,0.58698,0.519460521,11.8511666,-0.279841224
1.241,0.225,27.00872,28.93976,5718.07,0.92706,4.724594843,2.63379261,-0.359022536
1.241,0.225,17.12574,20.55109,5622.95,0.89896,3.578377518,3.234142468,-0.35902271
1.22,0.25,5.3119,10.2017,2648.12,0.68248,0.881743436,9.641069466,3.240071485
0.75,0.29,6.65727,13.16813,2177.53,0.72264,0.819405199,12.27863204,3.66524229
1.44,0.2104,22.32918,24.20735,6009.52,0.92202,4.773719226,4.031369998,1.106345226
1.418,0.152,9.07506,12.43085,1522.52,0.6327,0.706310241,14.97269875,0.346829239
1.33,0.104,12.51611,23.56796,3776.49,0.8564,2.028119916,3.569130802,1.202049235
1.09,0.26,16.73827,20.13518,4118.62,0.88992,2.726846532,5.930940734,2.206517056
1.44,0.2104,8.93166,11.67852,3464.35,0.78412,1.315904739,8.023368087,1.106331176
0.965,0.314,37.49101,44.54123,4568.78,0.96336,8.789700824,1.870810751,3.789459849
1.22,0.25,12.81868,16.19216,5573.34,0.8611,2.639395063,6.666643984,3.23965977
1.241,0.225,24.23315,27.90404,6720.86,0.92782,5.651442981,2.728948047,-0.35902255
1.33,0.104,6.16762,8.03037,1911.3,0.64028,0.715862158,10.88752591,1.202032039
1.33,0.104,6.68001,13.20191,2165.87,0.72124,0.81157933,12.34605403,1.202038509
1.306,0.166,8.79327,13.68499,3835.04,0.7744,1.451867517,8.627694508,-0.279842154
1.418,0.152,11.00552,14.18857,2660.8,0.81766,1.175209161,4.812596127,0.346836322
1.22,0.25,6.12459,8.48774,1512.12,0.5888,0.617614172,11.50253941,3.237652134
0.75,0.29,14.40453,14.69858,1314.52,0.69086,0.695165857,13.95367347,3.673823132
0.965,0.314,11.5414,13.2156,3667.9,0.8131,1.570667481,7.919082406,3.776900243
0.75,0.29,9.165,12.31194,4204.01,0.8015,1.744313842,8.449069115,3.65811745
0.75,0.29,4.05435,4.73204,319.964,0.4277,0.316451482,16.56212063,3.670586501
1.306,0.166,12.10127,15.36328,4680.64,0.86076,2.361468524,3.866874274,-0.279841769
1.22,0.25,9.23548,12.33037,4631.81,0.81624,1.827962287,5.19368629,3.239167883
0.75,0.29,12.60426,18.03847,5738.69,0.88632,3.19483244,5.098575215,3.667975687
1.44,0.2104,4.71896,10.10497,1901.56,0.65814,0.686399765,11.78226411,1.10630104
1.418,0.152,3.97231,6.12654,1214.84,0.5539,0.511974415,13.14796744,0.34683714
1.44,0.2104,16.62707,19.66519,5262.38,0.8851,2.864021279,5.049257756,1.106340032
1.44,0.2104,7.43067,9.64597,3313.8,0.73074,1.153181531,8.17830472,1.106322689
0.75,0.29,9.15991,17.5271,4124.42,0.80388,1.630042683,7.403170472,3.660912187
1.241,0.225,9.82354,17.30249,3818.7,0.8459,1.655161348,4.952713054,-0.35902289
0.75,0.29,5.81846,6.76349,1181.72,0.56678,0.509076211,11.36368975,3.667024686
1.22,0.25,6.69333,13.27228,2157.63,0.72098,0.812715232,12.30417712,3.238367466
1.44,0.2104,10.22388,13.52073,4571.3,0.82036,1.905571583,5.960466392,1.106333309
0.965,0.314,5.69458,6.8509,2144.57,0.6707,0.711497252,9.043391681,3.780091755
1.306,0.166,8.84652,13.31927,4324.46,0.82218,1.667241218,4.562601015,-0.279841747
1.33,0.104,28.9615,32.09205,7930.55,0.9367,6.810134865,3.003866623,1.202057991
0.75,0.29,12.19279,15.26957,4617.58,0.85178,2.158060487,4.320400852,3.665433056
1.44,0.2104,4.14354,5.32617,1702.56,0.67174,0.610650522,10.52314803,1.106283632
1.22,0.25,38.62026,44.39725,4856.55,0.96122,9.117658218,2.171388817,3.242244485
0.965,0.314,9.79194,12.62515,4018.87,0.79784,1.584934146,9.687082326,3.773297776
1.22,0.25,3.88728,4.63332,494.572,0.52132,0.419198945,17.45413222,3.239540249
1.09,0.26,13.27334,13.47664,2034.15,0.69836,0.983177744,12.59368966,2.205949111
1.306,0.166,4.41446,7.10434,2627.19,0.6595,0.788356942,11.74361234,-0.279841854
0.965,0.314,11.44254,14.17323,3998.48,0.8438,1.88296937,6.043574156,3.776307575
1.418,0.152,16.67104,21.64685,5055.04,0.89488,3.339179235,5.244966373,0.346837992
0.965,0.314,8.74362,10.02859,2361.15,0.71526,0.858328823,11.24764451,3.780483621
1.241,0.225,5.80379,9.96823,2509.4,0.7158,0.793358752,7.53521709,-0.35902314
0.75,0.29,5.26139,8.12213,541.231,0.5283,0.259096326,9.431522282,3.665161457
1.241,0.225,15.5503,19.11992,4277.25,0.86532,2.393083918,7.979688009,-0.359022694
1.33,0.104,14.01886,16.67374,5450.36,0.85646,2.464888449,7.010692028,1.20204595
1.33,0.104,4.41339,6.69512,2127.07,0.66902,0.782333131,12.18337267,1.20202509
1.33,0.104,4.87704,9.55127,1883.88,0.66106,0.677598832,8.816721543,1.202004185
1.241,0.225,12.54347,13.92519,3805.88,0.81208,1.710571216,5.89613141,-0.359023147
1.33,0.104,5.63231,7.1315,1089.78,0.53834,0.486921129,11.86436531,1.202034498
1.241,0.225,9.70653,16.0781,4119.81,0.8077,1.797765313,9.696652942,-0.35902302
1.22,0.25,4.14527,5.03897,477.729,0.50692,0.401291936,17.23869547,3.240322586
0.965,0.314,13.85784,19.10077,1958.44,0.74916,1.244966772,16.86570054,3.769016281
1.241,0.225,11.19605,14.1486,4268.77,0.83626,1.914159691,4.762375619,-0.359022736
1.44,0.2104,4.23405,6.48565,1081.65,0.56556,0.467950256,11.97502735,1.106318247
0.75,0.29,8.60279,11.42392,2692.86,0.75086,0.9480783,9.009709656,3.662265009
1.418,0.152,11.11801,25.84424,2993.2,0.83732,1.587465898,6.442207185,0.346837113
1.33,0.104,16.60452,18.77941,4956.31,0.87872,2.614327749,5.56111837,1.2020447
0.965,0.314,4.77174,6.32793,1528.34,0.60334,0.56522676,12.28075194,3.783634759
1.241,0.225,10.46533,13.08202,3523.97,0.808,1.48569012,8.874957645,-0.359022894
1.418,0.152,10.00412,14.3107,4007.52,0.81652,1.606889481,5.510025118,0.346836996
1.44,0.2104,15.88302,20.00354,4061.15,0.88486,2.319101147,3.778897935,1.106334909
1.22,0.25,6.07261,11.19548,4990.44,0.77704,1.432015038,8.147662084,3.240381738
1.44,0.2104,19.54382,25.99258,6229.15,0.91172,4.314935587,3.475496762,1.106343545
0.75,0.29,3.84303,5.28042,474.798,0.51602,0.440903304,14.05268339,3.660471941
1.33,0.104,16.5865,21.59321,3706.5,0.83142,1.673240865,5.083633197,1.202036598
1.241,0.225,4.70268,5.01289,547.821,0.47896,0.305548822,16.9387473,-0.359022007
1.44,0.2104,5.12978,5.63389,2074.77,0.66092,0.640513248,10.42027398,1.106338286
1.33,0.104,4.59373,4.92609,329.359,0.42358,0.333501299,17.13363026,1.202055401
1.22,0.25,24.9577,29.71426,5958.66,0.9365,6.141144686,2.673405587,3.241427518
1.09,0.26,12.06007,15.30817,6116.72,0.87576,3.132861129,5.918019439,2.206523105
1.306,0.166,12.54347,13.92519,3805.88,0.81208,1.710571216,5.89613141,-0.279842142
1.418,0.152,4.20151,5.78959,206.217,0.42702,0.25454979,12.11572808,0.346786064
1.418,0.152,4.88116,5.59343,1371.16,0.58004,0.525094148,11.1338735,0.34682808
0.965,0.314,11.74166,15.44254,4808.7,0.8442,1.995980612,6.646980196,3.782710157
1.306,0.166,4.95549,5.57744,1497.21,0.62984,0.588811607,11.80702156,-0.279841172
1.33,0.104,16.1301,20.31643,5557.39,0.8898,3.315695335,3.513273547,1.202050338
0.75,0.29,10.46533,13.08202,3523.97,0.808,1.48569012,8.874957645,3.666030163
0.965,0.314,4.63026,4.96727,535.005,0.47418,0.366773924,16.85724936,3.785476435
1.418,0.152,19.97149,23.67476,6420.11,0.9132,5.002026664,3.445971903,0.346838157
0.965,0.314,17.63282,23.40794,6241.8,0.9203,4.587439498,2.735157274,3.782858361
0.965,0.314,4.12899,5.0954,659.45,0.54162,0.407548703,15.86975105,3.790219802
1.33,0.104,3.92519,8.78791,839.627,0.52416,0.431887282,14.3889276,1.201970107
1.241,0.225,7.84586,11.37997,2422.18,0.732,0.925026127,7.782181651,-0.359023601
1.09,0.26,3.85188,5.24127,507.794,0.48134,0.360678586,13.77558528,2.205355279
1.33,0.104,3.88968,5.25122,427.922,0.47178,0.282579138,12.85948769,1.201843408
0.75,0.29,4.57125,7.106,784.155,0.52752,0.37356334,12.22160054,3.656059813
1.22,0.25,5.82473,9.75436,1945.99,0.65932,0.743671707,8.462188436,3.237474266
1.418,0.152,31.38441,36.5597,5983.99,0.96362,10.34409837,1.71852675,0.346840635
1.418,0.152,5.54947,9.21896,1451.9,0.58362,0.625004016,12.10422876,0.346840048
1.241,0.225,16.87139,19.63737,5638.5,0.88002,3.448111027,7.124439905,-0.359022728
1.418,0.152,4.27158,6.83841,1204.6,0.62548,0.538942072,10.66504692,0.346833568
1.44,0.2104,5.36068,8.90465,2132.74,0.65902,0.764529684,8.041302016,1.106259791
1.44,0.2104,7.06068,9.38272,2852.91,0.72034,1.019985104,8.458139385,1.106311997
1.09,0.26,20.52056,21.53778,5054.2,0.87142,3.095179743,4.554596156,2.206510292
1.22,0.25,5.81739,6.97253,843.277,0.52428,0.414919632,12.61225197,3.241109202
1.33,0.104,9.91482,16.26449,3652.18,0.80184,1.603484375,9.239268763,1.202038431
0.965,0.314,6.65215,12.91792,2904.58,0.7369,1.012435272,8.525980026,3.770229387
0.965,0.314,25.96246,28.57485,7062.13,0.92668,5.338448953,2.796615309,3.784083843
0.75,0.29,10.29123,16.0053,2816.72,0.79628,1.217026883,7.831628594,3.664632592
1.418,0.152,19.54538,24.67312,5510.59,0.90786,3.839429579,4.021973847,0.346839185
1.241,0.225,14.52358,19.51283,5369.28,0.8847,3.012390743,3.283453901,-0.359022803
1.418,0.152,6.23971,10.39698,1291.15,0.66214,0.524363492,8.732192935,0.346835689
1.241,0.225,3.85188,5.24127,507.794,0.48134,0.360678586,13.77558528,-0.359025955
1.241,0.225,4.56878,5.00131,481.095,0.49172,0.341053011,15.4959877,-0.359022516
1.44,0.2104,11.01016,16.49811,5121.56,0.86154,2.52775561,4.417658565,1.106335179
0.965,0.314,6.25435,6.94357,1474.68,0.58524,0.568989655,12.36284143,3.7762394
1.09,0.26,3.80044,4.84557,634.174,0.49344,0.428850783,16.57017984,2.205761402
0.965,0.314,18.79228,22.95764,5809.44,0.92516,4.889050948,3.985319605,3.785225751
1.22,0.25,10.77186,13.5187,3130.59,0.81126,1.246320615,8.32618253,3.238565
1.09,0.26,17.44669,21.87127,4884.32,0.8903,3.141695662,4.471849271,2.206492452
1.418,0.152,7.95732,20.39112,4718.68,0.8291,2.054821681,5.943371536,0.346837654
0.75,0.29,6.89727,8.49976,1056.16,0.57166,0.433230014,11.35765612,3.664546208
1.241,0.225,30.03969,31.50321,3529.12,0.87912,2.538798755,4.671514286,-0.359022558
1.241,0.225,38.47493,42.97854,5361,0.96474,10.66656937,1.809915814,-0.359022156
1.418,0.152,7.98188,10.6209,3247.26,0.7441,1.066027518,9.482892931,0.346838029
0.965,0.314,16.59494,17.71892,3958.37,0.8108,1.987732347,10.85269969,3.777406698
1.33,0.104,15.80943,20.80539,4226.77,0.9001,2.749992362,3.172658797,1.202049127
1.241,0.225,13.79843,19.36968,1649.85,0.7522,1.05504851,17.3708917,-0.359023118
1.418,0.152,15.76066,18.3773,5829.39,0.86904,2.742420035,4.560798657,0.34683773
0.75,0.29,33.44742,38.86566,4787.5,0.95072,7.14633633,2.715619027,3.673061094
1.09,0.26,16.21715,20.10541,5538.46,0.89596,3.432323511,3.55476883,2.206564107
1.33,0.104,19.35806,22.55489,6319.36,0.91516,4.256855129,2.710510989,1.20205823
1.241,0.225,6.69323,8.37909,1214.14,0.63476,0.477960333,9.058412956,-0.359023029
1.09,0.26,14.51847,18.83895,5142.32,0.86168,2.69525153,4.017978292,2.206353564
1.306,0.166,8.58608,10.19056,3037.95,0.73974,1.053448551,8.733021942,-0.279841715
1.22,0.25,11.67072,15.6977,5920.72,0.8628,2.659654812,5.976307694,3.239821022
1.418,0.152,11.66114,14.67558,6192.23,0.87502,3.050072329,3.907141571,0.346837999
0.965,0.314,15.84638,18.45379,3785.4,0.84016,2.057067865,5.119770054,3.782519905
0.75,0.29,22.17527,26.65829,6932.3,0.93876,6.684230013,2.235173466,3.67093134
1.241,0.225,6.48147,6.85652,861.552,0.5653,0.338168875,12.26414133,-0.35902215
1.44,0.2104,14.46574,19.94563,5416.34,0.87154,2.917278938,3.497499102,1.10632946
1.22,0.25,15.39461,20.25817,4181.59,0.87396,2.401906222,4.25945585,3.239735654
1.241,0.225,4.17837,8.81434,1700.55,0.7024,0.607591433,8.326759499,-0.359025157
1.09,0.26,23.08758,25.15408,5684.12,0.92732,4.810823991,2.870842792,2.206602185
1.22,0.25,15.35199,23.5566,4201.32,0.84558,2.2989212,8.501257353,3.239396473
1.418,0.152,9.01667,10.80975,3121.04,0.76484,1.32149213,6.729239968,0.346835972
1.09,0.26,6.24123,8.23227,872.412,0.59654,0.476595269,11.36796518,2.205436666
1.306,0.166,10.69287,14.27343,4477.19,0.82866,1.761202785,7.113057138,-0.279842009
1.09,0.26,12.28485,14.18971,3694.2,0.79136,1.562924005,10.54784362,2.206330952
1.306,0.166,6.59787,6.97041,837.616,0.55954,0.343465717,11.80263081,-0.279840941
1.44,0.2104,15.36935,18.76315,4753.55,0.86322,2.720585454,7.762610919,1.106336106
1.418,0.152,3.74229,5.33635,611.572,0.51658,0.43784274,14.63832885,0.346836304
1.306,0.166,8.26814,11.65453,4258.54,0.80048,1.582070083,6.036321587,-0.279841862
0.965,0.314,4.16408,5.11629,496.29,0.48534,0.402928943,17.04949692,3.756620166
1.418,0.152,3.79079,7.01529,661.262,0.48542,0.364300885,14.20684156,0.346833951
1.418,0.152,21.6597,25.17287,5352.2,0.90256,4.14949129,3.942524404,0.346838705
0.965,0.314,5.40352,11.19528,811.993,0.6037,0.394399875,15.35914652,3.743159759
1.418,0.152,26.5894,28.056,4872.66,0.87052,3.063140412,6.164846639,0.346838379
1.306,0.166,5.75367,7.28997,381.331,0.46264,0.350827703,10.82027734,-0.279844788
0.75,0.29,4.36886,6.62446,1144.27,0.53822,0.522635024,13.85889226,3.669721051
1.306,0.166,3.99796,4.52715,364.836,0.45408,0.277808028,18.72295238,-0.279841129
1.09,0.26,3.98335,5.17179,585.295,0.49382,0.415386686,16.20031952,2.206538384
1.33,0.104,10.08472,12.81046,2553.75,0.7199,0.988568094,8.971248097,1.202046879
1.33,0.104,10.03609,13.87561,1610.91,0.70492,0.729846446,10.48996024,1.202029209
1.241,0.225,10.9326,14.48594,6179.81,0.85344,2.594263342,6.469434479,-0.359022732
1.33,0.104,5.30071,6.00247,524.787,0.48104,0.28003423,12.90202147,1.202047125
1.418,0.152,9.12713,11.3522,2032.26,0.70164,0.901346933,15.632113,0.346834231
1.418,0.152,13.59268,17.49532,3543.84,0.8299,1.612611755,5.035077199,0.346836212
1.306,0.166,7.76503,10.33126,3362.68,0.74772,1.235198499,11.24127696,-0.279842513
0.75,0.29,7.00403,7.53698,1604.15,0.6266,0.634215662,9.945507143,3.674669612
1.33,0.104,10.95857,11.78987,1368.61,0.64822,0.603281557,8.310806294,1.202067081
1.44,0.2104,5.75428,10.54748,2566.31,0.70918,0.858693059,10.53516094,1.106337892
1.09,0.26,12.58758,15.75068,6403.1,0.8873,3.391288063,3.523687732,2.206563707
1.22,0.25,14.15113,21.93634,6128.48,0.88776,3.329745138,3.992085174,3.239905748
1.09,0.26,10.13395,13.07391,4861.04,0.82988,1.983593548,5.424998422,2.20650639
1.418,0.152,5.84418,11.7939,2441.53,0.72108,0.857256987,10.2387631,0.346834239
1.44,0.2104,3.82141,5.05464,837.919,0.57504,0.495130835,15.80107137,1.106315016
1.306,0.166,15.51519,19.76434,5950.78,0.88636,3.471565095,6.001609818,-0.279841663
0.965,0.314,8.54299,9.00309,1072.57,0.6726,0.687427818,10.6572327,3.768761633
1.33,0.104,3.68765,4.75768,286.74,0.44254,0.250797663,13.89998643,1.201574485
0.75,0.29,8.79752,14.82655,2116.83,0.72466,0.931001611,14.05267006,3.662801289
1.241,0.225,13.16103,17.66918,4798.18,0.8522,2.316308475,4.816623862,-0.359022715
1.306,0.166,4.89913,7.92371,1894.82,0.63658,0.700700392,13.66627541,-0.2798437
1.22,0.25,3.76847,7.77332,1264.77,0.63114,0.566522449,10.67531138,3.232877788
1.09,0.26,10.87209,17.48282,5136.3,0.84514,2.305642022,4.679394026,2.206472573
1.33,0.104,15.21659,22.62667,5747,0.91198,4.181169653,5.057807709,1.202054574
1.22,0.25,12.07105,14.74985,4542.33,0.84896,2.18538273,6.175260111,3.239719148
1.44,0.2104,3.76616,7.18206,1276.79,0.62442,0.546787159,11.12123091,1.10630124
1.22,0.25,11.40756,14.11041,3722.17,0.8309,1.581266117,4.655291679,3.239197159
1.241,0.225,8.76145,9.24219,1380.13,0.63232,0.654817567,10.58807451,-0.359022685
1.33,0.104,16.28042,20.90483,5794.97,0.91332,4.135008489,3.16019918,1.20205944
1.241,0.225,21.3774,24.49004,5899.31,0.91452,4.562903829,3.715872785,-0.359022686
1.306,0.166,27.2542,30.71814,7236.34,0.94374,7.518223171,2.080862495,-0.27984122
1.418,0.152,4.97261,5.7034,1433.79,0.58618,0.559919763,11.06960628,0.346826173
1.418,0.152,15.5602,20.86061,6126.47,0.90714,4.050979989,4.940145033,0.346837504
1.44,0.2104,7.49574,12.57405,2616.85,0.73358,0.985218632,9.780929309,1.106301673
1.09,0.26,15.02847,20.59137,5013.02,0.87858,2.872462508,4.245569187,2.206502405
1.33,0.104,10.46259,14.75594,3524.12,0.8317,1.505118707,4.923644101,1.202040594
1.22,0.25,23.54156,25.76233,6681.97,0.93912,6.526516231,2.447696235,3.241407836
