Polymer density (g/cm3),FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst N2,log_P(MMM)_N2
0.965,0.314,3.77189,6.33537,1377.97,0.63538,0.58187646,12.27071276,3.751864402
0.965,0.314,30.55199,34.0401,4106.14,0.94534,5.524491871,3.645590852,3.788009537
1.418,0.152,7.25608,11.30434,3596.33,0.7733,1.20622125,7.603989878,0.346836274
1.44,0.2104,7.09442,7.22049,1102.15,0.608,0.459884878,12.84507405,1.106354898
1.09,0.26,27.43199,28.90279,3464.34,0.87346,2.393329607,4.350040573,2.206566368
0.965,0.314,13.30814,18.3911,5383.9,0.89128,3.057994435,3.48235749,3.782506842
1.22,0.25,12.97088,15.87648,5791.33,0.85034,2.478258335,7.063908255,3.240160985
1.22,0.25,13.81107,14.72034,873.984,0.62692,0.506013205,8.647079936,3.238088019
1.09,0.26,18.64796,23.18843,5968.67,0.9159,4.610807382,3.149837214,2.20661241
1.09,0.26,6.77637,10.89993,3083.82,0.75168,1.04690662,8.475873461,2.206529053
1.33,0.104,21.12042,26.90792,6205.96,0.93132,5.821732417,2.736296305,1.202057449
1.33,0.104,3.89897,4.86127,496.224,0.47738,0.378848962,16.05686961,1.202029237
0.965,0.314,4.85437,6.33067,834.35,0.56262,0.384936952,13.07385743,3.772767074
1.418,0.152,3.70884,4.84641,546.569,0.54294,0.428507162,15.83971141,0.346807196
1.22,0.25,4.36754,6.24558,1046.54,0.56026,0.462207336,12.78780188,3.23569469
1.418,0.152,14.11419,16.3396,4322.65,0.85888,2.217133948,6.206075433,0.346837401
1.306,0.166,7.49345,7.99802,1365.52,0.66716,0.543431513,10.79714153,-0.279842574
0.75,0.29,5.69458,6.8509,2144.57,0.6707,0.711497252,9.043391681,3.666495885
1.09,0.26,8.24178,8.77466,1446.44,0.67988,0.578104672,10.2942416,2.206421458
0.965,0.314,17.63613,21.70216,6120.14,0.90992,4.201873923,4.463126475,3.784290113
1.306,0.166,13.30868,16.20729,6374.75,0.88754,3.418348483,5.069190362,-0.279841518
1.33,0.104,17.12122,20.79492,4602.64,0.9025,3.114764848,4.905320505,1.202057755
1.418,0.152,37.48205,44.46704,6061.87,0.96492,11.22301455,1.745051139,0.346840712
1.44,0.2104,29.80049,30.83985,4897.73,0.9432,5.721912157,2.915902339,1.106355317
1.418,0.152,7.44,13.1,3540.39,0.76,1.310344828,9.036619693,0.346837628
0.965,0.314,10.99131,14.01656,4831.21,0.85212,2.183568145,3.926949291,3.776334582
0.965,0.314,3.76029,7.04216,661.931,0.48844,0.368550517,14.16963058,3.774351571
1.418,0.152,3.89595,5.1171,651.502,0.53102,0.482057427,17.35998004,0.346827275
1.44,0.2104,7.22011,10.08149,4058.61,0.77646,1.354934291,8.132227746,1.106338602
1.241,0.225,37.41192,38.20734,4002.68,0.9003,3.314422875,3.71715791,-0.359022526
1.33,0.104,22.404,26.27861,6489.05,0.93198,5.706640541,2.501430335,1.202061418
1.241,0.225,5.12978,5.63389,2074.77,0.66092,0.640513248,10.42027398,-0.359022717
1.33,0.104,17.60309,20.20401,5636.94,0.89312,3.394241586,5.120498072,1.202055589
1.241,0.225,5.1021,7.58377,2988.4,0.69712,0.967820308,11.64210012,-0.359022648
1.09,0.26,4.11529,5.12194,438.131,0.44056,0.33067131,17.36321831,2.206514969
1.44,0.2104,9.74984,14.93047,2649.22,0.8097,1.099038324,7.041274738,1.106321056
1.33,0.104,12.77414,14.65395,3389.42,0.7984,1.518528944,8.474901909,1.202032173
1.33,0.104,3.72101,4.76792,1053.42,0.60996,0.563088512,13.87146038,1.202014606
1.33,0.104,5.17643,9.05505,2435.36,0.66936,0.88184495,9.993608828,1.202022332
0.965,0.314,4.52582,13.6466,1943.27,0.6941,0.71599587,10.25402885,3.774239937
0.75,0.29,4.43575,5.5254,1139.51,0.59884,0.472561986,12.47441598,3.624372383
0.965,0.314,4.03217,4.22072,147.752,0.37282,0.170588747,18.50105632,3.790421345
1.22,0.25,12.72141,14.69073,3801.1,0.8174,1.718353206,5.896781375,3.238942545
1.418,0.152,22.18262,25.84402,3132.92,0.84028,1.894899683,6.691401672,0.346836987
1.418,0.152,34.11178,37.43986,4180.44,0.94346,6.071093036,2.356696313,0.346840076
1.44,0.2104,6.69333,13.27228,2157.63,0.72098,0.812715232,12.30417712,1.106326367
0.965,0.314,5.07662,5.98913,408.206,0.51786,0.394665244,14.45514511,3.775088859
1.306,0.166,6.68001,13.20191,2165.87,0.72124,0.81157933,12.34605403,-0.279842046
0.75,0.29,10.17743,12.50467,3729.78,0.79318,1.494901902,9.131226833,3.664945757
1.306,0.166,17.63613,21.70216,6120.14,0.90992,4.201873923,4.463126475,-0.279841407
1.09,0.26,14.96653,22.88348,6023.73,0.90598,4.166019065,3.106860953,2.206604476
1.44,0.2104,21.89661,25.32153,6969.86,0.93296,6.062433395,2.372118349,1.106347012
1.33,0.104,4.30835,5.46839,357.793,0.4356,0.240930536,14.09158212,1.20206724
1.44,0.2104,5.39086,6.81612,844.903,0.54318,0.430176845,11.53202281,1.106350986
1.09,0.26,10.08563,13.71991,3669.03,0.8162,1.571107937,6.516692116,2.206299495
1.44,0.2104,4.77135,5.69712,753.147,0.52992,0.345411525,13.02683631,1.106350566
0.965,0.314,22.01534,24.96146,6619.92,0.92754,5.460807517,2.557384427,3.785264064
1.241,0.225,24.60183,28.99843,6788.29,0.951,7.92784081,1.857546171,-0.359022409
0.75,0.29,5.34376,11.13019,5136.86,0.7746,1.433735542,8.13488479,3.669847614
1.241,0.225,26.10317,28.26705,7060.67,0.93052,5.721031178,2.465543427,-0.35902257
1.22,0.25,39.58014,45.012,5444.54,0.9638,10.93270567,5.488019825,3.24227818
1.33,0.104,5.76334,6.2506,2574.73,0.70316,0.763266471,8.731698901,1.202041329
1.306,0.166,23.20494,23.45234,4890.09,0.89894,2.998295627,2.722643504,-0.279841556
1.22,0.25,27.7443,29.41145,2555.44,0.82796,1.857641265,6.941752359,3.238897769
1.44,0.2104,4.51343,5.3327,754.335,0.53998,0.320320332,14.39811171,1.106345552
1.241,0.225,12.3762,14.35713,5969.08,0.8726,2.889097844,5.680227699,-0.35902267
1.418,0.152,16.68025,19.59253,4114.15,0.88234,2.393240751,5.441767576,0.346838833
0.75,0.29,5.20644,6.87938,1924.71,0.6477,0.663454388,13.35473927,3.667318217
1.22,0.25,7.79992,9.00524,2186.41,0.6719,0.803470745,8.997808617,3.237119822
1.44,0.2104,8.88711,11.19985,2508.16,0.73544,0.886934646,9.167668951,1.106312947
0.965,0.314,4.32637,5.3293,400.24,0.4537,0.340758878,13.93973863,3.732559482
0.965,0.314,3.66332,4.82471,277.785,0.44054,0.24974914,13.9894291,3.663551474
1.33,0.104,10.15611,17.95324,3519.91,0.84358,1.59654339,6.252833933,1.202046205
1.418,0.152,5.40028,6.57121,1507.53,0.63392,0.468432253,10.54266522,0.346839933
1.306,0.166,23.94407,28.34652,4697.93,0.94168,5.716922255,2.024705544,-0.279841106
1.22,0.25,8.68369,11.65907,4944.96,0.80624,1.772602752,6.24172169,3.239045718
1.44,0.2104,25.70428,28.5401,6794.95,0.94702,7.670289796,2.275756441,1.10634744
1.33,0.104,11.64986,17.10509,5771.12,0.87368,2.949499178,6.337632182,1.202048708
1.09,0.26,9.66184,13.61378,4889.42,0.8232,1.882413203,7.691766868,2.206461488
1.241,0.225,8.27985,8.50423,977.119,0.58898,0.525537155,9.619803621,-0.359022864
0.75,0.29,7.71686,10.93969,3632.02,0.78256,1.263724285,8.043961326,3.665059525
1.418,0.152,5.28654,6.4229,1923.24,0.66882,0.719956339,10.72025354,0.346836453
1.306,0.166,3.92327,4.97412,338.355,0.55174,0.496177989,16.64460638,-0.27984585
1.306,0.166,9.8273,12.49995,3105.55,0.81316,1.2523718,5.436184592,-0.27984206
1.418,0.152,27.88094,31.02165,6973.28,0.95442,8.646988476,1.942088777,0.346839313
1.44,0.2104,4.14329,4.62596,311.754,0.46884,0.323590108,14.44438007,1.106293385
1.22,0.25,21.18419,23.77682,2653.65,0.81434,1.564326727,9.047228622,3.2383277
1.33,0.104,4.43587,5.52911,791.182,0.52602,0.40561673,14.40214951,1.202058221
