PLD,LCD,ASA,Porosity,Density,Pore volume,Qst N2,log_P_0(N2),log_P(N2)
6.54754,8.32882,1419.5,0.61562,1.04077,0.591504367,14.51344881,-9.260693878,5.184217697
6.74118,8.79334,1353.64,0.61642,1.0948,0.563043478,14.39559463,-9.031739153,5.421655472
5.81418,5.92566,308.504,0.4119,1.68224,0.244852102,12.39572533,-8.508331825,6.168113815
8.61929,9.08566,2493.39,0.71372,0.761887,0.936779339,9.133179711,-9.075980779,5.159078654
4.95529,7.35231,1409.83,0.58552,0.959143,0.610461631,12.15217465,-9.400414993,4.971870463
4.7743,5.96671,1528.32,0.58902,0.9597,0.613754298,15.85023711,-9.230139173,5.170573798
4.58891,5.43312,1352.46,0.62754,1.38641,0.452636666,13.07629561,-9.068590445,5.575403194
6.25183,6.77693,648.222,0.51648,1.77195,0.291475493,11.71487522,-9.016384067,5.709502701
6.85619,10.92956,2101.19,0.68816,0.99837,0.689283532,9.489448137,-8.977118817,5.493484974
8.71559,12.6138,3274.82,0.75884,0.583675,1.30010708,8.845443949,-8.992465801,5.22727438
4.90729,5.63222,794.401,0.55474,1.43768,0.385857771,12.1429656,-8.87716947,5.643503436
5.90611,6.16099,1902.44,0.66248,1.08253,0.611973802,9.240995506,-8.923846316,5.559980761
8.64841,12.48057,3204.15,0.7613,0.64221,1.185437785,8.444154736,-9.009461791,5.230713915
8.32661,13.59793,2502.53,0.73366,0.746106,0.983318724,11.38308059,-9.151001354,5.170678228
4.54136,8.31511,870.726,0.62074,1.19036,0.521472496,14.14323234,-9.471122792,4.941747901
4.11181,6.0722,1071.12,0.59632,1.16455,0.512060453,12.20117541,-10.15271392,4.379717944
3.90831,4.44036,156.183,0.40324,2.24993,0.179223354,16.2314825,-9.105882521,5.606527126
4.32303,5.2765,619.682,0.51092,1.36723,0.373689869,14.56837619,-9.474030838,4.976686574
4.89301,7.12611,357.969,0.42696,1.98392,0.215210291,13.77243281,-9.214825557,5.451059863
4.85632,5.15455,288.927,0.42748,1.95651,0.218491089,13.13237323,-9.454349732,5.184576965
9.1997,9.48255,928.923,0.5582,1.14308,0.488329776,9.191494528,-8.625397212,5.845438133
5.31262,5.94406,1651.78,0.585,0.925851,0.631851129,13.36533583,-8.460674757,5.859143586
3.80044,4.84557,634.174,0.49344,1.15061,0.428850783,16.57017984,-9.546621771,4.779200695
4.38484,5.04792,636.56,0.50342,1.30477,0.385830453,15.19153167,-8.928501903,5.403702143
14.56862,19.86541,5239.13,0.8979,0.274675,3.268954219,4.700900678,-8.50509526,5.411654663
7.13825,18.06508,3583.27,0.78558,0.600782,1.307595767,7.911336048,-8.891990322,5.417172646
5.01976,7.8603,1901.19,0.63848,0.979833,0.651621246,10.55269587,-9.137599689,5.289877109
13.37911,18.75501,3444.39,0.83558,0.425946,1.961704066,4.812713127,-8.815226682,5.304215833
3.73291,6.8318,952.744,0.53344,1.05182,0.50715902,13.29235642,-9.465266613,4.984944845
3.71719,6.8305,939.238,0.53354,1.05415,0.506132903,13.38652791,-9.498255687,4.98396146
6.0951,6.93247,581.981,0.45062,1.45916,0.308821514,13.31722576,-8.539114018,5.901049515
9.17864,11.03089,1154.62,0.60242,1.00746,0.597959224,14.26426038,-8.790703711,5.096412562
11.07263,11.39418,1175.97,0.6096,0.982365,0.620543281,14.08287348,-8.689438894,5.594816968
9.50667,11.07211,1172.55,0.60696,0.988926,0.613756742,14.22537308,-8.719362901,5.521318504
10.87494,11.21563,1159.15,0.60852,0.985981,0.617172136,14.3466186,-8.726211462,5.637260084
4.48972,4.82905,521.72,0.46842,1.16972,0.40045481,16.07474013,-8.45683618,5.787225951
3.78436,4.74814,286.858,0.4586,1.30283,0.352002947,18.52786486,-9.495502909,4.574284617
8.78636,9.98598,3028.97,0.7058,0.771567,0.914761777,10.03410927,-8.8567936,5.453112551
6.10595,6.92762,1008.65,0.59186,1.43826,0.411511132,11.91152802,-8.883856104,5.614033648
4.44244,5.09322,299.59,0.40752,1.49981,0.271714417,14.77665987,-10.02201153,4.388853128
4.98752,7.28969,2849.13,0.69504,0.833729,0.833652182,10.15614032,-8.996376054,5.410169047
5.88473,7.80429,2759.46,0.70156,0.800823,0.876048765,9.464885801,-8.976272999,5.361754662
7.08849,11.39005,4048.27,0.7795,0.58467,1.333230711,7.841412467,-8.821897476,5.367121593
7.02092,8.26528,3489.57,0.744,0.68036,1.093538715,9.159294544,-8.586554657,5.641302271
4.07573,5.65344,1053.2,0.62164,1.00727,0.617153296,13.6163551,-9.496283222,4.891939678
11.06312,12.00094,993.47,0.5942,0.965457,0.615459829,19.19030474,-9.718886588,4.916812754
4.06272,5.40727,791.432,0.50734,1.31041,0.38716127,15.13601797,-8.883904595,5.48878004
3.80274,4.93858,458.737,0.48374,1.49581,0.323396688,15.33427612,-9.651269519,4.769103271
5.37606,5.6853,1420.93,0.60772,1.07587,0.564863785,10.98634656,-9.014344031,5.423975137
5.13016,6.30636,1365.99,0.6208,1.10057,0.564071345,11.13990855,-8.54444973,5.873154551
6.30843,7.60741,2136.04,0.66196,0.861714,0.76818991,9.826936844,-8.85025441,5.492653716
9.80847,15.56875,1591.32,0.71824,0.777237,0.924093938,10.69244018,-8.895110834,5.009566786
5.59471,9.38154,1604.12,0.68288,1.04219,0.65523561,9.288986745,-9.501464618,4.980049598
10.59979,11.41407,1224.38,0.64844,1.19971,0.540497287,9.242159804,-8.774018349,5.627550874
10.7235,11.51533,1224.91,0.65144,1.1988,0.543410077,9.320363431,-8.707475257,5.79590101
5.62446,9.38408,1646.23,0.68264,1.03958,0.656649801,9.251930618,-9.466769997,5.042824878
10.54479,11.3608,1223.85,0.64786,1.19943,0.5401399,9.21561185,-8.806002278,5.770316776
5.3868,5.98273,1847.56,0.6472,1.18176,0.547657731,10.88096208,-8.941470193,5.589757742
4.26368,5.82193,729.385,0.50118,1.16598,0.429835846,17.74145984,-8.278082611,5.827394728
4.05664,5.44423,634.137,0.49082,1.19946,0.409200807,18.43912134,-8.275519324,5.81028081
4.25745,5.78749,712.146,0.50502,1.1858,0.425889695,17.80511615,-8.234424328,5.778000687
4.30595,6.18036,1065.24,0.58002,1.16997,0.495756301,14.95455726,-8.961998141,5.169762252
5.15676,8.28593,2399.39,0.68804,0.856166,0.803629203,10.23178396,-9.163224905,5.28108305
5.0837,6.42024,468.517,0.45748,1.7783,0.257256931,12.52966017,-8.840459461,5.526717315
4.61254,5.76705,732.709,0.51364,1.521,0.337698882,13.06310985,-9.255872473,5.297638224
3.6686,4.13262,208.084,0.50456,1.75655,0.287244883,13.61270584,-10.25954589,4.230732855
3.66327,4.14952,200.263,0.5075,1.74866,0.290222227,13.57710763,-9.96569141,4.750980828
7.73483,9.7655,2462.86,0.6857,0.727417,0.942650502,10.34720447,-9.110211043,5.20086919
4.32918,9.00116,2201.56,0.67476,0.897328,0.751965836,12.12197822,-9.212642485,5.227534577
5.9183,9.52144,2338.43,0.67852,0.828676,0.81880011,10.97960501,-9.351494038,5.025036259
4.73321,7.16113,802.611,0.52734,1.15085,0.458217839,13.36203841,-9.928230066,4.531883015
5.70377,6.40025,1486.93,0.63598,1.21508,0.523405866,10.33475359,-8.880378039,5.596080711
5.8507,10.41989,2819.8,0.72036,0.781859,0.921342595,10.25314372,-9.020619382,5.347416192
5.75428,10.54748,2566.31,0.70918,0.825883,0.858693059,10.53516094,-9.039094134,5.345079396
8.16815,10.52737,3199.82,0.73192,0.722386,1.01319793,10.28861339,-8.739805836,5.52771822
8.1108,10.25531,3116.86,0.72418,0.751133,0.964116874,10.79809637,-8.718639528,5.536687922
7.74023,10.53968,3229.25,0.74936,0.687634,1.089765777,8.961198823,-8.779881779,5.534290488
3.88543,4.88713,381.56,0.4621,1.64828,0.280352853,12.91005645,-10.22869046,4.229504264
3.95303,4.75824,381.422,0.4557,1.66268,0.274075589,12.88884047,-10.09275527,4.550552269
4.01813,5.12784,475.366,0.48134,1.59271,0.302214465,12.26213376,-9.98611267,4.649456234
4.03284,5.13844,481.538,0.48386,1.58929,0.304450415,12.2113225,-10.05368245,4.61141327
3.79229,4.92972,350.543,0.45268,1.6758,0.2701277,13.18741039,-10.38989098,3.89663607
3.97372,5.2478,473.694,0.47784,1.59515,0.299558035,12.23069108,-10.08352043,4.60866436
3.91943,4.9438,421.057,0.46968,1.60993,0.291739392,12.29675924,-10.2230698,4.423276247
4.08689,4.75983,427.97,0.50594,1.55048,0.326311852,16.00638456,-9.764506136,4.727044734
5.06381,7.08528,939.267,0.5264,1.11276,0.473057982,13.02490791,-8.793043394,5.541465283
13.69556,13.96867,1519.32,0.68178,0.861632,0.791265877,13.6377037,-8.346101151,6.022283246
7.69493,9.54888,1932.37,0.6774,0.866747,0.781542942,9.366015891,-9.258971474,5.074366851
7.73922,9.60606,1897.81,0.677,0.865497,0.782209528,9.171464208,-9.201363954,5.189018049
4.20115,4.7399,246.312,0.39348,1.75805,0.22381616,17.72439371,-8.61379657,5.725636932
7.17951,9.42302,4347,0.78436,0.556224,1.410151306,7.441676436,-8.710869922,5.464465914
4.68679,4.84155,444.782,0.46642,1.40449,0.332092076,15.77701022,-10.05463138,4.318782017
4.57423,4.8139,437.041,0.4677,1.40471,0.332951285,15.91417747,-9.895939969,4.381934715
4.26622,4.77305,588.744,0.4922,1.33788,0.367895476,15.86393029,-9.764339903,4.761263039
19.54,37.53,6207.17,0.93,0.16,5.8125,3.2261066,-8.142953251,5.505666606
3.64311,5.44587,266.702,0.5475,1.30707,0.418875806,16.75357543,-9.374651877,4.858579501
3.91316,4.51878,251.96,0.47356,1.20992,0.391397778,17.33561609,-8.964987146,5.306366716
4.98141,8.08398,1687.67,0.61126,0.915242,0.667867078,11.48103689,-9.055354145,5.367132042
4.88927,8.10638,1730.84,0.60644,0.902679,0.671822431,11.73409751,-9.050348385,5.324357975
4.97897,7.89565,1727.98,0.60914,0.907269,0.671399552,11.56063224,-9.08362656,5.285606865
6.22752,7.54994,2625.77,0.71052,0.801255,0.886758897,8.954758545,-8.727777656,5.542997011
6.80894,7.00959,793.947,0.59612,1.69759,0.35115664,10.4149122,-9.191602898,5.476083953
4.28231,5.87217,2218.57,0.65652,0.954537,0.687788949,12.53678976,-8.625963837,5.741689306
4.06042,6.33732,1600.82,0.62358,1.18458,0.526414425,11.88911272,-8.955031143,5.5137467
6.45442,6.88379,867.384,0.5708,1.62124,0.352076189,11.8111521,-8.702654294,5.946163589
10.76844,25.42698,2429.07,0.83658,0.654082,1.279013946,6.353826101,-9.012990144,5.283926286
