PLD,LCD,ASA,Porosity,Density,Pore volume,C%,H%,N%,O%,Halogen%,Metal%,Qst N2,N1bar_N2
8.11021,14.70209,3347.01,0.81698,0.628556,1.299772813,45.28301887,22.64150943,0,24.52830189,0,7.547169811,5.051888453,0.171009275
15.85622,20.5205,4866.62,0.89086,0.295002,3.019843933,45.87155963,22.01834862,7.339449541,21.10091743,0,3.669724771,3.760384361,0.258841243
10.92309,21.62414,4183.97,0.85002,0.435607,1.951346053,46.39175258,21.64948454,12.37113402,13.40206186,0,6.18556701,6.708131535,0.312499334
6.60024,18.23438,3371.44,0.76974,0.629251,1.223263849,47.82608696,26.08695652,0,21.73913043,0,4.347826087,7.993617246,0.338581745
6.71346,18.07263,3391.08,0.77286,0.63164,1.223576721,47.82608696,26.08695652,0,21.73913043,0,4.347826087,8.273384598,0.360081337
13.33904,27.33782,6255.09,0.89344,0.238777,3.741733919,57.93103448,31.03448276,0.689655172,8.275862069,0,2.068965517,3.949855439,0.360493413
12.17426,24.55082,4551.51,0.87,0.377577,2.304165773,44.03669725,22.01834862,13.76146789,14.67889908,0,5.504587156,5.622868122,0.293079977
9.07611,10.5421,3367.6,0.73488,0.632077,1.162643159,45.0867052,41.61849711,11.56069364,0,0,1.734104046,9.718882145,0.344072658
8.80719,10.21446,3268.72,0.72402,0.655338,1.104803933,45.0867052,41.61849711,11.56069364,0,0,1.734104046,10.25867844,0.35360042
8.70819,10.15021,3321.14,0.72628,0.656268,1.106682026,45.0867052,41.61849711,11.56069364,0,0,1.734104046,10.19275584,0.359870576
4.10445,5.76724,869.785,0.50398,1.26343,0.398898237,46.42857143,28.57142857,3.571428571,17.85714286,0,3.571428571,15.15847978,0.59983802
5.00855,5.72682,774.948,0.49644,1.28062,0.387655979,46.42857143,28.57142857,3.571428571,17.85714286,0,3.571428571,14.35768462,0.507551517
3.91364,4.43355,405.691,0.48232,1.23763,0.389712596,45.71428571,34.28571429,5.714285714,11.42857143,0,2.857142857,20.373245,1.460086794
3.76596,5.54673,215.634,0.46628,1.63796,0.284671176,29.19708029,23.35766423,5.839416058,27.73722628,0.729927007,13.13868613,14.40413389,0.174246509
3.76943,5.50949,213.902,0.46626,1.63796,0.284658966,29.19708029,23.35766423,5.839416058,27.73722628,0.729927007,13.13868613,14.39750793,0.173813049
3.85295,5.48974,203.839,0.44944,1.71617,0.261885478,29.19708029,23.35766423,5.839416058,27.73722628,0.729927007,13.13868613,14.73971624,0.161047226
3.86825,5.46006,183.716,0.45158,1.70055,0.265549381,29.19708029,23.35766423,5.839416058,27.73722628,0.729927007,13.13868613,14.86537464,0.172043582
3.85093,5.42762,187.69,0.45174,1.70055,0.265643468,29.19708029,23.35766423,5.839416058,27.73722628,0.729927007,13.13868613,14.87875765,0.170115212
3.82956,5.38842,185.373,0.45112,1.74701,0.258224051,29.19708029,23.35766423,5.839416058,27.73722628,0.729927007,13.13868613,14.93765215,0.173876951
4.9065,10.017,1816.8,0.67828,1.03876,0.65297085,35.29411765,17.64705882,17.64705882,20.58823529,0,8.823529412,8.523404696,0.17578795
5.30365,5.97541,753.379,0.53846,1.21661,0.442590477,46.01769912,35.39823009,0,16.81415929,0,1.769911504,14.11009312,0.462602839
5.31331,5.9443,687.652,0.52528,1.28796,0.407838753,46.01769912,35.39823009,0,16.81415929,0,1.769911504,14.48971542,0.490858853
5.29096,5.93338,677.01,0.52144,1.31573,0.396312313,46.01769912,35.39823009,0,16.81415929,0,1.769911504,14.6539967,0.508906775
17.12424,25.68553,3165.13,0.84016,0.402567,2.087006635,47.72727273,29.54545455,6.818181818,13.63636364,0,2.272727273,4.959469999,0.239893534
