PLD,LCD,ASA,Porosity,Density,Pore volume,Qst H2,log_P_0(H2),log_P(H2)
6.85619,10.92956,2101.19,0.68816,0.99837,0.689283532,3.459202513,-9.04653943,5.372064532
8.71559,12.6138,3274.82,0.75884,0.583675,1.30010708,2.562387346,-8.711439256,5.475239229
4.90729,5.63222,794.401,0.55474,1.43768,0.385857771,4.560947018,-9.199479787,5.402195445
5.90611,6.16099,1902.44,0.66248,1.08253,0.611973802,3.51289116,-9.042004184,5.428312798
8.64841,12.48057,3204.15,0.7613,0.64221,1.185437785,2.907593364,-8.840562068,5.500685133
8.32661,13.59793,2502.53,0.73366,0.746106,0.983318724,3.430400341,-8.978935432,5.3807294
4.54136,8.31511,870.726,0.62074,1.19036,0.521472496,4.907031248,-9.623977395,4.912749178
4.11181,6.0722,1071.12,0.59632,1.16455,0.512060453,4.504663136,-9.97940346,4.548244634
3.90831,4.44036,156.183,0.40324,2.24993,0.179223354,6.112327259,-9.388638299,5.318250345
4.32303,5.2765,619.682,0.51092,1.36723,0.373689869,5.469979415,-9.771145552,4.768686749
4.89301,7.12611,357.969,0.42696,1.98392,0.215210291,5.410922722,-9.638895995,5.316724946
4.85632,5.15455,288.927,0.42748,1.95651,0.218491089,5.084634016,-9.673847091,4.757951782
9.1997,9.48255,928.923,0.5582,1.14308,0.488329776,3.497407961,-8.731856147,5.553272293
5.31262,5.94406,1651.78,0.585,0.925851,0.631851129,4.922852358,-8.790866249,5.626882609
3.80044,4.84557,634.174,0.49344,1.15061,0.428850783,6.208879535,-9.629633654,5.03776647
4.38484,5.04792,636.56,0.50342,1.30477,0.385830453,5.899507432,-9.630369343,4.899420645
14.56862,19.86541,5239.13,0.8979,0.274675,3.268954219,1.273645207,-7.984251683,5.959150647
7.13825,18.06508,3583.27,0.78558,0.600782,1.307595767,2.575264987,-8.685770761,5.551732098
5.01976,7.8603,1901.19,0.63848,0.979833,0.651621246,3.571592596,-9.180333026,5.379520606
13.37911,18.75501,3444.39,0.83558,0.425946,1.961704066,1.471282564,-8.330480649,5.863163707
6.0951,6.93247,581.981,0.45062,1.45916,0.308821514,5.145825351,-8.931674938,5.652359714
9.17864,11.03089,1154.62,0.60242,1.00746,0.597959224,4.263442593,-8.856698274,5.507780766
11.07263,11.39418,1175.97,0.6096,0.982365,0.620543281,4.063360466,-8.773815355,5.373416916
9.50667,11.07211,1172.55,0.60696,0.988926,0.613756742,4.104135647,-8.801677013,5.821255589
10.87494,11.21563,1159.15,0.60852,0.985981,0.617172136,4.088222889,-8.750067038,5.653890149
4.48972,4.82905,521.72,0.46842,1.16972,0.40045481,6.0731118,-9.058949672,5.422724683
8.78636,9.98598,3028.97,0.7058,0.771567,0.914761777,3.458547076,-8.779597722,5.564294334
6.10595,6.92762,1008.65,0.59186,1.43826,0.411511132,4.216565774,-9.085157876,5.496052116
