PLD,LCD,ASA,Porosity,Density,Pore volume,Qst CO2,log_P_0(CO2),log_P(CO2)
6.54754,8.32882,1419.5,0.61562,1.04077,0.591504367,43.61574576,-8.369302204,5.339784102
6.74118,8.79334,1353.64,0.61642,1.0948,0.563043478,27.41935533,-8.688115304,5.431791383
5.81418,5.92566,308.504,0.4119,1.68224,0.244852102,19.72032581,-7.997003203,5.710268671
8.61929,9.08566,2493.39,0.71372,0.761887,0.936779339,22.71419378,-8.464983338,5.659669472
4.95529,7.35231,1409.83,0.58552,0.959143,0.610461631,20.93280283,-8.496471398,5.558741712
4.7743,5.96671,1528.32,0.58902,0.9597,0.613754298,28.92961221,-8.413050151,5.640550903
4.58891,5.43312,1352.46,0.62754,1.38641,0.452636666,42.60934596,-7.48684496,4.354704681
6.25183,6.77693,648.222,0.51648,1.77195,0.291475493,44.79933567,-8.541013738,4.677092619
6.85619,10.92956,2101.19,0.68816,0.99837,0.689283532,16.77690101,-8.433765858,5.925812755
8.71559,12.6138,3274.82,0.75884,0.583675,1.30010708,18.75760397,-8.626315118,5.546842127
4.90729,5.63222,794.401,0.55474,1.43768,0.385857771,20.44077693,-8.140330314,5.82472744
5.90611,6.16099,1902.44,0.66248,1.08253,0.611973802,15.34980479,-8.263741523,6.050022258
8.64841,12.48057,3204.15,0.7613,0.64221,1.185437785,21.53530974,-8.633560245,5.69359388
8.32661,13.59793,2502.53,0.73366,0.746106,0.983318724,28.38406213,-8.800289912,5.657640216
4.54136,8.31511,870.726,0.62074,1.19036,0.521472496,30.25631709,-8.607524027,5.592039501
4.11181,6.0722,1071.12,0.59632,1.16455,0.512060453,22.54943818,-9.167292703,4.943956173
3.90831,4.44036,156.183,0.40324,2.24993,0.179223354,28.54793816,-8.402936575,5.033967769
4.32303,5.2765,619.682,0.51092,1.36723,0.373689869,25.81413512,-8.509091562,5.196163605
4.89301,7.12611,357.969,0.42696,1.98392,0.215210291,21.81823316,-8.638361416,5.498859747
4.85632,5.15455,288.927,0.42748,1.95651,0.218491089,23.18301798,-8.430258271,5.404062448
9.1997,9.48255,928.923,0.5582,1.14308,0.488329776,16.69000742,-8.175555942,6.169618482
5.31262,5.94406,1651.78,0.585,0.925851,0.631851129,22.72358231,-7.638220332,6.002199299
3.80044,4.84557,634.174,0.49344,1.15061,0.428850783,26.97146381,-8.227801622,4.796900112
4.38484,5.04792,636.56,0.50342,1.30477,0.385830453,25.1285288,-8.080763595,5.155635546
14.56862,19.86541,5239.13,0.8979,0.274675,3.268954219,17.1114033,-8.39731021,5.537378178
7.13825,18.06508,3583.27,0.78558,0.600782,1.307595767,17.39710845,-8.371313764,5.849107157
5.01976,7.8603,1901.19,0.63848,0.979833,0.651621246,35.62246685,-8.043575212,5.714623845
13.37911,18.75501,3444.39,0.83558,0.425946,1.961704066,10.31615345,-8.715124271,5.402177882
3.73291,6.8318,952.744,0.53344,1.05182,0.50715902,23.8282627,-8.654811669,5.35126476
3.71719,6.8305,939.238,0.53354,1.05415,0.506132903,23.96932654,-8.713044875,5.35342713
6.0951,6.93247,581.981,0.45062,1.45916,0.308821514,21.51816943,-7.623940729,5.978426772
9.17864,11.03089,1154.62,0.60242,1.00746,0.597959224,26.45376394,-7.664517814,5.930767366
11.07263,11.39418,1175.97,0.6096,0.982365,0.620543281,26.6155324,-7.55580984,5.941914149
9.50667,11.07211,1172.55,0.60696,0.988926,0.613756742,26.62702444,-7.486695351,5.894111969
10.87494,11.21563,1159.15,0.60852,0.985981,0.617172136,27.18553062,-7.472255093,5.916265188
4.48972,4.82905,521.72,0.46842,1.16972,0.40045481,27.03831967,-8.000566553,3.876648332
3.78436,4.74814,286.858,0.4586,1.30283,0.352002947,30.7436706,-8.258473148,4.202818081
8.78636,9.98598,3028.97,0.7058,0.771567,0.914761777,18.15251628,-8.219813016,5.937162065
6.10595,6.92762,1008.65,0.59186,1.43826,0.411511132,30.48220371,-8.143159636,4.965484972
4.44244,5.09322,299.59,0.40752,1.49981,0.271714417,24.47944288,-8.979606563,4.73229001
4.98752,7.28969,2849.13,0.69504,0.833729,0.833652182,19.33620764,-8.236434283,5.936498479
5.88473,7.80429,2759.46,0.70156,0.800823,0.876048765,17.9532225,-8.328525365,5.947214352
7.08849,11.39005,4048.27,0.7795,0.58467,1.333230711,15.75840205,-8.398511995,5.843010189
7.02092,8.26528,3489.57,0.744,0.68036,1.093538715,16.27944456,-8.064751673,6.107813873
4.07573,5.65344,1053.2,0.62164,1.00727,0.617153296,23.8374881,-8.065968939,5.715872963
11.06312,12.00094,993.47,0.5942,0.965457,0.615459829,29.86738053,-8.99245888,5.219388124
4.06272,5.40727,791.432,0.50734,1.31041,0.38716127,25.09082261,-7.657771355,5.552662979
3.80274,4.93858,458.737,0.48374,1.49581,0.323396688,26.36775625,-8.787740829,4.783696027
5.37606,5.6853,1420.93,0.60772,1.07587,0.564863785,18.07880448,-8.251176303,5.757017355
5.13016,6.30636,1365.99,0.6208,1.10057,0.564071345,18.06682129,-8.22627681,5.684305922
6.30843,7.60741,2136.04,0.66196,0.861714,0.76818991,17.60616376,-8.228818326,5.953395932
9.80847,15.56875,1591.32,0.71824,0.777237,0.924093938,20.8331126,-8.684511623,5.781055922
5.59471,9.38154,1604.12,0.68288,1.04219,0.65523561,22.88351681,-8.580242004,5.685719481
10.59979,11.41407,1224.38,0.64844,1.19971,0.540497287,25.46994035,-8.302969554,5.685787966
10.7235,11.51533,1224.91,0.65144,1.1988,0.543410077,25.75933592,-8.412995142,5.546710754
5.62446,9.38408,1646.23,0.68264,1.03958,0.656649801,22.73818466,-8.599542049,5.709599835
10.54479,11.3608,1223.85,0.64786,1.19943,0.5401399,24.97272705,-8.095355978,5.957309391
5.3868,5.98273,1847.56,0.6472,1.18176,0.547657731,18.33318363,-8.194401086,6.055256445
4.26368,5.82193,729.385,0.50118,1.16598,0.429835846,28.57724398,-6.893562112,5.686024977
4.05664,5.44423,634.137,0.49082,1.19946,0.409200807,29.97785097,-6.757065637,5.511782169
4.25745,5.78749,712.146,0.50502,1.1858,0.425889695,28.61331294,-6.951517953,5.722582288
4.30595,6.18036,1065.24,0.58002,1.16997,0.495756301,24.9506172,-8.174613443,4.825004563
5.15676,8.28593,2399.39,0.68804,0.856166,0.803629203,20.17962274,-8.552093732,5.779187363
5.0837,6.42024,468.517,0.45748,1.7783,0.257256931,21.70002745,-8.071968226,5.56036271
4.61254,5.76705,732.709,0.51364,1.521,0.337698882,21.73774584,-8.530062897,5.476641852
3.6686,4.13262,208.084,0.50456,1.75655,0.287244883,27.94830975,-9.772300135,3.867547963
3.66327,4.14952,200.263,0.5075,1.74866,0.290222227,27.93456984,-9.484423278,4.05259082
7.73483,9.7655,2462.86,0.6857,0.727417,0.942650502,19.61480238,-8.57432867,5.70759065
4.32918,9.00116,2201.56,0.67476,0.897328,0.751965836,22.84900076,-8.335181691,5.899375811
5.9183,9.52144,2338.43,0.67852,0.828676,0.81880011,21.3072881,-8.717308092,5.582026275
4.73321,7.16113,802.611,0.52734,1.15085,0.458217839,25.58212455,-8.879089871,5.14638127
5.70377,6.40025,1486.93,0.63598,1.21508,0.523405866,18.08773694,-8.238252224,5.990330085
5.8507,10.41989,2819.8,0.72036,0.781859,0.921342595,19.22195903,-8.458438971,5.852981264
5.75428,10.54748,2566.31,0.70918,0.825883,0.858693059,20.38551552,-8.241235093,5.958937936
8.16815,10.52737,3199.82,0.73192,0.722386,1.01319793,21.69799952,-8.001856425,6.047870679
8.1108,10.25531,3116.86,0.72418,0.751133,0.964116874,25.35800555,-8.035905189,6.031349534
7.74023,10.53968,3229.25,0.74936,0.687634,1.089765777,23.13071794,-8.265245426,5.997640129
3.88543,4.88713,381.56,0.4621,1.64828,0.280352853,21.23021768,-8.865287008,5.277679783
3.95303,4.75824,381.422,0.4557,1.66268,0.274075589,21.40049403,-8.746566924,5.336053345
4.01813,5.12784,475.366,0.48134,1.59271,0.302214465,20.43594708,-8.837350119,5.25353839
4.03284,5.13844,481.538,0.48386,1.58929,0.304450415,20.38698476,-8.877412917,5.179624748
3.79229,4.92972,350.543,0.45268,1.6758,0.2701277,21.46817905,-8.867713448,5.172576194
3.97372,5.2478,473.694,0.47784,1.59515,0.299558035,20.03255027,-8.995320647,5.192745831
3.91943,4.9438,421.057,0.46968,1.60993,0.291739392,20.02432374,-9.002458354,5.176529135
4.08689,4.75983,427.97,0.50594,1.55048,0.326311852,26.06289622,-8.40061936,5.312380436
5.06381,7.08528,939.267,0.5264,1.11276,0.473057982,21.82952171,-7.56672151,5.855716097
13.69556,13.96867,1519.32,0.68178,0.861632,0.791265877,25.21239339,-7.286694185,6.081952534
7.69493,9.54888,1932.37,0.6774,0.866747,0.781542942,17.82928194,-8.757548316,5.569955001
7.73922,9.60606,1897.81,0.677,0.865497,0.782209528,17.4144678,-8.63690409,5.615921841
4.20115,4.7399,246.312,0.39348,1.75805,0.22381616,28.01941684,-7.342406699,5.475658235
7.17951,9.42302,4347,0.78436,0.556224,1.410151306,13.38736122,-8.276320023,5.953790368
4.68679,4.84155,444.782,0.46642,1.40449,0.332092076,31.19066357,-9.206881449,4.246224182
4.57423,4.8139,437.041,0.4677,1.40471,0.332951285,31.98055074,-8.900691296,4.197792281
4.26622,4.77305,588.744,0.4922,1.33788,0.367895476,33.50782427,-8.65132957,4.731826486
19.54,37.53,6207.17,0.93,0.16,5.8125,8.585340112,-8.171764457,5.4752893
3.64311,5.44587,266.702,0.5475,1.30707,0.418875806,28.06161081,-8.160697533,4.928224275
3.91316,4.51878,251.96,0.47356,1.20992,0.391397778,29.05815782,-8.133873056,4.620297457
4.98141,8.08398,1687.67,0.61126,0.915242,0.667867078,22.09599973,-8.534910875,5.678417127
4.88927,8.10638,1730.84,0.60644,0.902679,0.671822431,25.26988856,-8.518069206,5.687312247
4.97897,7.89565,1727.98,0.60914,0.907269,0.671399552,21.34263351,-8.574241306,5.535727787
6.22752,7.54994,2625.77,0.71052,0.801255,0.886758897,15.40761564,-8.086704778,6.112008509
6.80894,7.00959,793.947,0.59612,1.69759,0.35115664,18.15924061,-8.226972152,5.987667238
4.28231,5.87217,2218.57,0.65652,0.954537,0.687788949,21.47205751,-7.677019536,6.086270909
4.06042,6.33732,1600.82,0.62358,1.18458,0.526414425,23.4730537,-8.095476901,5.999683223
6.45442,6.88379,867.384,0.5708,1.62124,0.352076189,30.36410496,-7.573308021,5.578863015
10.76844,25.42698,2429.07,0.83658,0.654082,1.279013946,15.26040761,-8.67038181,5.581174816
5.68454,5.83174,345.079,0.41258,1.51867,0.271671923,21.65227565,-7.916781454,5.399553091
4.38571,5.73292,719.362,0.52164,1.22616,0.425425719,25.35817338,-8.008451892,5.092704619
5.25081,7.26399,1762.91,0.59932,0.96381,0.621823803,24.07474846,-8.124637348,5.874128145
5.5873,6.57451,1582.38,0.60734,0.939158,0.646685648,21.26296375,-8.258264847,5.326386176
6.93274,11.69294,2124.14,0.69224,0.710904,0.973746104,27.54942519,-8.803384635,5.44567162
7.39815,11.84006,2048.29,0.70204,0.73653,0.953172308,27.59237097,-8.803891198,5.339529579
7.36492,11.84801,2067.8,0.70488,0.733043,0.961580699,27.7198329,-8.741571747,5.410067306
6.70311,11.79938,2122.86,0.70388,0.734288,0.958588456,26.19382886,-8.908789397,5.38507978
7.13512,11.94166,2232.87,0.71434,0.709142,1.007329985,25.20752809,-8.838940072,5.380283663
6.91892,12.04076,2134.58,0.70596,0.729779,0.967361352,27.08522406,-8.856586469,5.397678014
4.52481,10.64181,2211.32,0.67086,0.89363,0.750713382,20.97199709,-8.198435033,5.867066028
7.28684,8.54501,1113.55,0.59522,0.99094,0.600661998,21.50914601,-8.625820066,5.628567016
4.40002,8.03493,573.552,0.48206,1.14872,0.419649697,37.28972208,-8.215171839,5.535118945
4.27216,9.42427,1474.96,0.61826,0.982453,0.629302369,25.23771253,-8.73354529,5.555123147
4.5072,7.01648,804.887,0.5435,1.06034,0.512571439,19.96102384,-8.625987418,5.515701644
10.50387,10.88001,981.784,0.59548,1.19375,0.498831414,23.49976008,-7.35791641,6.057207534
5.9875,6.82031,825.578,0.5077,1.17466,0.432210171,19.85870558,-8.041373224,5.567931116
6.12106,6.83308,793.258,0.50646,1.18929,0.425850718,20.61262471,-7.980443606,5.512700047
8.80996,17.2872,4741.45,0.84252,0.383391,2.197547673,12.24127284,-8.509722535,5.563750078
5.62993,8.06476,2869.72,0.70336,0.749362,0.938611779,37.34792273,-8.304510752,5.5197346
8.65235,9.6188,2701.78,0.67854,0.750661,0.903923342,20.40933331,-8.268069545,5.915713313
3.94175,6.41608,692.797,0.58084,1.68088,0.345557089,20.45371555,-8.79554157,5.419552132
4.3641,6.81111,1052.63,0.61502,1.50078,0.409800237,18.3831581,-8.655093046,5.700401279
4.2994,7.85983,896.656,0.6021,1.05112,0.572817566,21.2643136,-8.834400904,5.431383532
7.33698,11.74827,1972.76,0.71176,0.9638,0.738493463,15.22403224,-8.634962905,5.779492652
11.51164,12.50781,1917.32,0.73012,0.899872,0.811359838,21.89859831,-8.782662354,5.615532384
11.17828,12.20276,1798.43,0.71436,0.934439,0.764480078,21.75890632,-8.75824416,5.654700479
6.87343,12.16451,2800.76,0.71512,0.774775,0.923003453,18.96250524,-8.39322332,5.900209576
5.4451,6.31092,645.76,0.49582,1.11362,0.445232665,25.86693379,-8.9709626,4.964359081
