PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst CH4,N1bar_CH4,log_D0_CH4,log_D1bar_CH4
6.81408,8.80212,1.29175472,1422.51,0.62122,0.586228048,20.76153563,1.686250373,-4.587711617,-4.337090686
6.54754,8.32882,1.272053321,1419.5,0.61562,0.591504367,20.52305267,1.695022832,-4.390862699,-4.238184371
6.74118,8.79334,1.304421481,1353.64,0.61642,0.563043478,21.16047983,1.736024922,-4.549177087,-4.33602156
8.61929,9.08566,1.054107705,2493.39,0.71372,0.936779339,12.03414867,0.834636695,-3.594738545,-3.52232774
4.95529,7.35231,1.483729509,1409.83,0.58552,0.610461631,16.52522887,1.371693283,-4.02223725,-4.127666289
4.7743,5.96671,1.249755985,1528.32,0.58902,0.613754298,22.77175443,2.099874299,-4.255137706,-4.146913871
4.58891,5.43312,1.183967435,1352.46,0.62754,0.452636666,14.93736433,0.991812639,-3.577133059,-3.760057201
6.25183,6.77693,1.083991407,648.222,0.51648,0.291475493,13.66707401,0.441967069,-3.166133249,-3.35995897
6.85619,10.92956,1.594115682,2101.19,0.68816,0.689283532,12.95715471,0.868830393,-3.45960399,-3.479147464
8.71559,12.6138,1.44726863,3274.82,0.75884,1.30010708,13.60741392,0.847620737,-3.719651536,-3.654164361
4.90729,5.63222,1.147725119,794.401,0.55474,0.385857771,16.12012026,1.022298353,-3.353788476,-3.657576212
5.90611,6.16099,1.043155309,1902.44,0.66248,0.611973802,12.20453317,0.816390219,-3.340936273,-3.429096846
8.64841,12.48057,1.443105727,3204.15,0.7613,1.185437785,11.46884557,0.944581371,-3.681367778,-3.640873731
8.32661,13.59793,1.63306916,2502.53,0.73366,0.983318724,15.74703336,1.282219009,-3.981816247,-3.921180977
4.54136,8.31511,1.830973541,870.726,0.62074,0.521472496,19.27875689,1.876677486,-4.315547557,-4.369357626
4.11181,6.0722,1.476770571,1071.12,0.59632,0.512060453,16.27611361,1.068945628,-4.848596966,-4.795739352
3.90831,4.44036,1.136133009,156.183,0.40324,0.179223354,20.6800747,0.514089446,-3.367565502,-3.827113943
4.32303,5.2765,1.220555953,619.682,0.51092,0.373689869,19.57435979,1.226379156,-4.196257961,-4.550726427
4.89301,7.12611,1.456385742,357.969,0.42696,0.215210291,18.40127647,0.709293906,-3.489205566,-4.041324884
4.85632,5.15455,1.061410698,288.927,0.42748,0.218491089,17.56798804,0.467151714,-3.532835186,-3.809093172
9.1997,9.48255,1.030745568,928.923,0.5582,0.488329776,12.28027585,0.53901229,-2.882147114,-2.989312562
5.31262,5.94406,1.118856609,1651.78,0.585,0.631851129,18.14932539,2.774701372,-3.868737223,-3.636148707
3.80044,4.84557,1.275002368,634.174,0.49344,0.428850783,22.19726777,2.513117645,-4.686380118,-5.103319954
