PLD,LCD,ASA,Porosity,Density,Pore volume,C%,H%,N%,O%,Halogen%,Metal%,Qst CH4,N1bar_CH4
4.3226,11.39486,1334.33,0.66554,0.949126,0.701213538,42.85714286,14.28571429,0,28.57142857,7.142857143,7.142857143,18.71111786,0.966553761
4.5108,11.27344,1339.03,0.6655,0.979267,0.679589938,42.85714286,14.28571429,0,28.57142857,7.142857143,7.142857143,18.62921307,1.000706932
7.83744,9.47418,3724.87,0.73276,0.597233,1.226924835,53.06122449,36.73469388,8.163265306,0,0,2.040816327,10.84098807,1.037599388
13.71867,18.8079,2380.22,0.75256,0.674371,1.115943598,50,25,0,20,0,2.5,14.94972073,1.047255631
3.9715,4.73097,316.992,0.47138,1.90641,0.247260558,38.88888889,11.11111111,11.11111111,33.33333333,0,5.555555556,17.26899355,0.4238105
3.92183,4.69665,272.424,0.46724,1.96962,0.237223424,38.88888889,11.11111111,11.11111111,33.33333333,0,5.555555556,17.49229449,0.413723701
3.82431,4.33176,290.352,0.44506,1.34661,0.330504006,44.94382022,31.46067416,11.23595506,8.988764045,0,3.370786517,20.7281284,0.836736419
4.03039,5.07969,988.368,0.61912,1.15833,0.534493624,42.85714286,25,0,25,0,7.142857143,17.19729401,1.472676719
8.27985,8.50423,977.119,0.58898,1.12072,0.525537155,34.28571429,48.57142857,5.714285714,5.714285714,2.857142857,2.857142857,12.74922056,0.452227972
6.10482,6.86398,840.2,0.51508,1.21871,0.422643615,37.70491803,42.62295082,3.278688525,13.1147541,0,3.278688525,16.67643927,1.015820225
4.17956,5.49574,753.406,0.53518,1.31333,0.407498496,35.18518519,37.03703704,3.703703704,18.51851852,0,5.555555556,15.3268202,0.509120744
7.03071,8.25776,1635.07,0.64752,1.10094,0.588151943,45,15,0,32.5,0,7.5,13.39072944,0.869562954
4.65537,7.1439,1317.57,0.60312,1.14924,0.524798998,48.86363636,28.40909091,0,18.18181818,0,2.272727273,16.87624935,1.574026845
3.89327,5.20085,919.536,0.5576,1.15458,0.48294618,36.7816092,41.37931034,13.79310345,4.597701149,2.298850575,1.149425287,20.20241693,2.513491396
3.94888,5.20115,859.911,0.55324,1.25952,0.439246697,36.7816092,41.37931034,13.79310345,4.597701149,2.298850575,1.149425287,20.21471892,2.297437091
5.53552,8.42183,2318.74,0.68256,0.863411,0.790538921,45.61403509,35.0877193,0,16.66666667,0,2.631578947,13.14877882,1.072739434
4.98474,7.43431,1258.54,0.5899,1.08434,0.544017559,45.71428571,35.71428571,2.857142857,13.57142857,0,2.142857143,16.83066696,1.327045965
10.4443,11.38761,982.267,0.57586,1.02785,0.560256847,49.18032787,29.50819672,3.278688525,6.557377049,9.836065574,1.639344262,30.18886463,1.441889634
5.80535,7.28268,601.112,0.50044,1.16215,0.430615669,47.05882353,31.37254902,19.60784314,0,0,1.960784314,16.51907395,0.694500899
4.59021,6.64699,929.278,0.5298,1.10689,0.478638347,49.64539007,34.04255319,5.673758865,8.510638298,0,2.127659574,20.660454,2.662111237
5.43889,6.29847,664.428,0.50736,1.11326,0.455742594,43.90243902,39.02439024,4.87804878,9.756097561,0,2.43902439,14.84257638,0.448230477
6.88163,13.37732,2601.94,0.74408,0.804279,0.925151595,47.19101124,31.46067416,0,17.97752809,0,3.370786517,11.2562119,0.618247274
5.0609,12.13124,2130.9,0.69536,0.908718,0.765209889,27.11864407,20.33898305,33.89830508,13.55932203,0,5.084745763,14.96033117,1.013098858
8.11021,14.70209,3347.01,0.81698,0.628556,1.299772813,45.28301887,22.64150943,0,24.52830189,0,7.547169811,6.971069668,0.310516601
15.85622,20.5205,4866.62,0.89086,0.295002,3.019843933,45.87155963,22.01834862,7.339449541,21.10091743,0,3.669724771,5.662625301,0.411289948
10.92309,21.62414,4183.97,0.85002,0.435607,1.951346053,46.39175258,21.64948454,12.37113402,13.40206186,0,6.18556701,10.27002333,0.657354648
6.60024,18.23438,3371.44,0.76974,0.629251,1.223263849,47.82608696,26.08695652,0,21.73913043,0,4.347826087,11.01830629,0.841851686
6.71346,18.07263,3391.08,0.77286,0.63164,1.223576721,47.82608696,26.08695652,0,21.73913043,0,4.347826087,11.62813648,0.944548881
13.33904,27.33782,6255.09,0.89344,0.238777,3.741733919,57.93103448,31.03448276,0.689655172,8.275862069,0,2.068965517,5.802736962,0.578973799
12.17426,24.55082,4551.51,0.87,0.377577,2.304165773,44.03669725,22.01834862,13.76146789,14.67889908,0,5.504587156,8.720533272,0.55812097
9.07611,10.5421,3367.6,0.73488,0.632077,1.162643159,45.0867052,41.61849711,11.56069364,0,0,1.734104046,14.54273143,1.061255923
8.80719,10.21446,3268.72,0.72402,0.655338,1.104803933,45.0867052,41.61849711,11.56069364,0,0,1.734104046,15.31193102,1.154156595
8.70819,10.15021,3321.14,0.72628,0.656268,1.106682026,45.0867052,41.61849711,11.56069364,0,0,1.734104046,14.96747968,1.133825614
4.10445,5.76724,869.785,0.50398,1.26343,0.398898237,46.42857143,28.57142857,3.571428571,17.85714286,0,3.571428571,19.53229659,2.062862077
5.00855,5.72682,774.948,0.49644,1.28062,0.387655979,46.42857143,28.57142857,3.571428571,17.85714286,0,3.571428571,19.03575564,1.743965513
3.91364,4.43355,405.691,0.48232,1.23763,0.389712596,45.71428571,34.28571429,5.714285714,11.42857143,0,2.857142857,26.68710867,4.539643613
3.86825,5.46006,183.716,0.45158,1.70055,0.265549381,29.19708029,23.35766423,5.839416058,27.73722628,0.729927007,13.13868613,18.94816875,0.58017215
3.85093,5.42762,187.69,0.45174,1.70055,0.265643468,29.19708029,23.35766423,5.839416058,27.73722628,0.729927007,13.13868613,19.02031387,0.589359021
4.9065,10.017,1816.8,0.67828,1.03876,0.65297085,35.29411765,17.64705882,17.64705882,20.58823529,0,8.823529412,10.86876591,0.419711994
5.30365,5.97541,753.379,0.53846,1.21661,0.442590477,46.01769912,35.39823009,0,16.81415929,0,1.769911504,18.57860758,1.551340948
5.31331,5.9443,687.652,0.52528,1.28796,0.407838753,46.01769912,35.39823009,0,16.81415929,0,1.769911504,19.10225438,1.616804118
5.29096,5.93338,677.01,0.52144,1.31573,0.396312313,46.01769912,35.39823009,0,16.81415929,0,1.769911504,19.35358825,1.632569789
17.12424,25.68553,3165.13,0.84016,0.402567,2.087006635,47.72727273,29.54545455,6.818181818,13.63636364,0,2.272727273,7.562806048,0.450093984
5.37167,7.3314,1146.88,0.55594,1.01683,0.546738393,51.11111111,35.55555556,2.222222222,8.888888889,0,2.222222222,17.65283619,1.312580499
5.08524,7.14066,876.407,0.5421,1.32285,0.409797029,53.84615385,25.64102564,2.564102564,10.25641026,5.128205128,2.564102564,17.14451955,0.886655272
4.52097,6.3306,965.88,0.55848,1.12223,0.497651996,35.29411765,35.29411765,23.52941176,0,0,5.882352941,18.51915199,1.022106463
4.7481,6.43864,1003.43,0.5662,1.12574,0.502958054,35.29411765,35.29411765,23.52941176,0,0,5.882352941,18.72370244,1.016387528
6.81408,8.80212,1422.51,0.62122,1.05969,0.586228048,52.5,30,0,15,0,2.5,20.76153563,1.686250373
6.54754,8.32882,1419.5,0.61562,1.04077,0.591504367,52.5,30,0,15,0,2.5,20.52305267,1.695022832
6.74118,8.79334,1353.64,0.61642,1.0948,0.563043478,52.5,30,0,15,0,2.5,21.16047983,1.736024922
