PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KN2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,N2-1 bar (mol/kg)
8.439,9.032,744.34,0.508,3.64E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.278
9.137,9.38,856.73,0.516,2.99E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.261
9.21,9.494,756.808,0.506,2.91E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.248
8.821,9.141,781.918,0.507,3.21E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.272
8.897,9.257,640.835,0.501,3.21E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.263
8.396,8.718,769.645,0.508,3.76E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.301
7.703,7.897,644.491,0.488,1.68E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.151
8.607,8.84,676.198,0.499,2.95E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.249
8.771,9.05,632.394,0.497,2.11E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.184
8.163,8.514,617.02,0.497,2.23E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.196
16.481,16.795,1635.35,0.645,1.63E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.159
15.652,15.788,1628.63,0.647,1.68E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.166
15.712,15.903,1526.89,0.631,1.53E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.151
16.081,16.163,1496.17,0.619,1.44E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.142
15.488,15.845,1513.9,0.618,1.59E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.156
14.528,14.581,1467.78,0.606,1.44E-06,62.5,30,7.5,0,0,0,0.142
15.309,15.606,1538.87,0.637,1.55E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.152
15.119,15.309,1487.25,0.624,1.48E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.146
14.512,14.85,1448.47,0.619,1.46E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.146
15.157,15.276,1358.22,0.602,1.27E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.125
14.306,14.691,1343.57,0.598,1.33E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.133
14.466,14.733,1224.82,0.581,1.19E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.117
23.038,23.25,1027.88,0.626,7.18E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.466
