PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KN2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,N2-1 bar (mol/kg)
15.656,17.004,5463.34,0.886,3.20E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.322
15.328,17.272,5388.22,0.882,3.16E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.316
15.391,17.394,5087.46,0.88,3.02E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.298
16.272,17.251,6137.08,0.895,3.66E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.367
16.126,17.13,5781.36,0.893,3.54E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.352
14.638,17.224,5704.26,0.891,3.36E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.336
14.384,17.087,5488.99,0.889,3.27E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.326
16.072,16.896,5504.15,0.883,3.15E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.312
16.213,17.364,5084.03,0.882,3.09E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.306
14.916,16.092,5154.91,0.877,2.96E-06,57.14285714,3.174603175,14.28571429,0,0,0.253968254,0.294
14.23,16.121,5055.91,0.876,2.86E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.284
26.131,27.708,7870.17,0.951,6.01E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.597
26.819,27.824,7778.05,0.949,5.92E-06,59.09090909,32.72727273,8.181818182,0,0,0,0.593
26.072,27.496,7649.35,0.949,5.84E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.58
26.515,27.938,7566.4,0.947,5.76E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.572
26.381,27.19,7487.59,0.947,5.74E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.572
26.336,27.218,7344.03,0.945,5.67E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.567
25.993,27.339,7242.38,0.944,5.60E-06,62.5,30,7.5,0,0,0,0.56
25.191,26.417,7140.81,0.942,5.52E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.552
25.188,27.645,7686.38,0.948,5.84E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.578
24.455,27.036,7568.38,0.946,5.75E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.575
25.469,27.443,7469.67,0.946,5.69E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.566
24.799,26.88,7402.89,0.944,5.60E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.56
24.839,27.212,7307.78,0.944,5.60E-06,62.5,30,7.5,0,0,0,0.567
24.838,27.252,7219.36,0.942,5.55E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.551
25.148,27.18,7151.97,0.942,5.48E-06,63.70967742,29.03225806,7.258064516,0,0,0,0.546
25.21,27.223,7105.28,0.94,5.43E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.538
12.848,13.111,1137.11,0.581,3.38E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.274
17.116,21.469,5639.52,0.923,4.20E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.416
12.789,13.041,867.753,0.561,1.30E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.126
12.879,13.139,981.74,0.604,6.74E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.449
22.461,22.613,1697.95,0.698,1.89E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.184
20.819,21.03,1376.1,0.659,1.67E-06,62.5,30,7.5,0,0,0,0.16
21.71,21.915,1616.94,0.678,1.76E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.174
20.322,20.593,1324.11,0.636,1.62E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.155
18.412,19.609,5373.41,0.913,3.51E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.353
20.256,23.008,5080.63,0.919,3.92E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.385
36.352,40.368,7972.99,0.969,8.60E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.858
36.257,37.118,7666.02,0.965,8.01E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.803
32.365,33.972,7625.55,0.961,7.59E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.762
15.407,17.481,6734.9,0.902,4.01E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.403
8.19,8.614,701.425,0.499,1.68E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.162
14.042,14.312,1671.54,0.645,1.74E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.172
11.75,11.922,1209.14,0.565,1.01E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.101
19.513,19.863,6919.69,0.904,4.15E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.411
17.251,19.544,6587.66,0.901,3.84E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.385
17.419,18.256,6079.82,0.899,3.68E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.367
16.855,18.341,5697.29,0.896,3.50E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.353
18.758,19.583,6248.49,0.9,3.81E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.379
17.331,19.728,5885.74,0.896,3.53E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.354
17.529,18.334,5563.16,0.894,3.36E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.335
16.959,19.017,5226.7,0.892,3.19E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.32
19.635,20.239,6411.16,0.899,3.99E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.397
16.894,19.43,6165.15,0.896,3.66E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.362
17.26,18.433,5783.41,0.896,3.53E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.351
17.526,18.755,5485.9,0.894,3.35E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.333
17.873,20.041,5780.03,0.895,3.69E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.367
17.865,19.746,5457.6,0.893,3.52E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.35
17.337,18.361,5255.2,0.891,3.17E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.317
17.303,18.29,4990.18,0.888,3.05E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.301
30.43,32.178,7972.89,0.954,6.31E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.632
30.446,32.287,7903.93,0.952,6.17E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.614
32.747,34.128,7603.33,0.951,6.13E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.614
31.219,34.119,7500.59,0.949,5.98E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.6
29.591,30.817,7658.35,0.95,6.01E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.598
29.482,30.761,7582.9,0.948,5.91E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.589
30.667,31.125,7413.79,0.947,5.88E-06,62.5,30,7.5,0,0,0,0.58
30.787,31.224,7266.97,0.946,5.78E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.574
30.088,30.897,7787.16,0.953,6.25E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.626
30.202,30.91,7716.57,0.953,6.14E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.613
32.266,32.661,7539.68,0.951,6.10E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.615
30.141,32.579,7395.09,0.949,5.97E-06,62.5,30,7.5,0,0,0,0.595
28.982,29.751,7494.7,0.948,5.93E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.598
29.104,29.801,7441.17,0.947,5.86E-06,62.5,30,7.5,0,0,0,0.589
30.793,31.186,7331.38,0.947,5.86E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.581
30.692,31.3,7216.97,0.945,5.77E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.576
9.794,15.82,4943.87,0.813,4.13E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.409
10.562,16.851,5159.16,0.825,3.95E-06,58.10810811,32.43243243,8.108108108,0,0.013513514,0,0.39
10.023,15.717,4980.44,0.81,4.36E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.43
10.521,16.264,5174.52,0.821,4.13E-06,58.10810811,32.43243243,8.108108108,0,0.013513514,0,0.409
19.153,33.399,6717.52,0.926,4.63E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.463
17.361,33.333,5011.02,0.912,3.42E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.336
31.08,52.466,7885.26,0.965,7.69E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.752
30.451,51.512,7080.2,0.957,6.76E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.657
40.333,58.802,6717.29,0.951,6.17E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.611
37.154,61.488,5016.67,0.943,4.37E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.436
22.412,22.531,3593.97,0.828,3.28E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.324
18.886,19.709,2612.2,0.799,2.44E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.242
18.648,20.474,3220.5,0.815,3.12E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.311
19.125,20.396,2294.48,0.789,2.49E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.245
33.081,33.418,6366.26,0.918,5.12E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.509
28.331,29.397,5429.22,0.901,4.47E-06,62.5,30,7.5,0,0,0,0.449
32.916,33.273,6249.55,0.912,5.03E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.498
29.398,30.032,5081.22,0.895,4.22E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.416
43.557,48.197,6000.79,0.958,6.40E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.636
20.27,20.755,6773.56,0.909,4.18E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.415
18.443,21.18,5270.04,0.899,3.36E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.333
18.111,19.278,6071.84,0.903,3.65E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.368
19.017,21.171,4820.6,0.896,3.07E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.304
32.558,33.563,7861.32,0.957,6.74E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.672
31.75,32.965,7446.75,0.95,6.15E-06,62.5,30,7.5,0,0,0,0.618
32.615,33.185,7515.45,0.954,6.43E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.643
31.799,32.441,7186.36,0.947,5.93E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.596
19.755,23.514,6807.23,0.908,4.16E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.413
19.65,23.614,5346.87,0.899,3.36E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.337
17.992,22.062,6087.05,0.903,3.67E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.363
18.085,22.301,4974.98,0.893,3.04E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.306
32.449,38.432,7886.07,0.957,6.78E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.678
31.516,36.185,7424.37,0.95,6.17E-06,62.5,30,7.5,0,0,0,0.61
31.803,38.472,7627.23,0.954,6.48E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.648
30.773,35.867,7167.19,0.946,5.95E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.595
33.305,33.559,7000.44,0.928,4.75E-06,58.62068966,31.03448276,10.34482759,0,0,0,0.476
30.815,31.226,5957.57,0.921,3.88E-06,58.62068966,17.24137931,10.34482759,0,0,0.137931034,0.39
33.17,33.332,6796.08,0.929,4.67E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.471
30.751,30.869,5773.7,0.921,3.82E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.382
32.531,32.829,6770.54,0.928,4.65E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.461
31.908,32.135,5580.91,0.921,3.89E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.389
30.774,30.912,5074.05,0.915,3.30E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.332
51.123,51.754,7930.4,0.965,7.73E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.766
51.63,51.872,7446.52,0.962,7.19E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.709
50.317,50.776,7624.8,0.962,7.22E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.717
48.891,49.515,7140.61,0.958,6.76E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.677
25.482,25.663,6709.29,0.918,4.37E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.438
23.213,24.062,6079.34,0.91,3.78E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.377
22.813,23.851,6121.62,0.913,3.84E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.376
22.728,24.495,5405.72,0.907,3.45E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.342
24.233,25.494,5917.99,0.914,3.85E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.383
22.926,24.381,5446.65,0.908,3.43E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.342
22.995,24.215,5381.96,0.908,3.45E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.344
22.557,23.678,4866.13,0.903,3.16E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.314
39.596,39.922,7947.03,0.962,7.05E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.703
39.553,39.874,7642.65,0.959,6.74E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.678
39.623,39.968,7618.28,0.958,6.76E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.669
39.795,40.139,7373.01,0.956,6.54E-06,62.5,30,7.5,0,0,0,0.651
39.599,39.88,7769.26,0.959,6.76E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.673
39.546,39.864,7451.23,0.956,6.52E-06,62.5,30,7.5,0,0,0,0.657
39.566,39.86,7338.7,0.955,6.45E-06,62.5,30,7.5,0,0,0,0.647
39.709,40.01,7118.08,0.953,6.29E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.623
16.601,17.928,6917.57,0.906,4.04E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.403
14.778,17.373,6537.71,0.903,3.76E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.374
15.536,17.364,5479.85,0.894,3.21E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.317
14.695,16.788,5234.98,0.89,3.07E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.31
16.423,17.362,6491.13,0.903,3.77E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.378
14.367,17.26,6093.26,0.9,3.54E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.349
15.615,16.558,5198.07,0.892,3.07E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.303
14.346,17.185,5003.2,0.888,2.93E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.292
27.404,28.658,8092.06,0.955,6.33E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.63
26.668,28.847,7995.54,0.953,6.19E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.614
26.398,28.023,7388.36,0.95,5.96E-06,62.5,30,7.5,0,0,0,0.592
25.933,28.276,7231.33,0.948,5.88E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.582
27.658,28.53,7883.5,0.953,6.25E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.621
26.943,28.518,7771.68,0.951,6.11E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.61
26.838,28.241,7343.65,0.947,5.88E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.59
26.347,28.361,7207.31,0.946,5.80E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.584
20.336,23.01,6674.19,0.905,4.08E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.409
19.89,21.908,5850.04,0.896,3.61E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.359
20.227,23.083,5889.94,0.898,3.61E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.36
19.797,21.421,5374.54,0.89,3.24E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.323
18.421,22.725,5947.79,0.899,3.62E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.362
17.961,21.237,5351.99,0.892,3.25E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.323
18.136,22.459,5418.32,0.893,3.26E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.327
31.06,36.343,7853.89,0.955,6.28E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.624
32.277,36.578,7607.77,0.952,6.11E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.61
31.287,36.085,7551.74,0.952,6.02E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.599
32.227,36.567,7358.2,0.949,5.88E-06,62.5,30,7.5,0,0,0,0.585
31.479,35.693,7548.33,0.951,6.03E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.601
32.215,36.283,7343.17,0.948,5.85E-06,62.5,30,7.5,0,0,0,0.585
31.368,35.302,7256.82,0.947,5.80E-06,62.5,30,7.5,0,0,0,0.574
32.354,35.753,7090.08,0.945,5.69E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.562
20.377,22.011,6816.76,0.911,4.19E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.419
20.623,22.349,6313.9,0.909,3.96E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.397
18.302,22.101,6011.29,0.905,3.68E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.369
18.889,22.283,5666.35,0.904,3.50E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.348
18.314,22.041,6023.93,0.905,3.68E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.372
17.895,22.249,5696.28,0.902,3.49E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.348
18.86,21.882,5462.65,0.901,3.32E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.331
19.294,22.315,5232.28,0.899,3.17E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.319
20.177,22.014,6425.11,0.908,3.91E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.391
19.289,21.805,5985.75,0.907,3.71E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.371
18.606,21.667,5686.34,0.902,3.49E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.347
18.434,22.038,5400.51,0.9,3.33E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.328
18.594,21.639,5735.75,0.903,3.47E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.346
17.869,21.857,5470.66,0.9,3.31E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.329
18.848,21.265,5294.54,0.898,3.16E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.317
18.8,21.882,5028.85,0.897,3.04E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.302
33.932,35.826,7986.64,0.959,6.73E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.673
33.663,34.77,7831.08,0.956,6.54E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.658
32.722,35.194,7632.14,0.955,6.42E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.639
32.532,34.309,7476.46,0.953,6.28E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.624
32.719,35.192,7621.45,0.954,6.43E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.636
32.527,34.309,7518.48,0.952,6.28E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.623
32.05,34.942,7326.48,0.952,6.23E-06,62.5,30,7.5,0,0,0,0.624
31.646,34.338,7284.52,0.95,6.08E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.606
33.94,35.518,7818.96,0.957,6.58E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.657
33.752,34.555,7649.35,0.954,6.41E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.644
32.772,35.259,7502.36,0.953,6.31E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.631
32.695,34.338,7349.14,0.952,6.17E-06,62.5,30,7.5,0,0,0,0.617
32.773,35.258,7496.64,0.952,6.31E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.634
32.695,34.338,7360.95,0.95,6.16E-06,62.5,30,7.5,0,0,0,0.613
32.351,34.952,7215.54,0.951,6.13E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.608
31.956,34.394,7156.96,0.948,5.99E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.596
20.35,22.005,6787.52,0.913,4.19E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.419
20.568,21.529,6306.98,0.91,3.94E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.392
19.511,21.927,5391.17,0.901,3.33E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.326
19.153,21.985,5191.73,0.901,3.17E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.314
19.297,22.012,6380.28,0.91,3.91E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.391
19.24,22.308,5939.61,0.907,3.72E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.369
19.368,20.861,5163.03,0.898,3.17E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.314
19.598,21.805,4865.36,0.897,3.07E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.304
33.97,35.813,7942.84,0.959,6.74E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.672
33.675,34.785,7821.55,0.957,6.54E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.657
32.04,34.938,7351.57,0.952,6.22E-06,62.5,30,7.5,0,0,0,0.624
31.633,34.34,7297.42,0.95,6.08E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.608
33.93,35.515,7818.17,0.958,6.58E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.661
33.75,34.561,7626.97,0.955,6.41E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.636
32.347,34.955,7200.54,0.95,6.13E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.612
31.942,34.397,7161.88,0.948,5.99E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.594
19.857,21.496,6796.36,0.91,4.17E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.416
19.006,21.117,6519.39,0.908,4.00E-06,57.14285714,25.3968254,14.28571429,0,0,0.031746032,0.4
18.907,20.603,5732.79,0.904,3.53E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.356
19.006,20.229,5561.96,0.903,3.41E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.338
17.666,20.436,6214.3,0.903,3.79E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.379
16.94,19.952,5996.48,0.901,3.65E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.359
20.165,21.819,5332.95,0.903,3.35E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.331
18.949,20.276,6272.3,0.906,3.80E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.377
18.751,19.738,6084.86,0.904,3.66E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.363
17.667,19.875,5434.49,0.9,3.29E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.329
18.887,20.415,5119.67,0.9,3.24E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.321
16.981,19.243,5790.42,0.896,3.46E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.343
16.002,18.639,5590.52,0.895,3.36E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.332
32.681,34.702,7919.5,0.959,6.76E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.673
32.509,34.659,7866.61,0.958,6.65E-06,59.09090909,32.72727273,8.181818182,0,0,0,0.661
29.621,34.974,7540.66,0.954,6.28E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.621
29.148,34.876,7452.32,0.952,6.19E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.62
30.493,34.864,7708.22,0.955,6.49E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.646
30.355,34.737,7593.19,0.954,6.39E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.647
32.138,33.525,7455.39,0.952,6.16E-06,62.5,30,7.5,0,0,0,0.614
31.489,33.439,7330.24,0.951,6.08E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.6
32.786,34.759,7702.55,0.957,6.54E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.65
32.103,34.668,7630.33,0.956,6.44E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.644
29.276,34.247,7360.24,0.951,6.10E-06,62.5,30,7.5,0,0,0,0.61
28.828,34.167,7275.28,0.95,6.02E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.606
30.555,34.286,7525.07,0.953,6.30E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.626
30.411,34.156,7461.16,0.952,6.21E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.626
31.689,33.543,7243.34,0.949,6.00E-06,63.70967742,29.03225806,7.258064516,0,0,0,0.596
31.089,33.471,7217.13,0.948,5.93E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.596
15.2,20.542,6834.78,0.903,4.00E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.399
14.87,19.372,6411.01,0.901,3.74E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.371
14.6,19.045,6092.76,0.897,3.54E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.35
14.371,18.564,5783.55,0.893,3.35E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.335
14.231,21.106,5954.81,0.896,3.54E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.356
13.821,20.121,5675.6,0.893,3.34E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.333
13.968,19.843,5422.99,0.89,3.19E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.318
13.337,18.711,5255.65,0.888,3.03E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.299
15.478,20.372,6328.67,0.901,3.77E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.372
14.649,18.897,5958.44,0.897,3.56E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.353
15.119,18.529,5726.94,0.893,3.35E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.332
14.431,18.109,5428.58,0.891,3.21E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.321
14.477,20.039,5622.31,0.893,3.35E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.337
13.662,18.993,5393.09,0.89,3.18E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.313
13.655,19.694,5194.72,0.887,3.03E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.304
13.711,18.672,4956.09,0.883,2.92E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.293
24.405,33.863,7872.07,0.953,6.24E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.627
