PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,H2-1 bar (mol/kg)
21.705,21.824,1600.88,0.67,5.17E-07,60.52631579,31.57894737,7.894736842,0,0,0,0.051
19.586,19.857,1374.2,0.652,4.63E-07,62.5,30,7.5,0,0,0,0.046
19.485,19.741,1326.1,0.631,4.13E-07,64.28571429,28.57142857,7.142857143,0,0,0,0.042
39.207,39.338,1789.59,0.783,8.08E-07,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.08
9.866,10.348,991.627,0.527,3.14E-07,57.14285714,28.57142857,14.28571429,0,0,0,0.031
15.822,16.155,1233.8,0.587,3.23E-07,64.28571429,28.57142857,7.142857143,0,0,0,0.032
33.549,33.594,1779.17,0.765,7.22E-07,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.072
6.179,7.564,810.923,0.521,3.36E-07,57.14285714,28.57142857,14.28571429,0,0,0,0.033
5.383,8.088,558.881,0.495,2.45E-07,57.14285714,0,14.28571429,0,0,0.285714286,0.025
12.526,13.568,1520.26,0.609,4.52E-07,58.33333333,33.33333333,8.333333333,0,0,0,0.045
21.721,21.862,1052.75,0.562,3.77E-07,57.14285714,28.57142857,14.28571429,0,0,0,0.038
19.78,20.459,555.925,0.54,2.79E-07,57.14285714,0,14.28571429,0,0,0.285714286,0.028
37.843,37.972,1725.98,0.681,5.51E-07,58.33333333,33.33333333,8.333333333,0,0,0,0.055
18.82,19.162,959.667,0.607,3.51E-07,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.035
18.046,18.376,923.262,0.613,3.77E-07,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.038
36.197,36.278,1737.47,0.723,6.62E-07,58.33333333,33.33333333,8.333333333,0,0,0,0.066
36.283,36.394,1588.28,0.707,5.80E-07,60.52631579,31.57894737,7.894736842,0,0,0,0.057
35.855,36.012,1610.55,0.701,5.90E-07,60.52631579,31.57894737,7.894736842,0,0,0,0.059
36.086,36.134,1439.73,0.68,5.12E-07,62.5,30,7.5,0,0,0,0.051
36.036,36.137,1582.41,0.71,6.00E-07,60.52631579,31.57894737,7.894736842,0,0,0,0.06
8.46,9.017,994.659,0.519,2.92E-07,57.14285714,28.57142857,14.28571429,0,0,0,0.029
7.741,7.976,652.147,0.484,2.22E-07,57.14285714,0,14.28571429,0,0,0.285714286,0.022
13.139,13.399,1717.62,0.643,5.05E-07,58.33333333,33.33333333,8.333333333,0,0,0,0.05
13.212,13.6,1295.16,0.579,3.24E-07,64.28571429,28.57142857,7.142857143,0,0,0,0.033
29.383,29.443,1803.03,0.769,7.33E-07,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.073
9.377,9.885,1092.96,0.542,3.47E-07,57.14285714,28.57142857,14.28571429,0,0,0,0.035
8.494,8.998,919.422,0.531,3.18E-07,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.032
9.17,9.487,806.981,0.513,2.60E-07,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.026
9.505,9.885,830.166,0.529,2.67E-07,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.026
16.492,16.71,1716.61,0.672,5.44E-07,58.33333333,33.33333333,8.333333333,0,0,0,0.054
