PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,O2-1 bar (mol/kg)
31.662,35.737,7414.65,0.951,6.43E-06,62.5,30,7.5,0,0,0,0.641
31.531,35.682,7341.84,0.95,6.35E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.637
27.872,33.298,7513.02,0.952,6.38E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.632
27.63,33.121,7417.33,0.951,6.30E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.632
30.568,35.707,7266.84,0.95,6.29E-06,63.70967742,29.03225806,7.258064516,0,0,0,0.623
30.456,35.653,7184.3,0.948,6.22E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.621
9.758,11.513,6666.62,0.867,3.83E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.386
10.086,10.914,6049.67,0.858,3.29E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.328
9.605,12.081,5286.64,0.85,3.02E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.302
9.095,11.249,5103.68,0.842,2.68E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.267
17.392,20.022,7803.18,0.935,5.33E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.535
16.205,19.437,7559.75,0.931,5.19E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.513
16.778,18.44,7238.08,0.926,5.06E-06,62.5,30,7.5,0,0,0,0.506
16.3,18.805,7011.99,0.922,4.97E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.501
9.757,11.505,6650.7,0.867,3.83E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.383
9.737,11.515,5711.75,0.858,3.37E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.337
9.755,12.007,5536.38,0.85,2.97E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.297
9.334,11.767,4986.24,0.842,2.75E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.274
17.225,19.683,7804.04,0.935,5.33E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.533
16.336,19.473,7527.56,0.931,5.20E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.52
16.823,18.379,7214.45,0.926,5.06E-06,62.5,30,7.5,0,0,0,0.507
16.294,18.81,7001.22,0.922,4.97E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.495
14.519,20.203,5155.33,0.906,3.42E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.342
27.129,36.078,7939.84,0.964,7.71E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.775
12.541,12.736,1060.65,0.573,1.96E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.181
12.607,13.121,1023.39,0.606,7.09E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.462
16.404,20.836,5262.83,0.913,3.64E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.362
12.694,12.932,972.837,0.568,1.97E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.177
14.991,19.19,5881.38,0.913,3.91E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.387
12.528,12.905,990.971,0.601,6.50E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.433
14.827,20.718,5219.21,0.91,3.35E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.33
27.304,36.287,7975.77,0.965,7.73E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.78
25.651,31.4,7347.45,0.957,6.91E-06,62.5,30,7.5,0,0,0,0.689
27.301,36.212,7788.12,0.963,7.54E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.75
23.541,35.071,5066.01,0.936,4.20E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.42
42.61,54.037,7101.8,0.97,8.51E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.827
11.172,14.011,6093.4,0.876,3.66E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.364
11.321,13.966,5338.24,0.87,3.05E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.303
11.366,13.323,5166.61,0.866,2.88E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.286
10.716,13.848,5801.21,0.871,3.41E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.341
10.323,13.358,5249.68,0.866,2.88E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.288
9.873,13.85,4955.64,0.862,2.78E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.278
18.902,25.652,7813.95,0.944,5.80E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.576
18.692,23.973,7176.84,0.936,5.46E-06,62.5,30,7.5,0,0,0,0.549
18.694,24.253,7150.57,0.935,5.41E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.535
18.858,25.479,7701.87,0.942,5.72E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.575
18.737,23.827,7549.98,0.941,5.63E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.56
18.76,24.476,7089.25,0.935,5.41E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.539
18.75,24.168,7003.87,0.933,5.35E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.538
13.634,19.142,7051.97,0.9,4.31E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.427
13.557,17.934,6471.03,0.897,3.95E-06,59.45945946,27.02702703,8.108108108,0,0,0.054054054,0.396
13.291,18.838,7019.41,0.9,4.10E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.41
13.188,17.643,6429.28,0.896,3.77E-06,57.14285714,22.85714286,14.28571429,0,0,0.057142857,0.378
14.094,18.916,6796,0.9,4.12E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.41
12.743,17.554,5156.53,0.884,3.07E-06,57.14285714,5.714285714,14.28571429,0,0,0.228571429,0.308
13.993,17.769,6243.33,0.895,3.78E-06,57.14285714,22.85714286,14.28571429,0,0,0.057142857,0.38
12.786,17.782,4841.86,0.88,2.91E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.293
23.101,30.314,7817.59,0.952,6.39E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.636
22.735,29.769,7250.16,0.942,5.88E-06,63.23529412,29.41176471,7.352941176,0,0,0,0.586
23.019,29.852,7671.3,0.95,6.24E-06,59.67741935,32.25806452,8.064516129,0,0,0,0.627
22.694,29.936,7154.45,0.942,5.80E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.576
8.382,9.126,4824.32,0.783,4.00E-06,59.18367347,32.65306122,8.163265306,0,0,0,0.397
8.873,9.656,5165.77,0.801,3.76E-06,57.14285714,32.65306122,8.163265306,0,0.020408163,0,0.372
15.749,16.965,6739.01,0.899,4.10E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.405
15.647,16.889,6340.77,0.896,3.93E-06,57.14285714,25.3968254,14.28571429,0,0,0.031746032,0.389
14.638,16.723,6211.06,0.893,3.71E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.375
14.838,16.96,5928.71,0.892,3.57E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.356
15.496,16.895,5753.54,0.886,3.43E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.347
15.656,17.004,5463.34,0.886,3.26E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.325
15.328,17.272,5388.22,0.882,3.18E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.319
15.391,17.394,5087.46,0.88,3.04E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.307
16.272,17.251,6137.08,0.895,3.75E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.374
16.126,17.13,5781.36,0.893,3.61E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.362
14.638,17.224,5704.26,0.891,3.43E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.349
14.384,17.087,5488.99,0.889,3.32E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.331
16.072,16.896,5504.15,0.883,3.17E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.319
16.213,17.364,5084.03,0.882,3.11E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.313
14.916,16.092,5154.91,0.877,2.97E-06,57.14285714,3.174603175,14.28571429,0,0,0.253968254,0.295
14.23,16.121,5055.91,0.876,2.86E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.286
26.131,27.708,7870.17,0.951,6.16E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.616
26.819,27.824,7778.05,0.949,6.07E-06,59.09090909,32.72727273,8.181818182,0,0,0,0.604
26.072,27.496,7649.35,0.949,6.00E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.601
26.515,27.938,7566.4,0.947,5.92E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.591
26.381,27.19,7487.59,0.947,5.91E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.595
26.336,27.218,7344.03,0.945,5.85E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.585
25.993,27.339,7242.38,0.944,5.78E-06,62.5,30,7.5,0,0,0,0.582
25.191,26.417,7140.81,0.942,5.69E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.573
25.188,27.645,7686.38,0.948,6.00E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.597
24.455,27.036,7568.38,0.946,5.91E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.583
25.469,27.443,7469.67,0.946,5.86E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.586
24.799,26.88,7402.89,0.944,5.77E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.587
24.839,27.212,7307.78,0.944,5.78E-06,62.5,30,7.5,0,0,0,0.582
24.838,27.252,7219.36,0.942,5.74E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.576
25.148,27.18,7151.97,0.942,5.67E-06,63.70967742,29.03225806,7.258064516,0,0,0,0.559
25.21,27.223,7105.28,0.94,5.63E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.564
12.848,13.111,1137.11,0.581,4.31E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.34
17.116,21.469,5639.52,0.923,4.21E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.412
12.789,13.041,867.753,0.561,1.76E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.163
12.879,13.139,981.74,0.604,6.08E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.419
22.461,22.613,1697.95,0.698,1.86E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.185
20.819,21.03,1376.1,0.659,1.62E-06,62.5,30,7.5,0,0,0,0.159
21.71,21.915,1616.94,0.678,1.75E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.174
20.322,20.593,1324.11,0.636,1.59E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.157
18.412,19.609,5373.41,0.913,3.56E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.355
20.256,23.008,5080.63,0.919,3.90E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.383
36.352,40.368,7972.99,0.969,8.75E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.875
36.257,37.118,7666.02,0.965,8.18E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.817
32.365,33.972,7625.55,0.961,7.76E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.77
15.407,17.481,6734.9,0.902,4.16E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.413
8.19,8.614,701.425,0.499,1.56E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.153
14.042,14.312,1671.54,0.645,1.75E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.173
11.75,11.922,1209.14,0.565,1.08E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.106
19.513,19.863,6919.69,0.904,4.31E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.432
17.251,19.544,6587.66,0.901,3.96E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.391
17.419,18.256,6079.82,0.899,3.74E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.377
16.855,18.341,5697.29,0.896,3.54E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.354
18.758,19.583,6248.49,0.9,3.88E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.383
17.331,19.728,5885.74,0.896,3.60E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.358
17.529,18.334,5563.16,0.894,3.39E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.338
16.959,19.017,5226.7,0.892,3.22E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.318
19.635,20.239,6411.16,0.899,4.09E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.407
16.894,19.43,6165.15,0.896,3.73E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.369
17.26,18.433,5783.41,0.896,3.56E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.353
17.526,18.755,5485.9,0.894,3.37E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.334
17.873,20.041,5780.03,0.895,3.71E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.366
17.865,19.746,5457.6,0.893,3.53E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.351
17.337,18.361,5255.2,0.891,3.20E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.318
17.303,18.29,4990.18,0.888,3.06E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.304
30.43,32.178,7972.89,0.954,6.46E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.642
30.446,32.287,7903.93,0.952,6.32E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.628
32.747,34.128,7603.33,0.951,6.30E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.629
31.219,34.119,7500.59,0.949,6.16E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.613
29.591,30.817,7658.35,0.95,6.18E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.614
29.482,30.761,7582.9,0.948,6.08E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.608
30.667,31.125,7413.79,0.947,6.06E-06,62.5,30,7.5,0,0,0,0.605
30.787,31.224,7266.97,0.946,5.97E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.595
30.088,30.897,7787.16,0.953,6.41E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.636
30.202,30.91,7716.57,0.953,6.31E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.637
32.266,32.661,7539.68,0.951,6.28E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.629
30.141,32.579,7395.09,0.949,6.14E-06,62.5,30,7.5,0,0,0,0.617
28.982,29.751,7494.7,0.948,6.11E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.611
29.104,29.801,7441.17,0.947,6.05E-06,62.5,30,7.5,0,0,0,0.6
30.793,31.186,7331.38,0.947,6.06E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.608
30.692,31.3,7216.97,0.945,5.97E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.599
9.794,15.82,4943.87,0.813,4.24E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.42
10.562,16.851,5159.16,0.825,4.08E-06,58.10810811,32.43243243,8.108108108,0,0.013513514,0,0.406
10.023,15.717,4980.44,0.81,4.49E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.449
10.521,16.264,5174.52,0.821,4.27E-06,58.10810811,32.43243243,8.108108108,0,0.013513514,0,0.424
19.153,33.399,6717.52,0.926,4.78E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.479
17.361,33.333,5011.02,0.912,3.43E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.343
31.08,52.466,7885.26,0.965,7.83E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.761
30.451,51.512,7080.2,0.957,6.96E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.674
40.333,58.802,6717.29,0.951,6.40E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.629
37.154,61.488,5016.67,0.943,4.41E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.43
22.412,22.531,3593.97,0.828,3.48E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.343
18.886,19.709,2612.2,0.799,2.53E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.251
18.648,20.474,3220.5,0.815,3.17E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.315
19.125,20.396,2294.48,0.789,2.45E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.245
33.081,33.418,6366.26,0.918,5.33E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.534
28.331,29.397,5429.22,0.901,4.76E-06,62.5,30,7.5,0,0,0,0.476
32.916,33.273,6249.55,0.912,5.24E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.519
29.398,30.032,5081.22,0.895,4.45E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.441
43.557,48.197,6000.79,0.958,6.56E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.657
20.27,20.755,6773.56,0.909,4.33E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.428
18.443,21.18,5270.04,0.899,3.39E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.338
18.111,19.278,6071.84,0.903,3.73E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.369
19.017,21.171,4820.6,0.896,3.09E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.306
32.558,33.563,7861.32,0.957,6.89E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.687
31.75,32.965,7446.75,0.95,6.34E-06,62.5,30,7.5,0,0,0,0.633
32.615,33.185,7515.45,0.954,6.59E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.656
31.799,32.441,7186.36,0.947,6.12E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.606
19.755,23.514,6807.23,0.908,4.31E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.427
19.65,23.614,5346.87,0.899,3.39E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.338
17.992,22.062,6087.05,0.903,3.75E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.375
18.085,22.301,4974.98,0.893,3.06E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.306
32.449,38.432,7886.07,0.957,6.94E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.686
31.516,36.185,7424.37,0.95,6.35E-06,62.5,30,7.5,0,0,0,0.636
31.803,38.472,7627.23,0.954,6.64E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.666
30.773,35.867,7167.19,0.946,6.14E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.618
33.305,33.559,7000.44,0.928,4.90E-06,58.62068966,31.03448276,10.34482759,0,0,0,0.487
30.815,31.226,5957.57,0.921,3.94E-06,58.62068966,17.24137931,10.34482759,0,0,0.137931034,0.386
33.17,33.332,6796.08,0.929,4.81E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.478
30.751,30.869,5773.7,0.921,3.87E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.388
32.531,32.829,6770.54,0.928,4.79E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.481
31.908,32.135,5580.91,0.921,3.94E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.396
30.774,30.912,5074.05,0.915,3.31E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.331
51.123,51.754,7930.4,0.965,7.88E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.786
51.63,51.872,7446.52,0.962,7.36E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.734
50.317,50.776,7624.8,0.962,7.39E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.741
48.891,49.515,7140.61,0.958,6.96E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.699
25.482,25.663,6709.29,0.918,4.52E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.451
23.213,24.062,6079.34,0.91,3.85E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.384
22.813,23.851,6121.62,0.913,3.92E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.395
22.728,24.495,5405.72,0.907,3.48E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.347
24.233,25.494,5917.99,0.914,3.94E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.394
22.926,24.381,5446.65,0.908,3.46E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.346
22.995,24.215,5381.96,0.908,3.49E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.346
22.557,23.678,4866.13,0.903,3.17E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.318
39.596,39.922,7947.03,0.962,7.20E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.718
39.553,39.874,7642.65,0.959,6.90E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.682
39.623,39.968,7618.28,0.958,6.93E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.695
39.795,40.139,7373.01,0.956,6.73E-06,62.5,30,7.5,0,0,0,0.681
39.599,39.88,7769.26,0.959,6.93E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.689
39.546,39.864,7451.23,0.956,6.71E-06,62.5,30,7.5,0,0,0,0.674
39.566,39.86,7338.7,0.955,6.63E-06,62.5,30,7.5,0,0,0,0.661
39.709,40.01,7118.08,0.953,6.49E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.647
16.601,17.928,6917.57,0.906,4.19E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.42
14.778,17.373,6537.71,0.903,3.87E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.388
15.536,17.364,5479.85,0.894,3.24E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.324
14.695,16.788,5234.98,0.89,3.09E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.305
16.423,17.362,6491.13,0.903,3.89E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.389
14.367,17.26,6093.26,0.9,3.62E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.363
15.615,16.558,5198.07,0.892,3.10E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.307
14.346,17.185,5003.2,0.888,2.95E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.296
27.404,28.658,8092.06,0.955,6.48E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.646
26.668,28.847,7995.54,0.953,6.35E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.635
26.398,28.023,7388.36,0.95,6.15E-06,62.5,30,7.5,0,0,0,0.61
25.933,28.276,7231.33,0.948,6.07E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.614
27.658,28.53,7883.5,0.953,6.41E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.648
26.943,28.518,7771.68,0.951,6.27E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.626
26.838,28.241,7343.65,0.947,6.08E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.607
26.347,28.361,7207.31,0.946,6.00E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.602
20.336,23.01,6674.19,0.905,4.23E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.42
19.89,21.908,5850.04,0.896,3.68E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.366
20.227,23.083,5889.94,0.898,3.68E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.364
19.797,21.421,5374.54,0.89,3.27E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.325
18.421,22.725,5947.79,0.899,3.69E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.369
17.961,21.237,5351.99,0.892,3.27E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.328
18.136,22.459,5418.32,0.893,3.29E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.328
31.06,36.343,7853.89,0.955,6.43E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.638
32.277,36.578,7607.77,0.952,6.27E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.627
31.287,36.085,7551.74,0.952,6.19E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.616
32.227,36.567,7358.2,0.949,6.07E-06,62.5,30,7.5,0,0,0,0.604
31.479,35.693,7548.33,0.951,6.19E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.619
32.215,36.283,7343.17,0.948,6.05E-06,62.5,30,7.5,0,0,0,0.602
31.368,35.302,7256.82,0.947,5.99E-06,62.5,30,7.5,0,0,0,0.6
32.354,35.753,7090.08,0.945,5.89E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.594
20.377,22.011,6816.76,0.911,4.34E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.439
20.623,22.349,6313.9,0.909,4.07E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.403
18.302,22.101,6011.29,0.905,3.76E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.374
18.889,22.283,5666.35,0.904,3.56E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.351
18.314,22.041,6023.93,0.905,3.76E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.372
17.895,22.249,5696.28,0.902,3.55E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.356
18.86,21.882,5462.65,0.901,3.35E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.333
19.294,22.315,5232.28,0.899,3.19E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.319
20.177,22.014,6425.11,0.908,4.02E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.404
19.289,21.805,5985.75,0.907,3.79E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.377
18.606,21.667,5686.34,0.902,3.54E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.353
18.434,22.038,5400.51,0.9,3.37E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.338
18.594,21.639,5735.75,0.903,3.53E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.354
17.869,21.857,5470.66,0.9,3.35E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.335
18.848,21.265,5294.54,0.898,3.18E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.32
18.8,21.882,5028.85,0.897,3.05E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.307
33.932,35.826,7986.64,0.959,6.87E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.691
33.663,34.77,7831.08,0.956,6.70E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.673
32.722,35.194,7632.14,0.955,6.60E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.652
32.532,34.309,7476.46,0.953,6.45E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.639
32.719,35.192,7621.45,0.954,6.59E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.656
32.527,34.309,7518.48,0.952,6.45E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.64
32.05,34.942,7326.48,0.952,6.41E-06,62.5,30,7.5,0,0,0,0.639
31.646,34.338,7284.52,0.95,6.27E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.628
33.94,35.518,7818.96,0.957,6.74E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.669
33.752,34.555,7649.35,0.954,6.58E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.654
