PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,O2-1 bar (mol/kg)
18.096,18.215,1516.18,0.64,1.68E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.167
18.112,18.191,1494.47,0.632,1.61E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.159
16.878,17.146,1448.77,0.626,1.59E-06,62.5,30,7.5,0,0,0,0.157
16.488,16.83,1415.36,0.613,1.49E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.145
16.888,16.951,1597.34,0.664,1.80E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.177
16.388,16.476,1565.69,0.653,1.73E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.171
17.81,18.018,1477.27,0.65,1.66E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.165
17.466,17.752,1462.33,0.643,1.63E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.161
17.735,18.044,1478.69,0.643,1.56E-06,62.5,30,7.5,0,0,0,0.154
15.874,15.929,1425.56,0.622,1.54E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.153
17.44,17.784,1311.26,0.619,1.48E-06,63.70967742,29.03225806,7.258064516,0,0,0,0.146
17.333,17.66,1315,0.61,1.47E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.145
20.804,20.927,716.705,0.571,2.47E-06,57.14285714,12.24489796,14.28571429,0,0,0.163265306,0.22
21.741,21.878,687.545,0.568,2.08E-06,57.14285714,24.48979592,14.28571429,0,0,0.040816327,0.192
22.106,22.165,846.692,0.594,2.60E-06,57.14285714,8.163265306,14.28571429,0,0,0.204081633,0.24
22.638,22.736,761.69,0.573,2.77E-06,57.14285714,20.40816327,14.28571429,0,0,0.081632653,0.245
21.151,21.672,865.487,0.611,2.63E-06,57.14285714,4.081632653,14.28571429,0,0,0.244897959,0.245
22.55,22.649,619.43,0.565,2.77E-06,57.14285714,16.32653061,14.28571429,0,0,0.12244898,0.249
22.39,22.621,924.66,0.612,3.09E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.286
35.374,35.56,1755.2,0.704,1.99E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.195
35.67,35.844,1697.85,0.694,1.98E-06,59.30232558,32.55813953,8.139534884,0,0,0,0.196
36.022,36.15,1621.97,0.685,1.83E-06,60.22727273,31.81818182,7.954545455,0,0,0,0.181
35.75,35.833,1339.96,0.656,1.44E-06,63.54166667,29.16666667,7.291666667,0,0,0,0.143
36.676,36.749,1556.39,0.684,1.76E-06,61.11111111,31.11111111,7.777777778,0,0,0,0.174
35.649,35.787,1255.03,0.647,1.37E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.136
11.935,12.286,1037.41,0.546,3.11E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.284
11.769,12.107,865.997,0.556,2.59E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.24
20.86,21.144,1684.43,0.67,1.73E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.171
19.436,19.548,1300.62,0.607,1.35E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.134
12.412,12.71,1092.42,0.573,1.90E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.184
11.919,12.272,841.421,0.544,1.14E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.114
10.523,10.803,894.853,0.563,3.47E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.29
12.645,12.999,992.212,0.598,6.08E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.422
22.871,22.985,1688.94,0.694,1.83E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.184
21.705,21.824,1600.88,0.67,1.75E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.177
19.586,19.857,1374.2,0.652,1.73E-06,62.5,30,7.5,0,0,0,0.168
19.485,19.741,1326.1,0.631,1.69E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.163
39.207,39.338,1789.59,0.783,1.73E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.172
9.866,10.348,991.627,0.527,2.66E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.245
15.822,16.155,1233.8,0.587,1.10E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.109
33.549,33.594,1779.17,0.765,1.62E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.161
6.179,7.564,810.923,0.521,4.53E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.402
5.383,8.088,558.881,0.495,3.32E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.296
12.526,13.568,1520.26,0.609,2.67E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.261
21.721,21.862,1052.75,0.562,3.94E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.356
19.78,20.459,555.925,0.54,3.31E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.288
37.843,37.972,1725.98,0.681,1.81E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.182
18.82,19.162,959.667,0.607,2.38E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.224
18.046,18.376,923.262,0.613,4.39E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.361
36.197,36.278,1737.47,0.723,2.10E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.205
36.283,36.394,1588.28,0.707,1.97E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.193
35.855,36.012,1610.55,0.701,1.95E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.194
36.086,36.134,1439.73,0.68,1.83E-06,62.5,30,7.5,0,0,0,0.182
36.036,36.137,1582.41,0.71,1.86E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.184
8.46,9.017,994.659,0.519,1.73E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.17
7.741,7.976,652.147,0.484,1.53E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.149
13.139,13.399,1717.62,0.643,1.83E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.183
13.212,13.6,1295.16,0.579,1.11E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.11
29.383,29.443,1803.03,0.769,1.62E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.162
9.377,9.885,1092.96,0.542,3.93E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.32
8.494,8.998,919.422,0.531,5.46E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.39
9.17,9.487,806.981,0.513,2.22E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.197
9.505,9.885,830.166,0.529,2.13E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.189
16.492,16.71,1716.61,0.672,1.88E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.186
15.947,16.169,1465.53,0.644,1.63E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.159
16.472,16.583,1676.79,0.663,1.83E-06,59.09090909,32.72727273,8.181818182,0,0,0,0.181
15.381,15.668,1433.34,0.635,1.60E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.158
15.669,15.947,1504.32,0.634,1.59E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.157
15.113,15.264,1356.15,0.61,1.50E-06,63.70967742,29.03225806,7.258064516,0,0,0,0.147
16.094,16.21,1488.11,0.626,1.51E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.15
15.177,15.397,1309.17,0.601,1.42E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.139
9.087,9.336,1019.78,0.525,2.66E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.245
9.372,9.974,804.924,0.534,2.26E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.211
17.964,18.051,1691.24,0.661,1.73E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.172
14.63,15,1279.89,0.586,1.17E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.117
33.378,33.495,1780.6,0.768,1.64E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.164
10.345,10.822,1003.89,0.529,2.14E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.202
10.119,10.58,785.461,0.529,2.01E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.188
16.358,16.681,1260.55,0.584,1.10E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.108
10.3,10.779,1041.07,0.534,2.37E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.219
16.958,17.79,1684.13,0.649,2.01E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.199
15.573,15.629,1240.36,0.586,1.19E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.118
9.013,9.485,884.061,0.514,3.36E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.283
8.348,8.831,871.992,0.517,2.94E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.26
8.439,9.032,744.34,0.508,2.78E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.242
9.137,9.38,856.73,0.516,2.71E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.244
9.21,9.494,756.808,0.506,2.69E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.239
8.821,9.141,781.918,0.507,2.67E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.244
8.897,9.257,640.835,0.501,2.57E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.229
8.396,8.718,769.645,0.508,3.02E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.256
7.703,7.897,644.491,0.488,1.48E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.139
8.607,8.84,676.198,0.499,2.45E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.215
8.771,9.05,632.394,0.497,2.12E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.189
8.163,8.514,617.02,0.497,2.08E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.19
16.481,16.795,1635.35,0.645,1.65E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.164
15.652,15.788,1628.63,0.647,1.68E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.167
15.712,15.903,1526.89,0.631,1.54E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.154
16.081,16.163,1496.17,0.619,1.48E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.148
15.488,15.845,1513.9,0.618,1.62E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.161
14.528,14.581,1467.78,0.606,1.49E-06,62.5,30,7.5,0,0,0,0.148
15.309,15.606,1538.87,0.637,1.56E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.155
15.119,15.309,1487.25,0.624,1.50E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.148
14.512,14.85,1448.47,0.619,1.47E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.147
15.157,15.276,1358.22,0.602,1.31E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.129
14.306,14.691,1343.57,0.598,1.37E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.136
14.466,14.733,1224.82,0.581,1.23E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.122
23.038,23.25,1027.88,0.626,6.15E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.427
10.509,10.935,1043.35,0.536,3.40E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.298
10.094,10.352,868.988,0.565,3.44E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.272
18.428,18.675,1717.73,0.669,1.87E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.185
33.664,33.744,1794.64,0.779,1.66E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.165
8.967,9.948,801.162,0.554,2.88E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.27
12.347,12.628,1030.01,0.527,3.27E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.279
13.062,13.475,743.521,0.523,1.83E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.174
19.008,19.223,1268.77,0.583,1.24E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.122
12.755,12.885,1015.85,0.531,2.66E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.243
12.722,13.014,807.426,0.537,2.18E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.204
22.815,22.963,1678.58,0.666,1.68E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.167
19.957,20.047,1245.94,0.587,1.19E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.118
41.164,41.214,1792.97,0.772,1.65E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.164
15.082,15.329,1098.49,0.577,1.67E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.163
15.676,15.871,911.73,0.606,4.53E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.352
24.331,24.423,1316.59,0.635,1.57E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.154
9.877,16.591,4555.12,0.808,3.32E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.333
8.753,16.406,4069.56,0.787,4.18E-06,62.5,30,7.5,0,0,0,0.418
11.553,15.592,5422.51,0.867,3.07E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.308
16.784,18.199,5444.59,0.874,3.14E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.313
18.48,19.568,5597.6,0.868,3.25E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.326
14.558,16.838,5131.47,0.868,2.78E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.277
22.728,25.062,7950.65,0.942,5.62E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.567
31.672,32.012,7615.21,0.942,5.68E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.568
19.861,21.92,7690.6,0.932,5.22E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.523
30.37,30.787,7427.89,0.938,5.56E-06,62.5,30,7.5,0,0,0,0.56
17.648,20.795,7553.82,0.927,5.05E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.506
16.722,19.521,7352.35,0.918,4.82E-06,62.5,30,7.5,0,0,0,0.474
35.806,41.87,7125.22,0.954,6.38E-06,58.33333333,31.25,10.41666667,0,0,0,0.612
32.87,41.881,7171,0.954,6.35E-06,58.33333333,31.25,10.41666667,0,0,0,0.616
28.619,34.85,5968.36,0.945,5.12E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.501
29.16,36.517,5378.9,0.942,4.47E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.434
26.088,32.957,5944.69,0.939,5.15E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.499
29.414,36.171,5501.21,0.942,4.79E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.466
26.35,33.332,5425.41,0.935,4.46E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.436
29.33,36.803,5028.97,0.938,4.37E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.417
42.208,52.54,7320.93,0.968,8.72E-06,62.5,30,7.5,0,0,0,0.86
40.538,51.79,7210.38,0.968,8.66E-06,62.5,30,7.5,0,0,0,0.854
40.5,51.581,7008.86,0.965,8.30E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.814
8.391,16.452,4963.62,0.802,3.97E-06,59.18367347,32.65306122,8.163265306,0,0,0,0.391
8.947,17.648,5235.63,0.819,3.80E-06,57.14285714,32.65306122,8.163265306,0,0.020408163,0,0.378
15.008,17.345,6662.58,0.865,4.08E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.409
14.663,17.944,5975.91,0.861,3.50E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.347
14.575,19.983,5913.55,0.869,3.50E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.35
13.289,19.31,5387.45,0.865,3.10E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.308
15.245,18.887,5756.56,0.867,3.53E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.353
14.495,17.552,5441.81,0.859,3.03E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.298
12.225,20.569,5437,0.871,3.10E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.31
12.227,19.198,5051.36,0.865,2.82E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.281
22.537,33.151,7998.04,0.944,5.77E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.577
22.24,32.913,7664.45,0.94,5.56E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.555
22.599,30.831,7726.08,0.937,5.45E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.545
22.35,30.435,7471.15,0.934,5.28E-06,62.5,30,7.5,0,0,0,0.524
24.485,28.86,7542.75,0.932,5.25E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.524
24.133,28.718,7247.14,0.928,5.11E-06,62.5,30,7.5,0,0,0,0.506
24.4,26.965,7290.65,0.925,5.02E-06,62.5,30,7.5,0,0,0,0.502
24.105,26.832,7027.99,0.92,4.92E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.493
21.069,31.151,6126.46,0.928,4.48E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.445
11.474,16.901,6837.11,0.884,3.93E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.396
10.326,14.695,6012.45,0.873,3.42E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.337
11.312,16.976,6182.25,0.876,3.40E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.338
10.333,14.637,5450.44,0.866,3.04E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.303
12.274,17.441,6022.77,0.88,3.54E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.353
10.58,17.029,5394.55,0.866,3.11E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.309
12.122,17.832,5541.44,0.872,3.13E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.312
11.126,17.022,5020.57,0.862,2.85E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.283
18.491,27.101,7855.52,0.941,5.66E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.565
19.632,28.306,7634.54,0.941,5.69E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.567
18.237,28.057,7553.85,0.938,5.49E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.546
19.037,28.414,7415.17,0.937,5.49E-06,62.5,30,7.5,0,0,0,0.545
17.763,26.988,7571.33,0.937,5.41E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.545
15.508,27.76,7413.7,0.929,5.13E-06,62.5,30,7.5,0,0,0,0.512
17.58,26.029,7279.86,0.932,5.28E-06,62.5,30,7.5,0,0,0,0.525
18.12,26.518,7162.66,0.932,5.30E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.531
34.115,50.181,6924.62,0.961,6.81E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.678
21.265,28.251,6477.28,0.928,4.49E-06,57.14285714,22.85714286,14.28571429,0,0,0.057142857,0.447
19.949,28.285,5363.61,0.92,3.70E-06,57.14285714,5.714285714,14.28571429,0,0,0.228571429,0.37
20.11,28.77,6437.51,0.926,4.54E-06,57.14285714,22.85714286,14.28571429,0,0,0.057142857,0.451
20.97,28.503,4983.02,0.918,3.51E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.351
34.716,46.52,7975.16,0.966,8.15E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.818
32.71,45.067,7359.79,0.96,7.32E-06,63.23529412,29.41176471,7.352941176,0,0,0,0.739
34.138,46.275,7809.81,0.965,7.91E-06,59.67741935,32.25806452,8.064516129,0,0,0,0.791
8.697,16.439,5618.68,0.844,2.84E-06,57.14285714,5.714285714,14.28571429,0,0,0.228571429,0.286
8.949,16.56,6119.57,0.842,3.70E-06,57.14285714,22.85714286,14.28571429,0,0,0.057142857,0.368
8.469,15.111,5258.04,0.836,2.73E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.273
16.295,27.924,7909.77,0.929,5.05E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.502
15.388,29.075,7145.18,0.916,4.82E-06,63.23529412,29.41176471,7.352941176,0,0,0,0.487
