PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KCO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,CO2-1 bar (mol/kg)
15.391,17.394,5087.46,0.880,1.60E-05,57.14285714,6.349206349,14.28571429,0,0,0.222222222,1.765
16.272,17.251,6137.08,0.895,1.13E-05,57.14285714,22.22222222,14.28571429,0,0,0.063492063,1.155
16.126,17.130,5781.36,0.893,1.16E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.200
14.638,17.224,5704.26,0.891,1.25E-05,57.14285714,15.87301587,14.28571429,0,0,0.126984127,1.315
14.384,17.087,5488.99,0.889,1.26E-05,57.14285714,12.6984127,14.28571429,0,0,0.158730159,1.295
16.072,16.896,5504.15,0.883,1.73E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.797
16.213,17.364,5084.03,0.882,1.67E-05,57.14285714,6.349206349,14.28571429,0,0,0.222222222,1.709
14.916,16.092,5154.91,0.877,1.68E-05,57.14285714,3.174603175,14.28571429,0,0,0.253968254,1.757
14.230,16.121,5055.91,0.876,1.62E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.680
26.131,27.708,7870.17,0.951,1.04E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.050
26.819,27.824,7778.05,0.949,1.05E-05,59.09090909,32.72727273,8.181818182,0,0,0,1.058
26.072,27.496,7649.35,0.949,1.07E-05,59.82142857,32.14285714,8.035714286,0,0,0,1.064
26.515,27.938,7566.4,0.947,1.08E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.081
26.381,27.190,7487.59,0.947,1.10E-05,61.20689655,31.03448276,7.75862069,0,0,0,1.116
26.336,27.218,7344.03,0.945,1.12E-05,61.86440678,30.50847458,7.627118644,0,0,0,1.122
25.993,27.339,7242.38,0.944,1.13E-05,62.5,30,7.5,0,0,0,1.133
25.191,26.417,7140.81,0.942,1.14E-05,63.1147541,29.50819672,7.37704918,0,0,0,1.140
25.188,27.645,7686.38,0.948,1.07E-05,59.82142857,32.14285714,8.035714286,0,0,0,1.086
24.455,27.036,7568.38,0.946,1.08E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.079
25.469,27.443,7469.67,0.946,1.09E-05,61.20689655,31.03448276,7.75862069,0,0,0,1.099
24.799,26.880,7402.89,0.944,1.10E-05,61.86440678,30.50847458,7.627118644,0,0,0,1.115
24.839,27.212,7307.78,0.944,1.13E-05,62.5,30,7.5,0,0,0,1.146
24.838,27.252,7219.36,0.942,1.14E-05,63.1147541,29.50819672,7.37704918,0,0,0,1.148
25.148,27.180,7151.97,0.942,1.15E-05,63.70967742,29.03225806,7.258064516,0,0,0,1.162
25.210,27.223,7105.28,0.940,1.17E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.167
12.848,13.111,1137.11,0.581,1.07E-04,57.14285714,28.57142857,14.28571429,0,0,0,1.009
17.116,21.469,5639.52,0.923,2.60E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,2.143
12.789,13.041,867.753,0.561,5.06E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,2.420
12.879,13.139,981.74,0.604,1.54E-03,57.14285714,0,14.28571429,0,0,0.285714286,1.497
22.461,22.613,1697.95,0.698,7.71E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.858
20.819,21.030,1376.1,0.659,8.77E-06,62.5,30,7.5,0,0,0,0.635
21.710,21.915,1616.94,0.678,7.44E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.823
20.322,20.593,1324.11,0.636,8.58E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.645
18.412,19.609,5373.41,0.913,1.33E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.325
20.256,23.008,5080.63,0.919,3.20E-05,57.14285714,0,14.28571429,0,0,0.285714286,2.035
36.352,40.368,7972.99,0.969,1.31E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.324
36.257,37.118,7666.02,0.965,1.32E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.349
32.365,33.972,7625.55,0.961,1.32E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.320
15.407,17.481,6734.9,0.902,9.08E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.920
8.190,8.614,701.425,0.499,1.48E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.862
14.042,14.312,1671.54,0.645,6.29E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.641
11.750,11.922,1209.14,0.565,3.96E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.408
19.513,19.863,6919.69,0.904,9.88E-06,57.14285714,28.57142857,14.28571429,0,0,0,1.019
17.251,19.544,6587.66,0.901,1.13E-05,57.14285714,23.80952381,14.28571429,0,0,0.047619048,1.142
17.419,18.256,6079.82,0.899,1.48E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.452
16.855,18.341,5697.29,0.896,1.53E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.513
18.758,19.583,6248.49,0.900,1.62E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.613
17.331,19.728,5885.74,0.896,1.44E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.461
17.529,18.334,5563.16,0.894,1.85E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.871
16.959,19.017,5226.7,0.892,1.78E-05,57.14285714,4.761904762,14.28571429,0,0,0.238095238,1.767
19.635,20.239,6411.16,0.899,1.44E-05,57.14285714,23.80952381,14.28571429,0,0,0.047619048,1.450
16.894,19.430,6165.15,0.896,1.47E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.489
17.260,18.433,5783.41,0.896,1.79E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.806
17.526,18.755,5485.9,0.894,1.60E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.652
17.873,20.041,5780.03,0.895,2.17E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,2.159
17.865,19.746,5457.6,0.893,1.89E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.952
17.337,18.361,5255.2,0.891,2.32E-05,57.14285714,4.761904762,14.28571429,0,0,0.238095238,2.195
17.303,18.290,4990.18,0.888,1.99E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.947
30.430,32.178,7972.89,0.954,1.07E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.085
30.446,32.287,7903.93,0.952,1.09E-05,59.45945946,32.43243243,8.108108108,0,0,0,1.105
32.747,34.128,7603.33,0.951,1.14E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.154
31.219,34.119,7500.59,0.949,1.16E-05,61.53846154,30.76923077,7.692307692,0,0,0,1.183
29.591,30.817,7658.35,0.950,1.11E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.117
29.482,30.761,7582.9,0.948,1.13E-05,61.53846154,30.76923077,7.692307692,0,0,0,1.149
30.667,31.125,7413.79,0.947,1.17E-05,62.5,30,7.5,0,0,0,1.193
30.787,31.224,7266.97,0.946,1.19E-05,63.41463415,29.26829268,7.317073171,0,0,0,1.197
30.088,30.897,7787.16,0.953,1.11E-05,59.45945946,32.43243243,8.108108108,0,0,0,1.099
30.202,30.910,7716.57,0.953,1.13E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.129
32.266,32.661,7539.68,0.951,1.17E-05,61.53846154,30.76923077,7.692307692,0,0,0,1.186
30.141,32.579,7395.09,0.949,1.19E-05,62.5,30,7.5,0,0,0,1.206
28.982,29.751,7494.7,0.948,1.15E-05,61.53846154,30.76923077,7.692307692,0,0,0,1.171
29.104,29.801,7441.17,0.947,1.17E-05,62.5,30,7.5,0,0,0,1.189
30.793,31.186,7331.38,0.947,1.21E-05,63.41463415,29.26829268,7.317073171,0,0,0,1.242
30.692,31.300,7216.97,0.945,1.23E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.257
9.794,15.820,4943.87,0.813,1.76E-05,59.45945946,32.43243243,8.108108108,0,0,0,1.784
10.562,16.851,5159.16,0.825,1.54E-05,58.10810811,32.43243243,8.108108108,0,0.013513514,0,1.588
10.023,15.717,4980.44,0.810,2.12E-05,59.45945946,32.43243243,8.108108108,0,0,0,2.222
10.521,16.264,5174.52,0.821,1.84E-05,58.10810811,32.43243243,8.108108108,0,0.013513514,0,1.956
19.153,33.399,6717.52,0.926,9.74E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.963
17.361,33.333,5011.02,0.912,2.06E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.637
31.080,52.466,7885.26,0.965,1.21E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.197
30.451,51.512,7080.2,0.957,1.32E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.306
40.333,58.802,6717.29,0.951,1.26E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.172
37.154,61.488,5016.67,0.943,2.89E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.884
22.412,22.531,3593.97,0.828,1.21E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.208
18.886,19.709,2612.2,0.799,3.71E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,2.996
18.648,20.474,3220.5,0.815,2.39E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,2.415
19.125,20.396,2294.48,0.789,5.80E-05,57.14285714,0,14.28571429,0,0,0.285714286,3.568
33.081,33.418,6366.26,0.918,1.51E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.520
28.331,29.397,5429.22,0.901,1.68E-05,62.5,30,7.5,0,0,0,1.518
32.916,33.273,6249.55,0.912,1.56E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.582
29.398,30.032,5081.22,0.895,1.40E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.359
43.557,48.197,6000.79,0.958,1.25E-05,57.14285714,23.80952381,9.523809524,9.523809524,0,0,1.253
20.270,20.755,6773.56,0.909,9.23E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.942
18.443,21.180,5270.04,0.899,1.29E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.322
18.111,19.278,6071.84,0.903,1.20E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.220
19.017,21.171,4820.6,0.896,1.38E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.402
32.558,33.563,7861.32,0.957,1.11E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.104
31.750,32.965,7446.75,0.950,1.17E-05,62.5,30,7.5,0,0,0,1.180
32.615,33.185,7515.45,0.954,1.14E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.151
31.799,32.441,7186.36,0.947,1.22E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.234
19.755,23.514,6807.23,0.908,9.08E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.924
19.650,23.614,5346.87,0.899,1.30E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.323
17.992,22.062,6087.05,0.903,1.20E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.216
18.085,22.301,4974.98,0.893,1.40E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.439
32.449,38.432,7886.07,0.957,1.11E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.120
31.516,36.185,7424.37,0.950,1.18E-05,62.5,30,7.5,0,0,0,1.189
31.803,38.472,7627.23,0.954,1.14E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.153
30.773,35.867,7167.19,0.946,1.21E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.230
33.305,33.559,7000.44,0.928,9.77E-06,58.62068966,31.03448276,10.34482759,0,0,0,0.994
30.815,31.226,5957.57,0.921,1.37E-05,58.62068966,17.24137931,10.34482759,0,0,0.137931034,1.394
33.170,33.332,6796.08,0.929,9.70E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.985
30.751,30.869,5773.7,0.921,1.32E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.325
32.531,32.829,6770.54,0.928,9.68E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.969
31.908,32.135,5580.91,0.921,1.31E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.344
30.774,30.912,5074.05,0.915,1.45E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.506
51.123,51.754,7930.4,0.965,1.21E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.208
51.630,51.872,7446.52,0.962,1.25E-05,61.53846154,30.76923077,7.692307692,0,0,0,1.258
50.317,50.776,7624.8,0.962,1.25E-05,61.53846154,30.76923077,7.692307692,0,0,0,1.252
48.891,49.515,7140.61,0.958,1.30E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.322
25.482,25.663,6709.29,0.918,9.43E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.948
23.213,24.062,6079.34,0.910,1.24E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.208
22.813,23.851,6121.62,0.913,1.22E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.254
22.728,24.495,5405.72,0.907,1.41E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.444
24.233,25.494,5917.99,0.914,1.16E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.146
22.926,24.381,5446.65,0.908,1.34E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.331
22.995,24.215,5381.96,0.908,1.33E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.367
22.557,23.678,4866.13,0.903,1.39E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.438
39.596,39.922,7947.03,0.962,1.13E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.152
39.553,39.874,7642.65,0.959,1.17E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.165
39.623,39.968,7618.28,0.958,1.18E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.159
39.795,40.139,7373.01,0.956,1.22E-05,62.5,30,7.5,0,0,0,1.217
39.599,39.880,7769.26,0.959,1.16E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.186
39.546,39.864,7451.23,0.956,1.21E-05,62.5,30,7.5,0,0,0,1.227
39.566,39.860,7338.7,0.955,1.21E-05,62.5,30,7.5,0,0,0,1.216
39.709,40.010,7118.08,0.953,1.26E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.255
16.601,17.928,6917.57,0.906,8.86E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.902
14.778,17.373,6537.71,0.903,1.05E-05,57.14285714,23.80952381,14.28571429,0,0,0.047619048,1.065
15.536,17.364,5479.85,0.894,1.38E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.390
14.695,16.788,5234.98,0.890,1.40E-05,57.14285714,4.761904762,14.28571429,0,0,0.238095238,1.417
16.423,17.362,6491.13,0.903,1.08E-05,57.14285714,23.80952381,14.28571429,0,0,0.047619048,1.117
14.367,17.260,6093.26,0.900,1.16E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.177
15.615,16.558,5198.07,0.892,1.36E-05,57.14285714,4.761904762,14.28571429,0,0,0.238095238,1.379
14.346,17.185,5003.2,0.888,1.38E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.379
27.404,28.658,8092.06,0.955,1.04E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.040
26.668,28.847,7995.54,0.953,1.06E-05,59.45945946,32.43243243,8.108108108,0,0,0,1.048
26.398,28.023,7388.36,0.950,1.16E-05,62.5,30,7.5,0,0,0,1.151
25.933,28.276,7231.33,0.948,1.18E-05,63.41463415,29.26829268,7.317073171,0,0,0,1.160
27.658,28.530,7883.5,0.953,1.08E-05,59.45945946,32.43243243,8.108108108,0,0,0,1.072
26.943,28.518,7771.68,0.951,1.09E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.094
26.838,28.241,7343.65,0.947,1.17E-05,63.41463415,29.26829268,7.317073171,0,0,0,1.157
26.347,28.361,7207.31,0.946,1.20E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.175
20.336,23.010,6674.19,0.905,9.38E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.954
19.890,21.908,5850.04,0.896,1.27E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.295
20.227,23.083,5889.94,0.898,1.21E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.259
19.797,21.421,5374.54,0.890,1.39E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.428
18.421,22.725,5947.79,0.899,1.26E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.296
17.961,21.237,5351.99,0.892,1.49E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.525
18.136,22.459,5418.32,0.893,1.45E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.504
31.060,36.343,7853.89,0.955,1.07E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.088
32.277,36.578,7607.77,0.952,1.12E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.132
31.287,36.085,7551.74,0.952,1.11E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.109
32.227,36.567,7358.2,0.949,1.15E-05,62.5,30,7.5,0,0,0,1.151
31.479,35.693,7548.33,0.951,1.11E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.127
32.215,36.283,7343.17,0.948,1.16E-05,62.5,30,7.5,0,0,0,1.171
31.368,35.302,7256.82,0.947,1.15E-05,62.5,30,7.5,0,0,0,1.153
32.354,35.753,7090.08,0.945,1.19E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.205
20.377,22.011,6816.76,0.911,9.18E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.933
20.623,22.349,6313.9,0.909,1.07E-05,57.14285714,23.80952381,14.28571429,0,0,0.047619048,1.097
18.302,22.101,6011.29,0.905,1.21E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.239
18.889,22.283,5666.35,0.904,1.30E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.315
18.314,22.041,6023.93,0.905,1.21E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.238
17.895,22.249,5696.28,0.902,1.30E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.334
18.860,21.882,5462.65,0.901,1.34E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.371
19.294,22.315,5232.28,0.899,1.37E-05,57.14285714,4.761904762,14.28571429,0,0,0.238095238,1.414
20.177,22.014,6425.11,0.908,1.09E-05,57.14285714,23.80952381,14.28571429,0,0,0.047619048,1.117
19.289,21.805,5985.75,0.907,1.18E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.209
18.606,21.667,5686.34,0.902,1.30E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.341
18.434,22.038,5400.51,0.900,1.33E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.361
18.594,21.639,5735.75,0.903,1.29E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.320
17.869,21.857,5470.66,0.900,1.33E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.375
18.848,21.265,5294.54,0.898,1.38E-05,57.14285714,4.761904762,14.28571429,0,0,0.238095238,1.452
18.800,21.882,5028.85,0.897,1.41E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.421
33.932,35.826,7986.64,0.959,1.10E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.106
33.663,34.770,7831.08,0.956,1.12E-05,59.45945946,32.43243243,8.108108108,0,0,0,1.123
32.722,35.194,7632.14,0.955,1.14E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.170
32.532,34.309,7476.46,0.953,1.16E-05,61.53846154,30.76923077,7.692307692,0,0,0,1.169
32.719,35.192,7621.45,0.954,1.14E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.154
32.527,34.309,7518.48,0.952,1.16E-05,61.53846154,30.76923077,7.692307692,0,0,0,1.165
32.050,34.942,7326.48,0.952,1.19E-05,62.5,30,7.5,0,0,0,1.211
31.646,34.338,7284.52,0.950,1.20E-05,63.41463415,29.26829268,7.317073171,0,0,0,1.197
33.940,35.518,7818.96,0.957,1.11E-05,59.45945946,32.43243243,8.108108108,0,0,0,1.124
33.752,34.555,7649.35,0.954,1.13E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.145
32.772,35.259,7502.36,0.953,1.16E-05,61.53846154,30.76923077,7.692307692,0,0,0,1.164
32.695,34.338,7349.14,0.952,1.18E-05,62.5,30,7.5,0,0,0,1.183
32.773,35.258,7496.64,0.952,1.16E-05,61.53846154,30.76923077,7.692307692,0,0,0,1.179
32.695,34.338,7360.95,0.950,1.18E-05,62.5,30,7.5,0,0,0,1.174
32.351,34.952,7215.54,0.951,1.21E-05,63.41463415,29.26829268,7.317073171,0,0,0,1.219
31.956,34.394,7156.96,0.948,1.22E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.237
20.350,22.005,6787.52,0.913,9.18E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.934
20.568,21.529,6306.98,0.910,1.09E-05,57.14285714,23.80952381,14.28571429,0,0,0.047619048,1.113
19.511,21.927,5391.17,0.901,1.34E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.381
19.153,21.985,5191.73,0.901,1.36E-05,57.14285714,4.761904762,14.28571429,0,0,0.238095238,1.426
19.297,22.012,6380.28,0.910,1.10E-05,57.14285714,23.80952381,14.28571429,0,0,0.047619048,1.104
19.240,22.308,5939.61,0.907,1.16E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.181
19.368,20.861,5163.03,0.898,1.39E-05,57.14285714,4.761904762,14.28571429,0,0,0.238095238,1.452
19.598,21.805,4865.36,0.897,1.39E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.455
33.970,35.813,7942.84,0.959,1.10E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.116
33.675,34.785,7821.55,0.957,1.12E-05,59.45945946,32.43243243,8.108108108,0,0,0,1.142
32.040,34.938,7351.57,0.952,1.19E-05,62.5,30,7.5,0,0,0,1.200
31.633,34.340,7297.42,0.950,1.20E-05,63.41463415,29.26829268,7.317073171,0,0,0,1.229
33.930,35.515,7818.17,0.958,1.11E-05,59.45945946,32.43243243,8.108108108,0,0,0,1.126
33.750,34.561,7626.97,0.955,1.13E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.150
32.347,34.955,7200.54,0.950,1.21E-05,63.41463415,29.26829268,7.317073171,0,0,0,1.222
31.942,34.397,7161.88,0.948,1.22E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.215
19.857,21.496,6796.36,0.910,9.18E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.934
19.006,21.117,6519.39,0.908,1.02E-05,57.14285714,25.3968254,14.28571429,0,0,0.031746032,1.035
18.907,20.603,5732.79,0.904,1.25E-05,57.14285714,15.87301587,14.28571429,0,0,0.126984127,1.275
19.006,20.229,5561.96,0.903,1.29E-05,57.14285714,12.6984127,14.28571429,0,0,0.158730159,1.329
17.666,20.436,6214.3,0.903,1.13E-05,57.14285714,22.22222222,14.28571429,0,0,0.063492063,1.165
16.940,19.952,5996.48,0.901,1.17E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.197
20.165,21.819,5332.95,0.903,1.29E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.333
18.949,20.276,6272.3,0.906,1.13E-05,57.14285714,22.22222222,14.28571429,0,0,0.063492063,1.139
18.751,19.738,6084.86,0.904,1.21E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.245
17.667,19.875,5434.49,0.900,1.34E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.371
18.887,20.415,5119.67,0.900,1.36E-05,57.14285714,6.349206349,14.28571429,0,0,0.222222222,1.391
16.981,19.243,5790.42,0.896,1.33E-05,57.14285714,15.87301587,14.28571429,0,0,0.126984127,1.391
16.002,18.639,5590.52,0.895,1.34E-05,57.14285714,12.6984127,14.28571429,0,0,0.158730159,1.365
32.681,34.702,7919.5,0.959,1.10E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.106
32.509,34.659,7866.61,0.958,1.12E-05,59.09090909,32.72727273,8.181818182,0,0,0,1.126
29.621,34.974,7540.66,0.954,1.15E-05,61.20689655,31.03448276,7.75862069,0,0,0,1.167
29.148,34.876,7452.32,0.952,1.16E-05,61.86440678,30.50847458,7.627118644,0,0,0,1.171
30.493,34.864,7708.22,0.955,1.13E-05,59.82142857,32.14285714,8.035714286,0,0,0,1.126
30.355,34.737,7593.19,0.954,1.13E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.163
32.138,33.525,7455.39,0.952,1.17E-05,62.5,30,7.5,0,0,0,1.185
31.489,33.439,7330.24,0.951,1.19E-05,63.1147541,29.50819672,7.37704918,0,0,0,1.191
32.786,34.759,7702.55,0.957,1.12E-05,59.82142857,32.14285714,8.035714286,0,0,0,1.135
32.103,34.668,7630.33,0.956,1.13E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.153
29.276,34.247,7360.24,0.951,1.17E-05,62.5,30,7.5,0,0,0,1.188
28.828,34.167,7275.28,0.950,1.18E-05,63.1147541,29.50819672,7.37704918,0,0,0,1.189
30.555,34.286,7525.07,0.953,1.15E-05,61.20689655,31.03448276,7.75862069,0,0,0,1.170
30.411,34.156,7461.16,0.952,1.16E-05,61.86440678,30.50847458,7.627118644,0,0,0,1.181
31.689,33.543,7243.34,0.949,1.20E-05,63.70967742,29.03225806,7.258064516,0,0,0,1.212
31.089,33.471,7217.13,0.948,1.21E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.235
15.200,20.542,6834.78,0.903,8.99E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.917
14.870,19.372,6411.01,0.901,1.05E-05,57.14285714,23.80952381,14.28571429,0,0,0.047619048,1.063
14.600,19.045,6092.76,0.897,1.20E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.199
14.371,18.564,5783.55,0.893,1.31E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.308
14.231,21.106,5954.81,0.896,1.17E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.188
13.821,20.121,5675.6,0.893,1.30E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.307
13.968,19.843,5422.99,0.890,1.39E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.401
13.337,18.711,5255.65,0.888,1.45E-05,57.14285714,4.761904762,14.28571429,0,0,0.238095238,1.428
15.478,20.372,6328.67,0.901,1.07E-05,57.14285714,23.80952381,14.28571429,0,0,0.047619048,1.105
14.649,18.897,5958.44,0.897,1.14E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.139
15.119,18.529,5726.94,0.893,1.29E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.294
14.431,18.109,5428.58,0.891,1.34E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.354
14.477,20.039,5622.31,0.893,1.26E-05,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.265
13.662,18.993,5393.09,0.890,1.31E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.337
13.655,19.694,5194.72,0.887,1.40E-05,57.14285714,4.761904762,14.28571429,0,0,0.238095238,1.419
13.711,18.672,4956.09,0.883,1.43E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.438
24.405,33.863,7872.07,0.953,1.06E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.058
24.297,32.937,7709.51,0.951,1.08E-05,59.45945946,32.43243243,8.108108108,0,0,0,1.066
24.241,33.386,7600.33,0.950,1.10E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.073
