PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KCO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,CO2-1 bar (mol/kg)
21.705,21.824,1600.88,0.670,7.43E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.856
19.586,19.857,1374.2,0.652,1.01E-05,62.5,30,7.5,0,0,0,0.711
19.485,19.741,1326.1,0.631,9.88E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.688
39.207,39.338,1789.59,0.783,5.52E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.565
9.866,10.348,991.627,0.527,3.19E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.250
15.822,16.155,1233.8,0.587,3.77E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.381
33.549,33.594,1779.17,0.765,5.22E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.525
6.179,7.564,810.923,0.521,7.69E-05,57.14285714,28.57142857,14.28571429,0,0,0,2.637
5.383,8.088,558.881,0.495,7.89E-04,57.14285714,0,14.28571429,0,0,0.285714286,3.838
12.526,13.568,1520.26,0.609,2.03E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.600
21.721,21.862,1052.75,0.562,5.21E-05,57.14285714,28.57142857,14.28571429,0,0,0,2.066
19.780,20.459,555.925,0.540,1.01E-03,57.14285714,0,14.28571429,0,0,0.285714286,3.128
37.843,37.972,1725.98,0.681,6.71E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.702
18.820,19.162,959.667,0.607,6.00E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.616
18.046,18.376,923.262,0.613,2.25E-03,57.14285714,9.523809524,14.28571429,0,0,0.19047619,3.131
36.197,36.278,1737.47,0.723,9.20E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.947
36.283,36.394,1588.28,0.707,1.03E-05,60.52631579,31.57894737,7.894736842,0,0,0,0.926
35.855,36.012,1610.55,0.701,8.73E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.894
36.086,36.134,1439.73,0.680,1.09E-05,62.5,30,7.5,0,0,0,0.871
36.036,36.137,1582.41,0.710,8.17E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.775
8.460,9.017,994.659,0.519,9.84E-06,57.14285714,28.57142857,14.28571429,0,0,0,1.093
7.741,7.976,652.147,0.484,1.45E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.709
13.139,13.399,1717.62,0.643,6.90E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.722
13.212,13.600,1295.16,0.579,3.69E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.384
29.383,29.443,1803.03,0.769,5.01E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.518
9.377,9.885,1092.96,0.542,9.99E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.167
8.494,8.998,919.422,0.531,1.72E-03,57.14285714,15.87301587,14.28571429,0,0,0.126984127,3.468
9.170,9.487,806.981,0.513,7.42E-05,57.14285714,15.87301587,14.28571429,0,0,0.126984127,3.384
9.505,9.885,830.166,0.529,4.75E-05,57.14285714,12.6984127,14.28571429,0,0,0.158730159,1.721
16.492,16.710,1716.61,0.672,7.85E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.840
15.947,16.169,1465.53,0.644,8.07E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.634
16.472,16.583,1676.79,0.663,7.70E-06,59.09090909,32.72727273,8.181818182,0,0,0,0.817
15.381,15.668,1433.34,0.635,8.11E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.623
15.669,15.947,1504.32,0.634,6.80E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.710
15.113,15.264,1356.15,0.610,7.60E-06,63.70967742,29.03225806,7.258064516,0,0,0,0.600
16.094,16.210,1488.11,0.626,6.45E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.680
15.177,15.397,1309.17,0.601,7.27E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.566
9.087,9.336,1019.78,0.525,2.75E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.331
9.372,9.974,804.924,0.534,4.73E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.790
17.964,18.051,1691.24,0.661,6.24E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.648
14.630,15.000,1279.89,0.586,4.48E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.460
33.378,33.495,1780.6,0.768,5.14E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.519
10.345,10.822,1003.89,0.529,1.89E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.122
10.119,10.580,785.461,0.529,3.50E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.781
16.358,16.681,1260.55,0.584,3.69E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.372
10.300,10.779,1041.07,0.534,2.41E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.118
16.958,17.790,1684.13,0.649,9.19E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.910
15.573,15.629,1240.36,0.586,4.42E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.460
9.013,9.485,884.061,0.514,1.36E-04,57.14285714,23.80952381,14.28571429,0,0,0.047619048,1.549
8.348,8.831,871.992,0.517,3.53E-04,57.14285714,23.80952381,14.28571429,0,0,0.047619048,2.011
8.439,9.032,744.34,0.508,1.96E-03,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.941
9.137,9.380,856.73,0.516,4.16E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,2.062
9.210,9.494,756.808,0.506,1.01E-04,57.14285714,14.28571429,14.28571429,0,0,0.142857143,2.161
8.821,9.141,781.918,0.507,2.40E-04,57.14285714,14.28571429,14.28571429,0,0,0.142857143,1.783
8.897,9.257,640.835,0.501,1.25E-03,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.728
8.396,8.718,769.645,0.508,1.55E-04,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.786
7.703,7.897,644.491,0.488,4.01E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,2.073
8.607,8.840,676.198,0.499,1.02E-04,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.706
8.771,9.050,632.394,0.497,7.84E-05,57.14285714,4.761904762,14.28571429,0,0,0.238095238,1.470
8.163,8.514,617.02,0.497,1.12E-04,57.14285714,4.761904762,14.28571429,0,0,0.238095238,1.308
16.481,16.795,1635.35,0.645,6.29E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.647
15.652,15.788,1628.63,0.647,6.41E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.672
15.712,15.903,1526.89,0.631,5.98E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.625
16.081,16.163,1496.17,0.619,5.76E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.590
15.488,15.845,1513.9,0.618,6.43E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.665
14.528,14.581,1467.78,0.606,6.12E-06,62.5,30,7.5,0,0,0,0.620
15.309,15.606,1538.87,0.637,5.79E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.612
15.119,15.309,1487.25,0.624,5.69E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.598
14.512,14.850,1448.47,0.619,5.55E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.591
15.157,15.276,1358.22,0.602,4.89E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.519
14.306,14.691,1343.57,0.598,5.21E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.544
14.466,14.733,1224.82,0.581,4.76E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.502
23.038,23.250,1027.88,0.626,1.33E-03,57.14285714,0,14.28571429,0,0,0.285714286,2.296
10.509,10.935,1043.35,0.536,7.13E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.523
10.094,10.352,868.988,0.565,8.64E-04,57.14285714,0,14.28571429,0,0,0.285714286,2.062
18.428,18.675,1717.73,0.669,7.57E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.785
33.664,33.744,1794.64,0.779,5.27E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.534
8.967,9.948,801.162,0.554,1.26E-04,57.14285714,9.523809524,14.28571429,0,0,0.19047619,4.140
12.347,12.628,1030.01,0.527,4.92E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.427
13.062,13.475,743.521,0.523,4.07E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.773
19.008,19.223,1268.77,0.583,4.99E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.495
12.755,12.885,1015.85,0.531,2.91E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.346
12.722,13.014,807.426,0.537,4.32E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.960
22.815,22.963,1678.58,0.666,5.94E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.612
19.957,20.047,1245.94,0.587,4.46E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.452
41.164,41.214,1792.97,0.772,5.19E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.520
15.082,15.329,1098.49,0.577,9.18E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.852
15.676,15.871,911.73,0.606,1.03E-03,57.14285714,0,14.28571429,0,0,0.285714286,2.230
24.331,24.423,1316.59,0.635,8.36E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.617
9.877,16.591,4555.12,0.808,1.08E-05,58.33333333,33.33333333,8.333333333,0,0,0,1.099
8.753,16.406,4069.56,0.787,2.57E-05,62.5,30,7.5,0,0,0,1.799
11.553,15.592,5422.51,0.867,1.74E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.774
16.784,18.199,5444.59,0.874,1.81E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.818
18.480,19.568,5597.6,0.868,1.48E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.584
14.558,16.838,5131.47,0.868,1.80E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.827
22.728,25.062,7950.65,0.942,9.91E-06,58.33333333,33.33333333,8.333333333,0,0,0,1.001
31.672,32.012,7615.21,0.942,1.08E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.092
19.861,21.920,7690.6,0.932,1.04E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.043
30.370,30.787,7427.89,0.938,1.13E-05,62.5,30,7.5,0,0,0,1.132
17.648,20.795,7553.82,0.927,1.02E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.041
16.722,19.521,7352.35,0.918,1.08E-05,62.5,30,7.5,0,0,0,1.084
35.806,41.870,7125.22,0.954,1.18E-05,58.33333333,31.25,10.41666667,0,0,0,1.161
32.870,41.881,7171,0.954,1.19E-05,58.33333333,31.25,10.41666667,0,0,0,1.165
28.619,34.850,5968.36,0.945,1.39E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.373
29.160,36.517,5378.9,0.942,1.42E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.419
26.088,32.957,5944.69,0.939,1.52E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.498
29.414,36.171,5501.21,0.942,3.31E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,2.070
26.350,33.332,5425.41,0.935,1.52E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.524
29.330,36.803,5028.97,0.938,3.27E-05,57.14285714,0,14.28571429,0,0,0.285714286,2.110
42.208,52.540,7320.93,0.968,1.47E-05,62.5,30,7.5,0,0,0,1.483
40.538,51.790,7210.38,0.968,1.53E-05,62.5,30,7.5,0,0,0,1.523
40.500,51.581,7008.86,0.965,1.54E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.539
8.391,16.452,4963.62,0.802,1.42E-05,59.18367347,32.65306122,8.163265306,0,0,0,1.516
8.947,17.648,5235.63,0.819,1.24E-05,57.14285714,32.65306122,8.163265306,0,0.020408163,0,1.309
15.008,17.345,6662.58,0.865,1.14E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.143
14.663,17.944,5975.91,0.861,1.45E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.501
14.575,19.983,5913.55,0.869,1.38E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.460
13.289,19.310,5387.45,0.865,1.42E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.478
15.245,18.887,5756.56,0.867,1.31E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.378
14.495,17.552,5441.81,0.859,1.61E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.663
12.225,20.569,5437,0.871,1.45E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.516
12.227,19.198,5051.36,0.865,1.55E-05,57.14285714,0,14.28571429,0,0,0.285714286,1.631
22.537,33.151,7998.04,0.944,9.99E-06,58.33333333,33.33333333,8.333333333,0,0,0,1.010
22.240,32.913,7664.45,0.940,1.03E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.029
22.599,30.831,7726.08,0.937,1.03E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.038
22.350,30.435,7471.15,0.934,1.06E-05,62.5,30,7.5,0,0,0,1.082
24.485,28.860,7542.75,0.932,1.03E-05,60.52631579,31.57894737,7.894736842,0,0,0,1.051
24.133,28.718,7247.14,0.928,1.08E-05,62.5,30,7.5,0,0,0,1.091
24.400,26.965,7290.65,0.925,1.10E-05,62.5,30,7.5,0,0,0,1.117
24.105,26.832,7027.99,0.920,1.15E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.174
21.069,31.151,6126.46,0.928,9.78E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.986
11.474,16.901,6837.11,0.884,9.14E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.929
10.326,14.695,6012.45,0.873,1.31E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.364
11.312,16.976,6182.25,0.876,1.22E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.252
10.333,14.637,5450.44,0.866,1.46E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.482
12.274,17.441,6022.77,0.880,1.32E-05,57.14285714,19.04761905,14.28571429,0,0,0.095238095,1.387
10.580,17.029,5394.55,0.866,1.62E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,1.630
