PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KCH4 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,CH4-1 bar (mol/kg)
19.485,19.741,1326.1,0.631,6.67E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.514
39.207,39.338,1789.59,0.783,3.46E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.343
9.866,10.348,991.627,0.527,1.77E-05,57.14285714,28.57142857,14.28571429,0,0,0,0.858
15.822,16.155,1233.8,0.587,3.00E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.291
33.549,33.594,1779.17,0.765,3.27E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.313
6.179,7.564,810.923,0.521,2.50E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.334
5.383,8.088,558.881,0.495,1.41E-05,57.14285714,0,14.28571429,0,0,0.285714286,0.876
12.526,13.568,1520.26,0.609,9.33E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.746
21.721,21.862,1052.75,0.562,2.57E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.339
19.78,20.459,555.925,0.54,1.94E-05,57.14285714,0,14.28571429,0,0,0.285714286,0.887
37.843,37.972,1725.98,0.681,4.68E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.45
18.82,19.162,959.667,0.607,6.86E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.591
18.046,18.376,923.262,0.613,1.76E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.954
36.197,36.278,1737.47,0.723,6.04E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.564
36.283,36.394,1588.28,0.707,6.35E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.548
35.855,36.012,1610.55,0.701,5.80E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.529
36.086,36.134,1439.73,0.68,6.05E-06,62.5,30,7.5,0,0,0,0.519
36.036,36.137,1582.41,0.71,5.39E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.477
8.46,9.017,994.659,0.519,6.65E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.613
7.741,7.976,652.147,0.484,6.13E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.547
13.139,13.399,1717.62,0.643,4.70E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.459
13.212,13.6,1295.16,0.579,2.76E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.27
29.383,29.443,1803.03,0.769,3.18E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.316
9.377,9.885,1092.96,0.542,2.50E-05,57.14285714,28.57142857,14.28571429,0,0,0,0.95
8.494,8.998,919.422,0.531,4.46E-05,57.14285714,15.87301587,14.28571429,0,0,0.126984127,1.061
9.17,9.487,806.981,0.513,8.70E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.55
9.505,9.885,830.166,0.529,7.20E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.534
16.492,16.71,1716.61,0.672,5.21E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.504
15.947,16.169,1465.53,0.644,5.33E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.44
16.472,16.583,1676.79,0.663,5.16E-06,59.09090909,32.72727273,8.181818182,0,0,0,0.492
15.381,15.668,1433.34,0.635,5.39E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.437
15.669,15.947,1504.32,0.634,4.60E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.422
15.113,15.264,1356.15,0.61,5.13E-06,63.70967742,29.03225806,7.258064516,0,0,0,0.425
16.094,16.21,1488.11,0.626,4.27E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.402
15.177,15.397,1309.17,0.601,4.81E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.396
9.087,9.336,1019.78,0.525,1.60E-05,57.14285714,28.57142857,14.28571429,0,0,0,0.873
